Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Derrick Adamson,M,Jamaica,JAM,1984,Los Angeles,Athletics,Athletics Men's Marathon,No medal,True
Derrick Adamson,M,Jamaica,JAM,1988,Seoul,Athletics,Athletics Men's Marathon,No medal,True
Nathon Allen,M,Jamaica,JAM,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,True
Marvin Anderson,M,Jamaica,JAM,2008,Beijing,Athletics,Athletics Men's 200 metres,No medal,False
Nils Antonio,M,Jamaica,JAM,1996,Atlanta,Athletics,Athletics Men's Marathon,No medal,False
Nickel Ashmeade,M,Jamaica,JAM,2016,Rio de Janeiro,Athletics,Athletics Men's 100 metres,No medal,True
Nickel Ashmeade,M,Jamaica,JAM,2016,Rio de Janeiro,Athletics,Athletics Men's 200 metres,No medal,True
Nickel Ashmeade,M,Jamaica,JAM,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,True
Sanjay Ayre,M,Jamaica,JAM,2000,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,True
Sanjay Ayre,M,Jamaica,JAM,2008,Beijing,Athletics,Athletics Men's 400 metres,No medal,True
Sanjay Ayre,M,Jamaica,JAM,2008,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,True
Kemar Bailey-cole,M,Jamaica,JAM,2012,London,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,True
Kemar Bailey-cole,M,Jamaica,JAM,2016,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,True
James Beckford,M,Jamaica,JAM,1996,Atlanta,Athletics,Athletics Men's Long Jump,Silver,True
James Beckford,M,Jamaica,JAM,2000,Sydney,Athletics,Athletics Men's Long Jump,No medal,True
James Beckford,M,Jamaica,JAM,2004,Athina,Athletics,Athletics Men's Long Jump,No medal,True
Claston Bernard,M,Jamaica,JAM,2000,Sydney,Athletics,Athletics Men's Decathlon,No medal,True
Claston Bernard,M,Jamaica,JAM,2004,Athina,Athletics,Athletics Men's Decathlon,No medal,True
Michael Blackwood,M,Jamaica,JAM,2000,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,True
Michael Blackwood,M,Jamaica,JAM,2004,Athina,Athletics,Athletics Men's 400 metres,No medal,True
Michael Blackwood,M,Jamaica,JAM,2004,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,True
Michael Blackwood,M,Jamaica,JAM,2008,Beijing,Athletics,Athletics Men's 400 metres,No medal,True
Michael Blackwood,M,Jamaica,JAM,2008,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,True
Dennis Blake,M,Jamaica,JAM,1992,Barcelona,Athletics,Athletics Men's 400 metres,No medal,True
Dennis Blake,M,Jamaica,JAM,1992,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,True
Dennis Blake,M,Jamaica,JAM,1996,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,True
Yohan Blake,M,Jamaica,JAM,2012,London,Athletics,Athletics Men's 100 metres,Silver,True
Yohan Blake,M,Jamaica,JAM,2012,London,Athletics,Athletics Men's 200 metres,Silver,True
