Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Shigeaki Abe,M,Japan,JPN,1972,Munich,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,True,True
Shigeaki Abe,M,Japan,JPN,1976,Montreal,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,True,False
Riichi Arai,M,Japan,JPN,1956,Melbourne,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Katsuo Bai,M,Japan,JPN,1964,Tokyo,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Chang Ri-jin,M,Japan,JPN,1936,Berlin,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Nobuo Chigusa,M,Japan,JPN,1972,Munich,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,True,True
Nobuo Chigusa,M,Japan,JPN,1976,Montreal,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,True,False
Yoshitaka Egawa,M,Japan,JPN,1964,Tokyo,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Seiji Fujie,M,Japan,JPN,1964,Tokyo,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Yutaka Fujimoto,M,Japan,JPN,1976,Montreal,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Manabu Fujita,M,Japan,JPN,1956,Melbourne,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Hideki Hamaguchi,M,Japan,JPN,1976,Montreal,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Nobuo Hattori,M,Japan,JPN,1972,Munich,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Kenichi Imaizumi,M,Japan,JPN,1956,Melbourne,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,True,True
Kenichi Imaizumi,M,Japan,JPN,1960,Roma,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,True,False
Takashi Itoyama,M,Japan,JPN,1956,Melbourne,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,True,True
Takashi Itoyama,M,Japan,JPN,1960,Roma,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,True,False
Nobuo Kaiho,M,Japan,JPN,1964,Tokyo,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Shoji Kamata,M,Japan,JPN,1960,Roma,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Takehiko Kanagoki,M,Japan,JPN,1936,Berlin,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Hideo Kanekawa,M,Japan,JPN,1960,Roma,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Norihiko Kitahara,M,Japan,JPN,1976,Montreal,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Akira Kodama,M,Japan,JPN,1964,Tokyo,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Hitoshi Konno,M,Japan,JPN,1956,Melbourne,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Kiyohide Kuwata,M,Japan,JPN,1976,Montreal,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Masayasu Maeda,M,Japan,JPN,1936,Berlin,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Takashi Masuda,M,Japan,JPN,1960,Roma,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,True,True
Takashi Masuda,M,Japan,JPN,1964,Tokyo,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,True,False
Satoshi Matsui,M,Japan,JPN,1936,Berlin,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,False,True
Satoshi Mori,M,Japan,JPN,1972,Munich,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,True,True
Satoshi Mori,M,Japan,JPN,1976,Montreal,Basketball,Basketball Men's Basketball,No medal,Basketball,BKB,True,False
