Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Yuki Abe,M,Japan,JPN,2004,Athina,Football,Football Men's Football,No medal,False
Tadahiro Akiba,M,Japan,JPN,1996,Atlanta,Football,Football Men's Football,No medal,False
Takuma Asano,M,Japan,JPN,2016,Rio de Janeiro,Football,Football Men's Football,No medal,False
Akihiro Endo,M,Japan,JPN,1996,Atlanta,Football,Football Men's Football,No medal,False
Wataru Endo,M,Japan,JPN,2016,Rio de Janeiro,Football,Football Men's Football,No medal,True
Hiroki Fujiharu,M,Japan,JPN,2016,Rio de Janeiro,Football,Football Men's Football,No medal,False
Yoshio Furukawa,M,Japan,JPN,1956,Melbourne,Football,Football Men's Football,No medal,False
Shuichi Gonda,M,Japan,JPN,2012,London,Football,Football Men's Football,No medal,False
Riki Harakawa,M,Japan,JPN,2016,Rio de Janeiro,Football,Football Men's Football,No medal,False
Toshihiro Hattori,M,Japan,JPN,1996,Atlanta,Football,Football Men's Football,No medal,False
Keigo Higashi,M,Japan,JPN,2012,London,Football,Football Men's Football,No medal,False
Ryuzo Hiraki,M,Japan,JPN,1956,Melbourne,Football,Football Men's Football,No medal,False
Tomoyuki Hirase,M,Japan,JPN,2000,Sydney,Football,Football Men's Football,No medal,False
Sota Hirayama,M,Japan,JPN,2004,Athina,Football,Football Men's Football,No medal,False
Yuji Hironaga,M,Japan,JPN,1996,Atlanta,Football,Football Men's Football,No medal,False
Keisuke Honda,M,Japan,JPN,2008,Beijing,Football,Football Men's Football,No medal,False
Takuya Honda,M,Japan,JPN,2008,Beijing,Football,Football Men's Football,No medal,False
Tadao Horie,M,Japan,JPN,1936,Berlin,Football,Football Men's Football,No medal,False
Hajime Hosogai,M,Japan,JPN,2008,Beijing,Football,Football Men's Football,No medal,False
Yosuke Ideguchi,M,Japan,JPN,2016,Rio de Janeiro,Football,Football Men's Football,No medal,False
Junichi Inamoto,M,Japan,JPN,2000,Sydney,Football,Football Men's Football,No medal,False
Naohiro Ishikawa,M,Japan,JPN,2004,Athina,Football,Football Men's Football,No medal,False
Teruyoshi Ito,M,Japan,JPN,1996,Atlanta,Football,Football Men's Football,No medal,False
Isao Iwabuchi,M,Japan,JPN,1956,Melbourne,Football,Football Men's Football,No medal,False
Shoji Jo,M,Japan,JPN,1996,Atlanta,Football,Football Men's Football,No medal,False
Shinji Kagawa,M,Japan,JPN,2008,Beijing,Football,Football Men's Football,No medal,False
Yohei Kajiyama,M,Japan,JPN,2008,Beijing,Football,Football Men's Football,No medal,False
Kunishige Kamamoto,M,Japan,JPN,1964,Tokyo,Football,Football Men's Football,No medal,True
Kunishige Kamamoto,M,Japan,JPN,1968,Mexico City,Football,Football Men's Football,Bronze,True
Mitsuo Kamata,M,Japan,JPN,1964,Tokyo,Football,Football Men's Football,No medal,True
Mitsuo Kamata,M,Japan,JPN,1968,Mexico City,Football,Football Men's Football,Bronze,True
Masashi Kamekawa,M,Japan,JPN,2016,Rio de Janeiro,Football,Football Men's Football,No medal,False
Hisao Kami,M,Japan,JPN,1964,Tokyo,Football,Football Men's Football,No medal,False
Shogo Kamo,M,Japan,JPN,1936,Berlin,Football,Football Men's Football,No medal,False
Takeshi Kamo,M,Japan,JPN,1936,Berlin,Football,Football Men's Football,No medal,False
Hiroshi Katayama,M,Japan,JPN,1964,Tokyo,Football,Football Men's Football,No medal,True
Hiroshi Katayama,M,Japan,JPN,1968,Mexico City,Football,Football Men's Football,Bronze,True
Saburo Kawabuchi,M,Japan,JPN,1964,Tokyo,Football,Football Men's Football,No medal,False
Yoshikatsu Kawaguchi,M,Japan,JPN,1996,Atlanta,Football,Football Men's Football,No medal,False
Taizo Kawamoto,M,Japan,JPN,1936,Berlin,Football,Football Men's Football,No medal,False
Naoya Kikuchi,M,Japan,JPN,2004,Athina,Football,Football Men's Football,No medal,False
Kim Yong-sik,M,Japan,JPN,1936,Berlin,Football,Football Men's Football,No medal,False
Hiroshi Kiyotake,M,Japan,JPN,2012,London,Football,Football Men's Football,No medal,False
Tadao Kobayashi,M,Japan,JPN,1956,Melbourne,Football,Football Men's Football,No medal,False
Yuichi Komano,M,Japan,JPN,2004,Athina,Football,Football Men's Football,No medal,False
Yasuyuki Konno,M,Japan,JPN,2004,Athina,Football,Football Men's Football,No medal,False
Shinzo Koroki,M,Japan,JPN,2016,Rio de Janeiro,Football,Football Men's Football,No medal,False
Masatoshi Kushibiki,M,Japan,JPN,2016,Rio de Janeiro,Football,Football Men's Football,No medal,False
Yasuyuki Kuwahara,M,Japan,JPN,1968,Mexico City,Football,Football Men's Football,Bronze,False
Masakiyo Maezono,M,Japan,JPN,1996,Atlanta,Football,Football Men's Football,No medal,False
Yoshika Matsubara,M,Japan,JPN,1996,Atlanta,Football,Football Men's Football,No medal,False
Naoki Matsuda,M,Japan,JPN,1996,Atlanta,Football,Football Men's Football,No medal,True
Naoki Matsuda,M,Japan,JPN,2000,Sydney,Football,Football Men's Football,No medal,True
Daisuke Matsui,M,Japan,JPN,2004,Athina,Football,Football Men's Football,No medal,False
Ikuo Matsumoto,M,Japan,JPN,1968,Mexico City,Football,Football Men's Football,Bronze,False
Akira Matsunaga,M,Japan,JPN,1936,Berlin,Football,Football Men's Football,No medal,False
Ryuji Michiki,M,Japan,JPN,1996,Atlanta,Football,Football Men's Football,No medal,False
Takumi Minamino,M,Japan,JPN,2016,Rio de Janeiro,Football,Football Men's Football,No medal,False
Atsuhiro Miura,M,Japan,JPN,2000,Sydney,Football,Football Men's Football,No medal,False
Masakatsu Miyamoto,M,Japan,JPN,1968,Mexico City,Football,Football Men's Football,Bronze,False
Teruki Miyamoto,M,Japan,JPN,1964,Tokyo,Football,Football Men's Football,No medal,True
Teruki Miyamoto,M,Japan,JPN,1968,Mexico City,Football,Football Men's Football,Bronze,True
Tsuneyasu Miyamoto,M,Japan,JPN,2000,Sydney,Football,Football Men's Football,No medal,False
Hiroki Mizumoto,M,Japan,JPN,2008,Beijing,Football,Football Men's Football,No medal,False
Teruyuki Moniwa,M,Japan,JPN,2004,Athina,Football,Football Men's Football,No medal,False
Takaji Mori,M,Japan,JPN,1968,Mexico City,Football,Football Men's Football,Bronze,False
Takayuki Morimoto,M,Japan,JPN,2008,Beijing,Football,Football Men's Football,No medal,False
Ryuzo Morioka,M,Japan,JPN,2000,Sydney,Football,Football Men's Football,No medal,False
Shigeru Morioka,M,Japan,JPN,1996,Atlanta,Football,Football Men's Football,No medal,False
Koji Morisaki,M,Japan,JPN,2004,Athina,Football,Football Men's Football,No medal,False
Masato Morishige,M,Japan,JPN,2008,Beijing,Football,Football Men's Football,No medal,False
Masashi Motoyama,M,Japan,JPN,2000,Sydney,Football,Football Men's Football,No medal,False
Taisuke Muramatsu,M,Japan,JPN,2012,London,Football,Football Men's Football,No medal,False
Sei Muroya,M,Japan,JPN,2016,Rio de Janeiro,Football,Football Men's Football,No medal,False
Tomokazu Myojin,M,Japan,JPN,2000,Sydney,Football,Football Men's Football,No medal,False
Kensuke Nagai,M,Japan,JPN,2012,London,Football,Football Men's Football,No medal,False
Yuto Nagatomo,M,Japan,JPN,2008,Beijing,Football,Football Men's Football,No medal,False
Shoya Nakajima,M,Japan,JPN,2016,Rio de Janeiro,Football,Football Men's Football,No medal,False
Kosuke Nakamura,M,Japan,JPN,2016,Rio de Janeiro,Football,Football Men's Football,No medal,False
Shunsuke Nakamura,M,Japan,JPN,2000,Sydney,Football,Football Men's Football,No medal,False
Hidetoshi Nakata,M,Japan,JPN,1996,Atlanta,Football,Football Men's Football,No medal,True
Hidetoshi Nakata,M,Japan,JPN,2000,Sydney,Football,Football Men's Football,No medal,True
Koji Nakata,M,Japan,JPN,2000,Sydney,Football,Football Men's Football,No medal,False
Yuji Nakazawa,M,Japan,JPN,2000,Sydney,Football,Football Men's Football,No medal,False
Seigo Narazaki,M,Japan,JPN,2000,Sydney,Football,Football Men's Football,No medal,False
Daisuke Nasu,M,Japan,JPN,2004,Athina,Football,Football Men's Football,No medal,False
Shusaku Nishikawa,M,Japan,JPN,2008,Beijing,Football,Football Men's Football,No medal,False
Aritatsu Ogi,M,Japan,JPN,1964,Tokyo,Football,Football Men's Football,No medal,True
Aritatsu Ogi,M,Japan,JPN,1968,Mexico City,Football,Football Men's Football,Bronze,True
Takahiro Ohgihara,M,Japan,JPN,2012,London,Football,Football Men's Football,No medal,False
Koichi Oita,M,Japan,JPN,1936,Berlin,Football,Football Men's Football,No medal,False
Shinji Okazaki,M,Japan,JPN,2008,Beijing,Football,Football Men's Football,No medal,False
Yoshito Okubo,M,Japan,JPN,2004,Athina,Football,Football Men's Football,No medal,False
