Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Chie Akutsu,F,Japan,JPN,2012,London,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,False,True
Sakiyo Asano,F,Japan,JPN,2012,London,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,True
Sakiyo Asano,F,Japan,JPN,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Kaori Chiba-fujio,F,Japan,JPN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,True
Kaori Chiba-fujio,F,Japan,JPN,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Kaori Chiba-fujio,F,Japan,JPN,2012,London,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Nagisa Hayashi,F,Japan,JPN,2012,London,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,True
Nagisa Hayashi,F,Japan,JPN,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Rika Ishida,F,Japan,JPN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,False,True
Sachimi Iwao,F,Japan,JPN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,True
Sachimi Iwao,F,Japan,JPN,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Sachimi Iwao,F,Japan,JPN,2012,London,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Akemi Kato,F,Japan,JPN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,True
Akemi Kato,F,Japan,JPN,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Akemi Kato,F,Japan,JPN,2012,London,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Motomi Kawamura,F,Japan,JPN,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,False,True
Chie Kimura,F,Japan,JPN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,True
Chie Kimura,F,Japan,JPN,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Akiko Kitada,F,Japan,JPN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,False,True
Rika Komazawa,F,Japan,JPN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,True
Rika Komazawa,F,Japan,JPN,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Rika Komazawa,F,Japan,JPN,2012,London,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Tomomi Komori,F,Japan,JPN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,True
Tomomi Komori,F,Japan,JPN,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Keiko Manabe,F,Japan,JPN,2012,London,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,False,True
Yukari Mano,F,Japan,JPN,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,True
Aki Mitsuhashi,F,Japan,JPN,2012,London,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,True
Aki Mitsuhashi,F,Japan,JPN,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Keiko Miura,F,Japan,JPN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,True
Keiko Miura,F,Japan,JPN,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Nami Miyazaki,F,Japan,JPN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,False,True
Sakae Morimoto,F,Japan,JPN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,True
Sakae Morimoto,F,Japan,JPN,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Ai Murakami,F,Japan,JPN,2012,London,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,False,True
Hazuki Nagai,F,Japan,JPN,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,True
Yuri Nagai,F,Japan,JPN,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,True
Miyuki Nakagawa,F,Japan,JPN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,True
Miyuki Nakagawa,F,Japan,JPN,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Miyuki Nakagawa,F,Japan,JPN,2012,London,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Miyuki Nakagawa,F,Japan,JPN,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Mie Nakashima,F,Japan,JPN,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,False,True
Emi Nishikori,F,Japan,JPN,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,True
Ayaka Nishimura,F,Japan,JPN,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,False,True
Ikuko Okamura,F,Japan,JPN,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,False,True
Mayumi Ono,F,Japan,JPN,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,True
Mayumi Ono,F,Japan,JPN,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,True,False
Shiho Otsuka,F,Japan,JPN,2012,London,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,False,True
Misaki Ozawa,F,Japan,JPN,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,False,True
Naoko Saito,F,Japan,JPN,2004,Athina,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,False,True
Maki Sakaguchi,F,Japan,JPN,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,Hockey,HOC,False,True
