Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Kenki Fukuoka,M,Japan,JPN,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,False
Teruya Goto,M,Japan,JPN,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,False
Kazuhiro Goya,M,Japan,JPN,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,True
Kazushi Hano,M,Japan,JPN,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,True
Masakatsu Hikosaka,M,Japan,JPN,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,True
Yusaku Kuwazuru,M,Japan,JPN,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,False
Lomano Lemeki,M,Japan,JPN,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,False
Katsuyuki Sakai,M,Japan,JPN,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,False
Kameli Soejima,M,Japan,JPN,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,False
Yoshitaka Tokunaga,M,Japan,JPN,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,False
Shohei Toyoshima,M,Japan,JPN,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,False
Lote Tuqiri,M,Japan,JPN,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,No medal,True
Raijin Bourke,M,Japan,JPN,2020,Tokyo,Rugby Sevens,Men Team,No medal,False
Yoshikazu Fujita,M,Japan,JPN,2020,Tokyo,Rugby Sevens,Men Team,No medal,False
Kazuhiro Goya,M,Japan,JPN,2020,Tokyo,Rugby Sevens,Men Team,No medal,True
Kazushi Hano,M,Japan,JPN,2020,Tokyo,Rugby Sevens,Men Team,No medal,True
Brackin Henry,M,Japan,JPN,2020,Tokyo,Rugby Sevens,Men Team,No medal,False
Masakatsu Hikosaka,M,Japan,JPN,2020,Tokyo,Rugby Sevens,Men Team,No medal,True
Kippei Ishida,M,Japan,JPN,2020,Tokyo,Rugby Sevens,Men Team,No medal,True
Ryota Kano,M,Japan,JPN,2020,Tokyo,Rugby Sevens,Men Team,No medal,False
Chihito Matsui,M,Japan,JPN,2020,Tokyo,Rugby Sevens,Men Team,No medal,False
Naoki Motomura,M,Japan,JPN,2020,Tokyo,Rugby Sevens,Men Team,No medal,False
Jose Seru,M,Japan,JPN,2020,Tokyo,Rugby Sevens,Men Team,No medal,False
Latianara Soejima,M,Japan,JPN,2020,Tokyo,Rugby Sevens,Men Team,No medal,False
Lote Tuqiri,M,Japan,JPN,2020,Tokyo,Rugby Sevens,Men Team,No medal,True
Kazuma Ueda,M,Japan,JPN,2024,Paris,Rugby Sevens,Men,No medal,False
Kippei Taninaka,M,Japan,JPN,2024,Paris,Rugby Sevens,Men,No medal,False
Takamasa Maruo,M,Japan,JPN,2024,Paris,Rugby Sevens,Men,No medal,False
Josua Kerevi,M,Japan,JPN,2024,Paris,Rugby Sevens,Men,No medal,False
Taichi Yoshizawa,M,Japan,JPN,2024,Paris,Rugby Sevens,Men,No medal,False
Yu Okudaira,M,Japan,JPN,2024,Paris,Rugby Sevens,Men,No medal,False
Yoshiyuki Koga,M,Japan,JPN,2024,Paris,Rugby Sevens,Men,No medal,False
Yoshihiro Noguchi,M,Japan,JPN,2024,Paris,Rugby Sevens,Men,No medal,False
Junya Matsumoto,M,Japan,JPN,2024,Paris,Rugby Sevens,Men,No medal,False
Taiga Ishida,M,Japan,JPN,2024,Paris,Rugby Sevens,Men,No medal,False
Moeki Fukushi,M,Japan,JPN,2024,Paris,Rugby Sevens,Men,No medal,False
Shotaro Tsuoka,M,Japan,JPN,2024,Paris,Rugby Sevens,Men,No medal,False
Kippei Ishida,M,Japan,JPN,2024,Paris,Rugby Sevens,Men,No medal,True
