Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Seiya Adachi,M,Japan,JPN,2016,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,True
Atsushi Arai,M,Japan,JPN,2016,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,True
Hachiro Arakawa,M,Japan,JPN,1964,Tokyo,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False
Toru Arase,M,Japan,JPN,1972,Munich,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False
Kanji Asanuma,M,Japan,JPN,1960,Roma,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False
Shuji Doi,M,Japan,JPN,1932,Los Angeles,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False
Koshi Fujimori,M,Japan,JPN,1984,Los Angeles,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False
Shigenobu Fujimoto,M,Japan,JPN,1960,Roma,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,True
Shigenobu Fujimoto,M,Japan,JPN,1964,Tokyo,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,True
Akira Fujita,M,Japan,JPN,1932,Los Angeles,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False
Etsuji Fujita,M,Japan,JPN,1984,Los Angeles,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False
Toshio Fukumoto,M,Japan,JPN,1984,Los Angeles,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False
Jihei Furusho,M,Japan,JPN,1936,Berlin,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False
Hiroshi Hashimoto,M,Japan,JPN,1972,Munich,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False
Shota Hazui,M,Japan,JPN,2016,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False
Daisuke Houki,M,Japan,JPN,1984,Los Angeles,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False
