Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Zoya Ananchenko,F,Kazakhstan,KAZ,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,True
Zoya Ananchenko,F,Kazakhstan,KAZ,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Inna Klinova,F,Kazakhstan,KAZ,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",No medal,True
Inna Klinova,F,Kazakhstan,KAZ,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Yekaterina Lukichova-smirnova,F,Kazakhstan,KAZ,2008,Beijing,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No medal,True
Yekaterina Lukichova-smirnova,F,Kazakhstan,KAZ,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No medal,True
Irina Podoynikova,F,Kazakhstan,KAZ,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Irina Podoynikova,F,Kazakhstan,KAZ,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Nataliya Sergeyeva,F,Kazakhstan,KAZ,2004,Athina,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,True
Nataliya Sergeyeva,F,Kazakhstan,KAZ,2004,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Nataliya Sergeyeva,F,Kazakhstan,KAZ,2012,London,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",No medal,True
Nataliya Sergeyeva,F,Kazakhstan,KAZ,2012,London,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,True
Nataliya Sergeyeva,F,Kazakhstan,KAZ,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Nataliya Sergeyeva,F,Kazakhstan,KAZ,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Ellina Uzhakhova,F,Kazakhstan,KAZ,2004,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,False
