Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Ilga (-meikste),F,Latvia,LAT,1992,Barcelona,Athletics,Athletics Women's Discus Throw,No medal,False
Jeena (-jerova),F,Latvia,LAT,1996,Atlanta,Athletics,Athletics Women's Triple Jump,No medal,False
Jeena Elnova-prokopuka,F,Latvia,LAT,1996,Atlanta,Athletics,"Athletics Women's 5,000 metres",No medal,True
Jeena Elnova-prokopuka,F,Latvia,LAT,2000,Sydney,Athletics,"Athletics Women's 5,000 metres",No medal,True
Jeena Elnova-prokopuka,F,Latvia,LAT,2000,Sydney,Athletics,"Athletics Women's 10,000 metres",No medal,True
Jeena Elnova-prokopuka,F,Latvia,LAT,2004,Athina,Athletics,"Athletics Women's 10,000 metres",No medal,True
Jeena Elnova-prokopuka,F,Latvia,LAT,2016,Rio de Janeiro,Athletics,Athletics Women's Marathon,No medal,True
Jolanta Dukure,F,Latvia,LAT,2000,Sydney,Athletics,Athletics Women's 20 kilometres Walk,No medal,True
Jolanta Dukure,F,Latvia,LAT,2008,Beijing,Athletics,Athletics Women's 20 kilometres Walk,No medal,True
Valentna (tolstika-),F,Latvia,LAT,1992,Barcelona,Athletics,Athletics Women's High Jump,No medal,True
Valentna (tolstika-),F,Latvia,LAT,1996,Atlanta,Athletics,Athletics Women's Long Jump,No medal,True
Valentna (tolstika-),F,Latvia,LAT,2000,Sydney,Athletics,Athletics Women's Long Jump,No medal,True
Valentna (tolstika-),F,Latvia,LAT,2004,Athina,Athletics,Athletics Women's Long Jump,No medal,True
Aiga Grabuste,F,Latvia,LAT,2008,Beijing,Athletics,Athletics Women's Heptathlon,No medal,True
Aiga Grabuste,F,Latvia,LAT,2012,London,Athletics,Athletics Women's Heptathlon,No medal,True
Ilze Gribule,F,Latvia,LAT,2004,Athina,Athletics,Athletics Women's Javelin Throw,No medal,False
Lauma Grva,F,Latvia,LAT,2012,London,Athletics,Athletics Women's Long Jump,No medal,False
Ariana (zvrs-),F,Latvia,LAT,2016,Rio de Janeiro,Athletics,Athletics Women's Marathon,No medal,False
Laura Ikauniece-admidia,F,Latvia,LAT,2012,London,Athletics,Athletics Women's Heptathlon,No medal,True
Laura Ikauniece-admidia,F,Latvia,LAT,2016,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,No medal,True
Lana Jkabsone,F,Latvia,LAT,1996,Atlanta,Athletics,Athletics Women's 400 metres Hurdles,No medal,False
Poina Jeizarova,F,Latvia,LAT,2012,London,Athletics,"Athletics Women's 3,000 metres Steeplechase",No medal,False
Elfrda -brzia),F,Latvia,LAT,1928,Amsterdam,Athletics,Athletics Women's Discus Throw,No medal,False
Anita Klapote,F,Latvia,LAT,1992,Barcelona,Athletics,"Athletics Women's 10,000 metres",No medal,False
Lga Kavia,F,Latvia,LAT,2000,Sydney,Athletics,Athletics Women's High Jump,No medal,False
Inga Koarenoka,F,Latvia,LAT,2000,Sydney,Athletics,Athletics Women's Javelin Throw,No medal,False
Gunta Latieva-udare,F,Latvia,LAT,2016,Rio de Janeiro,Athletics,Athletics Women's 400 metres,No medal,False
Irina Latve,F,Latvia,LAT,2000,Sydney,Athletics,Athletics Women's 800 metres,No medal,False
Anita (strte-),F,Latvia,LAT,1996,Atlanta,Athletics,Athletics Women's 10 kilometres Walk,No medal,True
Anita (strte-),F,Latvia,LAT,2000,Sydney,Athletics,Athletics Women's 20 kilometres Walk,No medal,True
Anita (strte-),F,Latvia,LAT,2004,Athina,Athletics,Athletics Women's 20 kilometres Walk,No medal,True
Zinaida (-zere),F,Latvia,LAT,1928,Amsterdam,Athletics,Athletics Women's 100 metres,No medal,False
