Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Adolfas Akelaitis,M,Lithuania,LTU,1928,Amsterdam,Athletics,Athletics Men's High Jump,No medal,False
Virgilijus Alekna,M,Lithuania,LTU,1996,Atlanta,Athletics,Athletics Men's Discus Throw,No medal,True
Virgilijus Alekna,M,Lithuania,LTU,2000,Sydney,Athletics,Athletics Men's Discus Throw,Gold,True
Virgilijus Alekna,M,Lithuania,LTU,2004,Athina,Athletics,Athletics Men's Discus Throw,Gold,True
Virgilijus Alekna,M,Lithuania,LTU,2008,Beijing,Athletics,Athletics Men's Discus Throw,Bronze,True
Virgilijus Alekna,M,Lithuania,LTU,2012,London,Athletics,Athletics Men's Discus Throw,No medal,True
Gintaras Andriukeviius,M,Lithuania,LTU,2004,Athina,Athletics,Athletics Men's 20 kilometres Walk,No medal,False
Tomas Bardauskas,M,Lithuania,LTU,2000,Sydney,Athletics,Athletics Men's Long Jump,No medal,False
Valdas Dopolskas,M,Lithuania,LTU,2016,Rio de Janeiro,Athletics,Athletics Men's Marathon,No medal,False
Darius Draudvila,M,Lithuania,LTU,2012,London,Athletics,Athletics Men's Decathlon,No medal,False
Pavelas Fedorenka,M,Lithuania,LTU,1996,Atlanta,Athletics,Athletics Men's Marathon,No medal,False
Andrius Gudius,M,Lithuania,LTU,2016,Rio de Janeiro,Athletics,Athletics Men's Discus Throw,No medal,False
Arnas Jurkas,M,Lithuania,LTU,2000,Sydney,Athletics,Athletics Men's Javelin Throw,No medal,False
Remigijus Kanys,M,Lithuania,LTU,2016,Rio de Janeiro,Athletics,Athletics Men's Marathon,No medal,False
Valdas Kazlauskas,M,Lithuania,LTU,1996,Atlanta,Athletics,Athletics Men's 20 kilometres Walk,No medal,False
Vaclavas Kidykas,M,Lithuania,LTU,1992,Barcelona,Athletics,Athletics Men's Discus Throw,No medal,True
Vaclavas Kidykas,M,Lithuania,LTU,1996,Atlanta,Athletics,Athletics Men's Discus Throw,No medal,True
Vaclavas Kidykas,M,Lithuania,LTU,2000,Sydney,Athletics,Athletics Men's Discus Throw,No medal,True
Saulius Kleiza,M,Lithuania,LTU,1996,Atlanta,Athletics,Athletics Men's Shot Put,No medal,True
Saulius Kleiza,M,Lithuania,LTU,2000,Sydney,Athletics,Athletics Men's Shot Put,No medal,True
Vitalij Kozlov,M,Lithuania,LTU,2008,Beijing,Athletics,Athletics Men's 800 metres,No medal,False
eslovas Kundrotas,M,Lithuania,LTU,1996,Atlanta,Athletics,Athletics Men's Marathon,No medal,False
Arturas Mastianica,M,Lithuania,LTU,2016,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,No medal,False
Viktoras Mekauskas,M,Lithuania,LTU,1992,Barcelona,Athletics,Athletics Men's 20 kilometres Walk,No medal,False
Jonas Motiejnas,M,Lithuania,LTU,2000,Sydney,Athletics,Athletics Men's 400 metres,No medal,False
Povilas Mykolaitis,M,Lithuania,LTU,2012,London,Athletics,Athletics Men's Long Jump,No medal,False
Mindaugas Norbutas,M,Lithuania,LTU,2004,Athina,Athletics,Athletics Men's 800 metres,No medal,False
Julius Petraitis,M,Lithuania,LTU,1928,Amsterdam,Athletics,"Athletics Men's 5,000 metres",No medal,False
Mindaugas Puktas,M,Lithuania,LTU,2004,Athina,Athletics,Athletics Men's Marathon,No medal,False
Audrius Raizgys,M,Lithuania,LTU,1996,Atlanta,Athletics,Athletics Men's Triple Jump,No medal,False
Viktoras Raaitis,M,Lithuania,LTU,1928,Amsterdam,Athletics,Athletics Men's Javelin Throw,No medal,False
Rytis Sakalauskas,M,Lithuania,LTU,2012,London,Athletics,Athletics Men's 100 metres,No medal,False
Marius Avelskis,M,Lithuania,LTU,2016,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,No medal,False
Darius Karnulis,M,Lithuania,LTU,2008,Beijing,Athletics,Athletics Men's 50 kilometres Walk,No medal,False
Donatas Karnulis,M,Lithuania,LTU,2008,Beijing,Athletics,Athletics Men's 50 kilometres Walk,No medal,False
Raivydas Stanys,M,Lithuania,LTU,2012,London,Athletics,Athletics Men's High Jump,No medal,False
Tadas Ukeviius,M,Lithuania,LTU,2008,Beijing,Athletics,Athletics Men's 50 kilometres Walk,No medal,True
Tadas Ukeviius,M,Lithuania,LTU,2012,London,Athletics,Athletics Men's 50 kilometres Walk,No medal,True
Tadas Ukeviius,M,Lithuania,LTU,2016,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,No medal,True
Haris Veminas,M,Lithuania,LTU,1928,Amsterdam,Athletics,Athletics Men's 100 metres,No medal,True
Haris Veminas,M,Lithuania,LTU,1928,Amsterdam,Athletics,Athletics Men's 200 metres,No medal,True
Romas Ubartas,M,Lithuania,LTU,1992,Barcelona,Athletics,Athletics Men's Discus Throw,Gold,True
Romas Ubartas,M,Lithuania,LTU,2000,Sydney,Athletics,Athletics Men's Discus Throw,No medal,True
Benjaminas Viluckis,M,Lithuania,LTU,1992,Barcelona,Athletics,Athletics Men's Hammer Throw,No medal,False
Dainius Virbickas,M,Lithuania,LTU,1996,Atlanta,Athletics,Athletics Men's Marathon,No medal,False
