Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Dyton Chimwaza,M,Malawi,MAW,1984,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Dyton Chimwaza,M,Malawi,MAW,1984,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Dyton Chimwaza,M,Malawi,MAW,1988,Seoul,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Dyton Chimwaza,M,Malawi,MAW,1988,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Daniel Kaswanga,M,Malawi,MAW,1984,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Daniel Kaswanga,M,Malawi,MAW,1984,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Daniel Kaswanga,M,Malawi,MAW,1988,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Raphael Kazembe,M,Malawi,MAW,1972,Munich,Cycling,"Cycling Men's Road Race, Individual",No medal,False
Grimon Langson,M,Malawi,MAW,1972,Munich,Cycling,"Cycling Men's Road Race, Individual",No medal,False
George Nayeja,M,Malawi,MAW,1984,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",No medal,True
George Nayeja,M,Malawi,MAW,1984,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
George Nayeja,M,Malawi,MAW,1988,Seoul,Cycling,"Cycling Men's Road Race, Individual",No medal,True
George Nayeja,M,Malawi,MAW,1988,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Amadu Yusufu,M,Malawi,MAW,1984,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Amadu Yusufu,M,Malawi,MAW,1984,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Amadu Yusufu,M,Malawi,MAW,1988,Seoul,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Amadu Yusufu,M,Malawi,MAW,1988,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
