Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Chan Soon,M,Malaysia,MAS,2012,London,Badminton,Badminton Mixed Doubles,No medal,True
Chan Soon,M,Malaysia,MAS,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Silver,True
Foo Keong,M,Malaysia,MAS,1992,Barcelona,Badminton,Badminton Men's Singles,No medal,False
Goh Shem,M,Malaysia,MAS,2016,Rio de Janeiro,Badminton,Badminton Men's Doubles,Silver,False
Mohamed Hashim,M,Malaysia,MAS,2004,Athina,Badminton,Badminton Men's Singles,No medal,False
Koo Keat,M,Malaysia,MAS,2012,London,Badminton,Badminton Men's Doubles,No medal,False
Lee Wei,M,Malaysia,MAS,2004,Athina,Badminton,Badminton Men's Singles,No medal,True
Lee Wei,M,Malaysia,MAS,2008,Beijing,Badminton,Badminton Men's Singles,Silver,True
Lee Wei,M,Malaysia,MAS,2012,London,Badminton,Badminton Men's Singles,Silver,True
Lee Wei,M,Malaysia,MAS,2016,Rio de Janeiro,Badminton,Badminton Men's Singles,Silver,True
Ong Hock,M,Malaysia,MAS,1996,Atlanta,Badminton,Badminton Men's Singles,No medal,True
Ong Hock,M,Malaysia,MAS,2000,Sydney,Badminton,Badminton Men's Singles,No medal,True
Rashid Mohamed,M,Malaysia,MAS,1992,Barcelona,Badminton,Badminton Men's Singles,No medal,True
Rashid Mohamed,M,Malaysia,MAS,1996,Atlanta,Badminton,Badminton Men's Singles,Bronze,True
Tan Heong,M,Malaysia,MAS,2012,London,Badminton,Badminton Men's Doubles,No medal,False
Tan Kiong,M,Malaysia,MAS,2016,Rio de Janeiro,Badminton,Badminton Men's Doubles,Silver,False
Wong Hann,M,Malaysia,MAS,2000,Sydney,Badminton,Badminton Men's Singles,No medal,True
Wong Hann,M,Malaysia,MAS,2004,Athina,Badminton,Badminton Men's Singles,No medal,True
Wong Hann,M,Malaysia,MAS,2008,Beijing,Badminton,Badminton Men's Singles,No medal,True
Soon Chan,M,Malaysia,MAS,2020,Tokyo,Badminton,Mixed Doubles Team,No medal,False
Aaron Chia,M,Malaysia,MAS,2020,Tokyo,Badminton,Men's Doubles Team,Bronze,True
Jia Lee,M,Malaysia,MAS,2020,Tokyo,Badminton,Men's Singles,No medal,True
Yik Soh,M,Malaysia,MAS,2020,Tokyo,Badminton,Men's Doubles Team,Bronze,True
Aaron Chia,M,Malaysia,MAS,2024,Paris,Badminton,Men's Doubles,Bronze,True
Jie Chen,M,Malaysia,MAS,2024,Paris,Badminton,Mixed Doubles,No medal,False
Jia Lee,M,Malaysia,MAS,2024,Paris,Badminton,Men's Singles,Bronze,True
Yik Soh,M,Malaysia,MAS,2024,Paris,Badminton,Men's Doubles,Bronze,True
