Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Fatoumata Bagayoko,F,Mali,MLI,2008,Beijing,Basketball,Basketball Women's Basketball,No medal,False
Nagnouma Coulibaly,F,Mali,MLI,2008,Beijing,Basketball,Basketball Women's Basketball,No medal,False
Mariatou Diarra,F,Mali,MLI,2008,Beijing,Basketball,Basketball Women's Basketball,No medal,False
Djene Diawara,F,Mali,MLI,2008,Beijing,Basketball,Basketball Women's Basketball,No medal,False
Diana Gandega,F,Mali,MLI,2008,Beijing,Basketball,Basketball Women's Basketball,No medal,False
Kadiatou Kanoute,F,Mali,MLI,2008,Beijing,Basketball,Basketball Women's Basketball,No medal,False
Hamchtou Maga-ba,F,Mali,MLI,2008,Beijing,Basketball,Basketball Women's Basketball,No medal,False
Aminata Sininta,F,Mali,MLI,2008,Beijing,Basketball,Basketball Women's Basketball,No medal,False
Djnbou Sissoko,F,Mali,MLI,2008,Beijing,Basketball,Basketball Women's Basketball,No medal,False
Meiya Tireira,F,Mali,MLI,2008,Beijing,Basketball,Basketball Women's Basketball,No medal,False
Kadiatou Tour,F,Mali,MLI,2008,Beijing,Basketball,Basketball Women's Basketball,No medal,False
Nassira Traor,F,Mali,MLI,2008,Beijing,Basketball,Basketball Women's Basketball,No medal,False
