Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Harry Bonavia,M,Malta,MLT,1928,Amsterdam,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
Carmelo Busietta,M,Malta,MLT,1928,Amsterdam,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
Victor Busietta,M,Malta,MLT,1928,Amsterdam,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
James Bonacia,M,Malta,MLT,1936,Berlin,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
Louis Darmanin,M,Malta,MLT,1928,Amsterdam,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
Joseph Demicoli,M,Malta,MLT,1936,Berlin,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
John Azzopardi,M,Malta,MLT,1936,Berlin,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
Alfred Lanzon,M,Malta,MLT,1936,Berlin,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
Edward Magri,M,Malta,MLT,1928,Amsterdam,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
Francisco Nappa,M,Malta,MLT,1928,Amsterdam,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
Victor Pace,M,Malta,MLT,1928,Amsterdam,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
Arthur Podest,M,Malta,MLT,1936,Berlin,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
Wilfred Podest,M,Malta,MLT,1936,Berlin,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
Arturo Rizzo,M,Malta,MLT,1928,Amsterdam,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
Filippo Schembri,M,Malta,MLT,1936,Berlin,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
Sydney Scott,M,Malta,MLT,1936,Berlin,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
Roger Vella,M,Malta,MLT,1928,Amsterdam,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
Francis Wismayer,M,Malta,MLT,1936,Berlin,Water Polo,Water Polo Men's Water Polo,No medal,Water,WPO,False,True
