Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
E. Bellotti,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 6-Man Naval Rowing Boats,Gold,Rowing,ROW,False
Angelo Buoni,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,Rowing,ROW,False
G. Cingottu,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,Rowing,ROW,False
Angelo Fornaciari,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 6-Man Naval Rowing Boats,Gold,Rowing,ROW,False
L. Frediani,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,Rowing,ROW,False
Ezio Germignani,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,Rowing,ROW,False
Augusto Graffigna,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,Rowing,ROW,False
Antonio Mautrere,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,Rowing,ROW,False
F. Mennella,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,Rowing,ROW,False
S. Messina,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,Rowing,ROW,False
Alphonso Nordio,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,Rowing,ROW,False
P. Oddone,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,Rowing,ROW,False
F. Pieraccini,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,Rowing,ROW,False
G. Pizzo,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,Rowing,ROW,False
Sebastiano Randazzo,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,Rowing,ROW,False
E. Rossi,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,Rowing,ROW,False
Alberto Ruggia,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,Rowing,ROW,False
Giuseppe Russo,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 6-Man Naval Rowing Boats,Gold,Rowing,ROW,False
Angelo Sartini,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,Rowing,ROW,False
Giovanni Tanio,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 6-Man Naval Rowing Boats,Gold,Rowing,ROW,False
R. Taormina,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 6-Man Naval Rowing Boats,Gold,Rowing,ROW,False
G. Tarantino,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 6-Man Naval Rowing Boats,Gold,Rowing,ROW,False
P. Toio,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 6-Man Naval Rowing Boats,Gold,Rowing,ROW,False
G. Zannino,M,"Marinai Della Nave Da Guerra ""Varese""",ITA,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,Rowing,ROW,False
