Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
rika Miranda,F,Mexico,MEX,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,True
rika Miranda,F,Mexico,MEX,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Ann Henningsen,F,Mexico,MEX,1968,Mexico City,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,True
Ann Henningsen,F,Mexico,MEX,1968,Mexico City,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Renata S.,F,Mexico,MEX,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Renata S.,F,Mexico,MEX,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Itzel Reza,F,Mexico,MEX,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,False
Sandra Gutirrez,F,Mexico,MEX,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Sandra Gutirrez,F,Mexico,MEX,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Angelica Zawadski,F,Mexico,MEX,1968,Mexico City,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,False
