Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Baatarkhgiin Battsetseg,F,Mongolia,MGL,2000,Sydney,Athletics,"Athletics Women's 5,000 metres",No medal,False
Batgereliin Mngntuyaa,F,Mongolia,MGL,2008,Beijing,Athletics,Athletics Women's 400 metres,No medal,False
Bayartsogtyn Mnkhzayaa,F,Mongolia,MGL,2016,Rio de Janeiro,Athletics,Athletics Women's Marathon,No medal,False
Dashzevgiin Namjilmaa,F,Mongolia,MGL,1964,Tokyo,Athletics,Athletics Women's Discus Throw,No medal,True
Dashzevgiin Namjilmaa,F,Mongolia,MGL,1968,Mexico City,Athletics,Athletics Women's Discus Throw,No medal,True
Erkhemsaikhany Davaajargal,F,Mongolia,MGL,1996,Atlanta,Athletics,Athletics Women's Marathon,No medal,False
Luvsanlkhndeviin Otgonbayar,F,Mongolia,MGL,2004,Athina,Athletics,Athletics Women's Marathon,No medal,True
Luvsanlkhndeviin Otgonbayar,F,Mongolia,MGL,2012,London,Athletics,Athletics Women's Marathon,No medal,True
Luvsanlkhndeviin Otgonbayar,F,Mongolia,MGL,2016,Rio de Janeiro,Athletics,Athletics Women's Marathon,No medal,True
Ramazangiin Aldaa-nysh,F,Mongolia,MGL,1964,Tokyo,Athletics,Athletics Women's 400 metres,No medal,True
Ramazangiin Aldaa-nysh,F,Mongolia,MGL,1964,Tokyo,Athletics,Athletics Women's 800 metres,No medal,True
Munkhzaya Bayartsogt,F,Mongolia,MGL,2020,Tokyo,Athletics,Women's Marathon,No medal,True
Munkhzaya Bayartsogt,F,Mongolia,MGL,2024,Paris,Athletics,Women's Marathon,No medal,True
Khishigsaikhan Galbadrakh,F,Mongolia,MGL,2024,Paris,Athletics,Women's Marathon,No medal,False
