Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Younes Al-ahamdi,M,Morocco,MAR,2004,Athina,Judo,Judo Men's Extra-Lightweight,No medal,Judo,JUD,True,True
Younes Al-ahamdi,M,Morocco,MAR,2008,Beijing,Judo,Judo Men's Extra-Lightweight,No medal,Judo,JUD,True,False
Safouane Attaf,M,Morocco,MAR,2008,Beijing,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,True,True
Safouane Attaf,M,Morocco,MAR,2012,London,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,True,False
Ahmed Barbach,M,Morocco,MAR,1988,Seoul,Judo,Judo Men's Half-Heavyweight,No medal,Judo,JUD,False,True
Imad Bassou,M,Morocco,MAR,2016,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,No medal,Judo,JUD,False,True
Adil Gaid,M,Morocco,MAR,1996,Atlanta,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,True,True
Adil Gaid,M,Morocco,MAR,2000,Sydney,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,True,False
Adil Gaid,M,Morocco,MAR,2004,Athina,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,True,False
Moustafa Belhmira,M,Morocco,MAR,1972,Munich,Judo,Judo Men's Lightweight,No medal,Judo,JUD,False,True
Tijini Kassou,M,Morocco,MAR,1972,Munich,Judo,Judo Men's Heavyweight,No medal,Judo,JUD,True,True
Tijini Kassou,M,Morocco,MAR,1972,Munich,Judo,Judo Men's Open Class,No medal,Judo,JUD,True,True
Abdel Chorfi,M,Morocco,MAR,1996,Atlanta,Judo,Judo Men's Extra-Lightweight,No medal,Judo,JUD,True,True
Abdel Chorfi,M,Morocco,MAR,2000,Sydney,Judo,Judo Men's Extra-Lightweight,No medal,Judo,JUD,True,False
Hamza Doublali,M,Morocco,MAR,1984,Los Angeles,Judo,Judo Men's Middleweight,No medal,Judo,JUD,False,True
Mohamed El-assri,M,Morocco,MAR,2008,Beijing,Judo,Judo Men's Middleweight,No medal,Judo,JUD,False,True
Driss El-mamoun,M,Morocco,MAR,1988,Seoul,Judo,Judo Men's Half-Lightweight,No medal,Judo,JUD,False,True
Adil Kaaba,M,Morocco,MAR,1996,Atlanta,Judo,Judo Men's Middleweight,No medal,Judo,JUD,False,True
Abderrahim Lahcinia,M,Morocco,MAR,1988,Seoul,Judo,Judo Men's Heavyweight,No medal,Judo,JUD,False,True
Abdelhak Maach,M,Morocco,MAR,1988,Seoul,Judo,Judo Men's Lightweight,No medal,Judo,JUD,False,True
Mohamed Maach,M,Morocco,MAR,1984,Los Angeles,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,False,True
El Al-malki,M,Morocco,MAR,2012,London,Judo,Judo Men's Heavyweight,No medal,Judo,JUD,False,True
Yassine Moudatir,M,Morocco,MAR,2012,London,Judo,Judo Men's Extra-Lightweight,No medal,Judo,JUD,False,True
Rachid Rguig,M,Morocco,MAR,2008,Beijing,Judo,Judo Men's Half-Lightweight,No medal,Judo,JUD,False,True
Abdel Slimani,M,Morocco,MAR,1984,Los Angeles,Judo,Judo Men's Extra-Lightweight,No medal,Judo,JUD,False,True
Boubker Slimani,M,Morocco,MAR,1972,Munich,Judo,Judo Men's Middleweight,No medal,Judo,JUD,False,True
Abderrahmane Boushita,M,Morocco,MAR,2024,Paris,Judo,Men -66 kg,No medal,Men,JUD,False,True
Achraf Moutii,M,Morocco,MAR,2024,Paris,Judo,Men -81 kg,No medal,Men,JUD,False,True
