Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Arjun Basnet,M,Nepal,NEP,2008,Beijing,Athletics,Athletics Men's Marathon,No medal,False
Krishna Basnet,M,Nepal,NEP,1988,Seoul,Athletics,Athletics Men's Marathon,No medal,False
Laxman Basnet,M,Nepal,NEP,1980,Moskva,Athletics,"Athletics Men's 5,000 metres",No medal,False
Rajendra Bhandari,M,Nepal,NEP,2004,Athina,Athletics,"Athletics Men's 5,000 metres",No medal,False
Tika Bogati,M,Nepal,NEP,1988,Seoul,Athletics,Athletics Men's Marathon,No medal,True
Tika Bogati,M,Nepal,NEP,1996,Atlanta,Athletics,Athletics Men's Marathon,No medal,True
Gyan Bohara,M,Nepal,NEP,2000,Sydney,Athletics,"Athletics Men's 5,000 metres",No medal,False
Nara Dahal,M,Nepal,NEP,1980,Moskva,Athletics,"Athletics Men's 10,000 metres",No medal,False
Jodha Gurung,M,Nepal,NEP,1984,Los Angeles,Athletics,Athletics Men's 800 metres,No medal,False
Jit Chhetri,M,Nepal,NEP,1972,Munich,Athletics,Athletics Men's Marathon,No medal,False
Dambar Kuwar,M,Nepal,NEP,1988,Seoul,Athletics,Athletics Men's 110 metres Hurdles,No medal,True
Dambar Kuwar,M,Nepal,NEP,1988,Seoul,Athletics,Athletics Men's 400 metres Hurdles,No medal,True
Dambar Kuwar,M,Nepal,NEP,1988,Seoul,Athletics,Athletics Men's Decathlon,No medal,True
Baikuntha Manandhar,M,Nepal,NEP,1976,Montreal,Athletics,Athletics Men's Marathon,No medal,True
Baikuntha Manandhar,M,Nepal,NEP,1980,Moskva,Athletics,Athletics Men's Marathon,No medal,True
Baikuntha Manandhar,M,Nepal,NEP,1984,Los Angeles,Athletics,Athletics Men's Marathon,No medal,True
Baikuntha Manandhar,M,Nepal,NEP,1988,Seoul,Athletics,Athletics Men's Marathon,No medal,True
Pushpa Ojha,M,Nepal,NEP,1984,Los Angeles,Athletics,Athletics Men's 400 metres,No medal,False
Raghu Onta,M,Nepal,NEP,1980,Moskva,Athletics,Athletics Men's 100 metres,No medal,False
Arjun Pandit,M,Nepal,NEP,1984,Los Angeles,Athletics,Athletics Men's Marathon,No medal,False
Hari Rimal,M,Nepal,NEP,2016,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",No medal,False
Hari Rokaya,M,Nepal,NEP,1988,Seoul,Athletics,"Athletics Men's 1,500 metres",No medal,True
Hari Rokaya,M,Nepal,NEP,1988,Seoul,Athletics,"Athletics Men's 5,000 metres",No medal,True
Hari Rokaya,M,Nepal,NEP,1988,Seoul,Athletics,"Athletics Men's 10,000 metres",No medal,True
Hari Rokaya,M,Nepal,NEP,1992,Barcelona,Athletics,Athletics Men's Marathon,No medal,True
Bhakta Sapkota,M,Nepal,NEP,1972,Munich,Athletics,Athletics Men's Marathon,No medal,False
Mukunda Shrestha,M,Nepal,NEP,1980,Moskva,Athletics,Athletics Men's Marathon,No medal,False
Bhupendra Silwal,M,Nepal,NEP,1964,Tokyo,Athletics,Athletics Men's Marathon,No medal,False
Ganga Thapa,M,Nepal,NEP,1964,Tokyo,Athletics,Athletics Men's Marathon,No medal,False
Tilak Tharu,M,Nepal,NEP,2012,London,Athletics,Athletics Men's 100 metres,No medal,False
Amiri Yadav,M,Nepal,NEP,1984,Los Angeles,Athletics,Athletics Men's Marathon,No medal,False
