Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Bernard Camps,M,Netherlands,NED,1992,Barcelona,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Bernard Camps,M,Netherlands,NED,1992,Barcelona,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Pieter Custers,M,Netherlands,NED,2004,Athina,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Pieter Custers,M,Netherlands,NED,2004,Athina,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Petrus Brouwer,M,Netherlands,NED,1920,Antwerpen,Archery,"Archery Men's Target Archery, 28 metres, Team",Gold,Archery,ARC,False,True
Mitch Dielemans,M,Netherlands,NED,2016,Rio de Janeiro,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Mitch Dielemans,M,Netherlands,NED,2016,Rio de Janeiro,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Josephus Heerkens,M,Netherlands,NED,1900,Paris,Archery,Archery Men's Unknown Event,No medal,Archery,ARC,False,True
Franciscus Hexspoor,M,Netherlands,NED,1900,Paris,Archery,Archery Men's Unknown Event,No medal,Archery,ARC,False,True
Henricus Mansvelt,M,Netherlands,NED,1900,Paris,Archery,Archery Men's Unknown Event,No medal,Archery,ARC,False,True
Petrus Nouwens,M,Netherlands,NED,1900,Paris,Archery,Archery Men's Unknown Event,No medal,Archery,ARC,False,True
Jan Packbiers,M,Netherlands,NED,1920,Antwerpen,Archery,"Archery Men's Target Archery, 28 metres, Team",Gold,Archery,ARC,False,True
Marinus Reniers,M,Netherlands,NED,1980,Moskva,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Marinus Reniers,M,Netherlands,NED,1984,Los Angeles,Archery,Archery Men's Individual,No medal,Archery,ARC,True,False
Marinus Reniers,M,Netherlands,NED,1988,Seoul,Archery,Archery Men's Individual,No medal,Archery,ARC,True,False
Johannes Stovers,M,Netherlands,NED,1900,Paris,Archery,Archery Men's Unknown Event,No medal,Archery,ARC,False,True
Adrianus Theeuwes,M,Netherlands,NED,1920,Antwerpen,Archery,"Archery Men's Target Archery, 28 metres, Team",Gold,Archery,ARC,False,True
Wietse Alten,M,Netherlands,NED,2000,Sydney,Archery,Archery Men's Individual,Bronze,Archery,ARC,True,True
Wietse Alten,M,Netherlands,NED,2000,Sydney,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Wietse Alten,M,Netherlands,NED,2004,Athina,Archery,Archery Men's Individual,No medal,Archery,ARC,True,False
Wietse Alten,M,Netherlands,NED,2004,Athina,Archery,Archery Men's Team,No medal,Archery,ARC,True,False
Hendrikus Bussel,M,Netherlands,NED,1920,Antwerpen,Archery,"Archery Men's Target Archery, 28 metres, Team",Gold,Archery,ARC,False,True
Sjef Berg,M,Netherlands,NED,2016,Rio de Janeiro,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Sjef Berg,M,Netherlands,NED,2016,Rio de Janeiro,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Ron Hoff,M,Netherlands,NED,2004,Athina,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Ron Hoff,M,Netherlands,NED,2004,Athina,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Rick Ven,M,Netherlands,NED,2012,London,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Rick Ven,M,Netherlands,NED,2016,Rio de Janeiro,Archery,Archery Men's Individual,No medal,Archery,ARC,True,False
Rick Ven,M,Netherlands,NED,2016,Rio de Janeiro,Archery,Archery Men's Team,No medal,Archery,ARC,True,False
Johannes Gastel,M,Netherlands,NED,1900,Paris,Archery,Archery Men's Unknown Event,No medal,Archery,ARC,False,True
Johannes Jr.,M,Netherlands,NED,1920,Antwerpen,Archery,"Archery Men's Target Archery, 28 metres, Team",Gold,Archery,ARC,False,True
Jan Gestel,M,Netherlands,NED,1920,Antwerpen,Archery,"Archery Men's Target Archery, 28 metres, Team",Gold,Archery,ARC,False,True
Adrianus Merrienboer,M,Netherlands,NED,1920,Antwerpen,Archery,"Archery Men's Target Archery, 28 metres, Team",Gold,Archery,ARC,False,True
Franciscus Zutphen,M,Netherlands,NED,2000,Sydney,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Franciscus Zutphen,M,Netherlands,NED,2000,Sydney,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Erwin Verstegen,M,Netherlands,NED,1992,Barcelona,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Erwin Verstegen,M,Netherlands,NED,1992,Barcelona,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Henderikus Vogels,M,Netherlands,NED,1992,Barcelona,Archery,Archery Men's Individual,No medal,Archery,ARC,True,True
Henderikus Vogels,M,Netherlands,NED,1992,Barcelona,Archery,Archery Men's Team,No medal,Archery,ARC,True,True
Henderikus Vogels,M,Netherlands,NED,2000,Sydney,Archery,Archery Men's Individual,No medal,Archery,ARC,True,False
Henderikus Vogels,M,Netherlands,NED,2000,Sydney,Archery,Archery Men's Team,No medal,Archery,ARC,True,False
Theodorus Willems,M,Netherlands,NED,1920,Antwerpen,Archery,"Archery Men's Target Archery, 28 metres, Team",Gold,Archery,ARC,False,True
Gijs Broeksma,M,Netherlands,NED,2020,Tokyo,Archery,Men's Individual,No medal,Men's,ARC,True,True
Gijs Broeksma,M,Netherlands,NED,2020,Tokyo,Archery,Men's Team,No medal,Men's,ARC,True,True
van Sjef,M,Netherlands,NED,2020,Tokyo,Archery,Men's Individual,No medal,Men's,ARC,True,True
van Sjef,M,Netherlands,NED,2020,Tokyo,Archery,Men's Team,No medal,Men's,ARC,True,True
Steve Wijler,M,Netherlands,NED,2020,Tokyo,Archery,Men's Individual,No medal,Men's,ARC,True,True
Steve Wijler,M,Netherlands,NED,2020,Tokyo,Archery,Men's Team,No medal,Men's,ARC,True,True
Steve Wijler,M,Netherlands,NED,2020,Tokyo,Archery,Mixed Team,Silver,Mixed,ARC,True,True
Steve Wijler,M,Netherlands,NED,2024,Paris,Archery,Men's Individual,No medal,Men's,ARC,True,False
Steve Wijler,M,Netherlands,NED,2024,Paris,Archery,Mixed Team,No medal,Mixed,ARC,True,False
