Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Hendrika Bante,F,Netherlands,NED,1924,Paris,Diving,Diving Women's Springboard,No medal,False
Mietje Puy),F,Netherlands,NED,1928,Amsterdam,Diving,Diving Women's Platform,No medal,False
Maritte (-want),F,Netherlands,NED,1968,Mexico City,Diving,Diving Women's Springboard,No medal,True
Maritte (-want),F,Netherlands,NED,1972,Munich,Diving,Diving Women's Springboard,No medal,True
Dorothea (-sjoerdsma),F,Netherlands,NED,1960,Roma,Diving,Diving Women's Springboard,No medal,False
Jacoba Daatselaar),F,Netherlands,NED,1948,London,Diving,Diving Women's Springboard,No medal,False
Uschi Freitag,F,Netherlands,NED,2016,Rio de Janeiro,Diving,Diving Women's Springboard,No medal,False
Jacoba (-brons),F,Netherlands,NED,1948,London,Diving,Diving Women's Springboard,No medal,False
Catharina (-steenmans),F,Netherlands,NED,1928,Amsterdam,Diving,Diving Women's Springboard,No medal,False
Daphne (-bousquet),F,Netherlands,NED,1984,Los Angeles,Diving,Diving Women's Springboard,No medal,True
Daphne (-bousquet),F,Netherlands,NED,1988,Seoul,Diving,Diving Women's Springboard,No medal,True
Daphne (-bousquet),F,Netherlands,NED,1992,Barcelona,Diving,Diving Women's Springboard,No medal,True
Geertruida Klapwijk,F,Netherlands,NED,1924,Paris,Diving,Diving Women's Springboard,No medal,True
Geertruida Klapwijk,F,Netherlands,NED,1928,Amsterdam,Diving,Diving Women's Springboard,No medal,True
Geertruida Klapwijk,F,Netherlands,NED,1928,Amsterdam,Diving,Diving Women's Platform,No medal,True
Elselina Kuiler,F,Netherlands,NED,1968,Mexico City,Diving,Diving Women's Springboard,No medal,False
Helena Lanting-keller,F,Netherlands,NED,1952,Helsinki,Diving,Diving Women's Springboard,No medal,False
Greta Lugthart,F,Netherlands,NED,1960,Roma,Diving,Diving Women's Springboard,No medal,False
Anna Smith,F,Netherlands,NED,1972,Munich,Diving,Diving Women's Platform,No medal,False
Hendrina Breda),F,Netherlands,NED,1952,Helsinki,Diving,Diving Women's Springboard,No medal,False
Alida (-lotgering),F,Netherlands,NED,1928,Amsterdam,Diving,Diving Women's Springboard,No medal,True
Alida (-lotgering),F,Netherlands,NED,1928,Amsterdam,Diving,Diving Women's Platform,No medal,True
Inge Jansen,F,Netherlands,NED,2020,Tokyo,Diving,Women's 3m Springboard,No medal,False
van Celine,F,Netherlands,NED,2020,Tokyo,Diving,Women's 10m Platform,No medal,False
Else Praasterink,F,Netherlands,NED,2024,Paris,Diving,Women's 10m Platform,No medal,False
