Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Willemien Aardenburg,F,Netherlands,NED,1988,Seoul,Hockey,Hockey Women's Hockey,Bronze,False
Marilyn Agliotti,F,Netherlands,NED,2008,Beijing,Hockey,Hockey Women's Hockey,Gold,True
Marilyn Agliotti,F,Netherlands,NED,2012,London,Hockey,Hockey Women's Hockey,Gold,True
Carina Benninga,F,Netherlands,NED,1984,Los Angeles,Hockey,Hockey Women's Hockey,Gold,True
Carina Benninga,F,Netherlands,NED,1988,Seoul,Hockey,Hockey Women's Hockey,Bronze,True
Carina Benninga,F,Netherlands,NED,1992,Barcelona,Hockey,Hockey Women's Hockey,No medal,True
Carina Bleeker,F,Netherlands,NED,1992,Barcelona,Hockey,Hockey Women's Hockey,No medal,False
Josephine Boekhorst,F,Netherlands,NED,1984,Los Angeles,Hockey,Hockey Women's Hockey,Gold,False
Maria Bolhuis-eijsvogel,F,Netherlands,NED,1984,Los Angeles,Hockey,Hockey Women's Hockey,Gold,True
Maria Bolhuis-eijsvogel,F,Netherlands,NED,1988,Seoul,Hockey,Hockey Women's Hockey,Bronze,True
Minke Booij,F,Netherlands,NED,2000,Sydney,Hockey,Hockey Women's Hockey,Bronze,True
Minke Booij,F,Netherlands,NED,2004,Athina,Hockey,Hockey Women's Hockey,Silver,True
Minke Booij,F,Netherlands,NED,2008,Beijing,Hockey,Hockey Women's Hockey,Gold,True
Ageeth Boomgaardt,F,Netherlands,NED,2000,Sydney,Hockey,Hockey Women's Hockey,Bronze,True
Ageeth Boomgaardt,F,Netherlands,NED,2004,Athina,Hockey,Hockey Women's Hockey,Silver,True
Willemijn Bos,F,Netherlands,NED,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,Silver,False
Yvonne Buter,F,Netherlands,NED,1988,Seoul,Hockey,Hockey Women's Hockey,Bronze,False
Anna Beus,F,Netherlands,NED,1984,Los Angeles,Hockey,Hockey Women's Hockey,Gold,True
Anna Beus,F,Netherlands,NED,1988,Seoul,Hockey,Hockey Women's Hockey,Bronze,True
Merel Blaey,F,Netherlands,NED,2012,London,Hockey,Hockey Women's Hockey,Gold,False
Chantal Bruijn,F,Netherlands,NED,2004,Athina,Hockey,Hockey Women's Hockey,Silver,False
Eva Goede,F,Netherlands,NED,2008,Beijing,Hockey,Hockey Women's Hockey,Gold,True
Eva Goede,F,Netherlands,NED,2012,London,Hockey,Hockey Women's Hockey,Gold,True
Eva Goede,F,Netherlands,NED,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,Silver,True
Stella Heij,F,Netherlands,NED,1996,Atlanta,Hockey,Hockey Women's Hockey,Bronze,False
Lisanne Roever,F,Netherlands,NED,2004,Athina,Hockey,Hockey Women's Hockey,Silver,True
Lisanne Roever,F,Netherlands,NED,2008,Beijing,Hockey,Hockey Women's Hockey,Gold,True
Wietske Ruiter,F,Netherlands,NED,1992,Barcelona,Hockey,Hockey Women's Hockey,No medal,True
Wietske Ruiter,F,Netherlands,NED,1996,Atlanta,Hockey,Hockey Women's Hockey,Bronze,True
Xan Waard,F,Netherlands,NED,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,Silver,False
Julie Deiters,F,Netherlands,NED,2000,Sydney,Hockey,Hockey Women's Hockey,Bronze,False
Wieke Dijkstra,F,Netherlands,NED,2008,Beijing,Hockey,Hockey Women's Hockey,Gold,False
Carlien Heuvel,F,Netherlands,NED,2012,London,Hockey,Hockey Women's Hockey,Gold,True
Carlien Heuvel,F,Netherlands,NED,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,Silver,True
Wilhelmina Donners,F,Netherlands,NED,1996,Atlanta,Hockey,Hockey Women's Hockey,Bronze,True
Wilhelmina Donners,F,Netherlands,NED,2000,Sydney,Hockey,Hockey Women's Hockey,Bronze,True
Wilhelmina Donners,F,Netherlands,NED,2004,Athina,Hockey,Hockey Women's Hockey,Silver,True
Willemijn Duyster,F,Netherlands,NED,1996,Atlanta,Hockey,Hockey Women's Hockey,Bronze,False
Annemieke (-wilbrenninck),F,Netherlands,NED,1988,Seoul,Hockey,Hockey Women's Hockey,Bronze,True
Annemieke (-wilbrenninck),F,Netherlands,NED,1992,Barcelona,Hockey,Hockey Women's Hockey,No medal,True
Maartje Goderie,F,Netherlands,NED,2008,Beijing,Hockey,Hockey Women's Hockey,Gold,True
Maartje Goderie,F,Netherlands,NED,2012,London,Hockey,Hockey Women's Hockey,Gold,True
Desiree Hendriks,F,Netherlands,NED,1984,Los Angeles,Hockey,Hockey Women's Hockey,Gold,False
Francisca (-havenga),F,Netherlands,NED,1984,Los Angeles,Hockey,Hockey Women's Hockey,Gold,False
Eleonoor Holsboer,F,Netherlands,NED,1988,Seoul,Hockey,Hockey Women's Hockey,Bronze,True
Eleonoor Holsboer,F,Netherlands,NED,1992,Barcelona,Hockey,Hockey Women's Hockey,No medal,True
Eleonoor Holsboer,F,Netherlands,NED,1996,Atlanta,Hockey,Hockey Women's Hockey,Bronze,True
Ellen Hoog,F,Netherlands,NED,2008,Beijing,Hockey,Hockey Women's Hockey,Gold,True
Ellen Hoog,F,Netherlands,NED,2012,London,Hockey,Hockey Women's Hockey,Gold,True
Ellen Hoog,F,Netherlands,NED,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,Silver,True
Kelly Jonker,F,Netherlands,NED,2012,London,Hockey,Hockey Women's Hockey,Gold,True
Kelly Jonker,F,Netherlands,NED,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,Silver,True
Sylvia Karres,F,Netherlands,NED,2004,Athina,Hockey,Hockey Women's Hockey,Silver,False
Marloes Keetels,F,Netherlands,NED,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,Silver,False
Petra Koenen,F,Netherlands,NED,1992,Barcelona,Hockey,Hockey Women's Hockey,No medal,False
Nicole (-tellier),F,Netherlands,NED,1996,Atlanta,Hockey,Hockey Women's Hockey,Bronze,False
Ellen (-dubbeldam),F,Netherlands,NED,1996,Atlanta,Hockey,Hockey Women's Hockey,Bronze,False
Kim Lammers,F,Netherlands,NED,2012,London,Hockey,Hockey Women's Hockey,Gold,False
Alexandra Poole,F,Netherlands,NED,1984,Los Angeles,Hockey,Hockey Women's Hockey,Gold,False
Elisabeth Lejeune,F,Netherlands,NED,1988,Seoul,Hockey,Hockey Women's Hockey,Bronze,False
Helena Ben,F,Netherlands,NED,1988,Seoul,Hockey,Hockey Women's Hockey,Bronze,True
Helena Ben,F,Netherlands,NED,1992,Barcelona,Hockey,Hockey Women's Hockey,No medal,True
Laurien Leurink,F,Netherlands,NED,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,Silver,True
Jeannette Lewin,F,Netherlands,NED,1992,Barcelona,Hockey,Hockey Women's Hockey,No medal,True
Jeannette Lewin,F,Netherlands,NED,1996,Atlanta,Hockey,Hockey Women's Hockey,Bronze,True
Ftima Melo,F,Netherlands,NED,2000,Sydney,Hockey,Hockey Women's Hockey,Bronze,True
Ftima Melo,F,Netherlands,NED,2004,Athina,Hockey,Hockey Women's Hockey,Silver,True
Ftima Melo,F,Netherlands,NED,2008,Beijing,Hockey,Hockey Women's Hockey,Gold,True
Eefke Mulder,F,Netherlands,NED,2004,Athina,Hockey,Hockey Women's Hockey,Silver,True
Eefke Mulder,F,Netherlands,NED,2008,Beijing,Hockey,Hockey Women's Hockey,Gold,True
Anne Nieuwenhuizen,F,Netherlands,NED,1984,Los Angeles,Hockey,Hockey Women's Hockey,Gold,True
Anne Nieuwenhuizen,F,Netherlands,NED,1988,Seoul,Hockey,Hockey Women's Hockey,Bronze,True
Martine Ohr,F,Netherlands,NED,1984,Los Angeles,Hockey,Hockey Women's Hockey,Gold,True
Martine Ohr,F,Netherlands,NED,1988,Seoul,Hockey,Hockey Women's Hockey,Bronze,True
Martine Ohr,F,Netherlands,NED,1992,Barcelona,Hockey,Hockey Women's Hockey,No medal,True
Maartje Paumen,F,Netherlands,NED,2008,Beijing,Hockey,Hockey Women's Hockey,Gold,True
Maartje Paumen,F,Netherlands,NED,2012,London,Hockey,Hockey Women's Hockey,Gold,True
Maartje Paumen,F,Netherlands,NED,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,Silver,True
Suzanne Plesman,F,Netherlands,NED,1996,Atlanta,Hockey,Hockey Women's Hockey,Bronze,False
Sophie Polkamp,F,Netherlands,NED,2008,Beijing,Hockey,Hockey Women's Hockey,Gold,True
Sophie Polkamp,F,Netherlands,NED,2012,London,Hockey,Hockey Women's Hockey,Gold,True
Esther Pos,F,Netherlands,NED,1984,Los Angeles,Hockey,Hockey Women's Hockey,Gold,False
Maartje Scheepstra,F,Netherlands,NED,2004,Athina,Hockey,Hockey Women's Hockey,Silver,False
Johanna Schopman,F,Netherlands,NED,2004,Athina,Hockey,Hockey Women's Hockey,Silver,True
