Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Hendrik Bekkenk,M,Netherlands,NED,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,True
Hendrik Bekkenk,M,Netherlands,NED,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,True
Jetze Doorman,M,Netherlands,NED,1912,Stockholm,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,False
Hendrik Krediet,M,Netherlands,NED,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,True
Hendrik Krediet,M,Netherlands,NED,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,True
Barent Momma,M,Netherlands,NED,1924,Paris,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,False
Tjiepke Pasma,M,Netherlands,NED,1928,Amsterdam,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,False
Josephus Serr,M,Netherlands,NED,1936,Berlin,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,False
Carolus Stoffels,M,Netherlands,NED,1924,Paris,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,False
Christiaan Tonnet,M,Netherlands,NED,1924,Paris,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,True
Christiaan Tonnet,M,Netherlands,NED,1928,Amsterdam,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,True
Karel Brandeler,M,Netherlands,NED,1924,Paris,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,False
Johannes Horst,M,Netherlands,NED,1936,Berlin,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,False
Alexander Geen,M,Netherlands,NED,1936,Berlin,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,False
Willem Rhijn,M,Netherlands,NED,1928,Amsterdam,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,True
Willem Rhijn,M,Netherlands,NED,1932,Los Angeles,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,True
Robertus Vonk,M,Netherlands,NED,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,True
Robertus Vonk,M,Netherlands,NED,1972,Munich,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,True
