Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Karin Abma,F,Netherlands,NED,1976,Montreal,Rowing,Rowing Women's Coxed Eights,No medal,False
Chantal Achterberg,F,Netherlands,NED,2012,London,Rowing,Rowing Women's Coxed Eights,Bronze,True
Chantal Achterberg,F,Netherlands,NED,2016,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver,True
Tessa Appeldoorn,F,Netherlands,NED,1996,Atlanta,Rowing,Rowing Women's Coxed Eights,No medal,True
Tessa Appeldoorn,F,Netherlands,NED,2000,Sydney,Rowing,Rowing Women's Coxed Eights,Silver,True
Claudia Belderbos,F,Netherlands,NED,2012,London,Rowing,Rowing Women's Coxed Eights,Bronze,True
Claudia Belderbos,F,Netherlands,NED,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,No medal,True
Nicole Beukers,F,Netherlands,NED,2016,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver,True
Femke Boelen,F,Netherlands,NED,1996,Atlanta,Rowing,Rowing Women's Coxed Eights,No medal,False
Marloes Bolman,F,Netherlands,NED,2000,Sydney,Rowing,Rowing Women's Coxless Pairs,No medal,False
Henriette Borrias,F,Netherlands,NED,1976,Montreal,Rowing,Rowing Women's Coxed Fours,No medal,True
Henriette Borrias,F,Netherlands,NED,1980,Moskva,Rowing,Rowing Women's Single Sculls,No medal,True
Carline Bouw,F,Netherlands,NED,2012,London,Rowing,Rowing Women's Coxed Eights,Bronze,True
Carline Bouw,F,Netherlands,NED,2016,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver,True
Josephine Compaan,F,Netherlands,NED,1980,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,No medal,True
Josephine Compaan,F,Netherlands,NED,1984,Los Angeles,Rowing,Rowing Women's Single Sculls,No medal,True
Josephine Compaan,F,Netherlands,NED,1988,Seoul,Rowing,Rowing Women's Quadruple Sculls,No medal,True
Lynda Cornet,F,Netherlands,NED,1984,Los Angeles,Rowing,Rowing Women's Coxless Pairs,No medal,True
Lynda Cornet,F,Netherlands,NED,1984,Los Angeles,Rowing,Rowing Women's Coxed Eights,Bronze,True
Josephina Groot,F,Netherlands,NED,1992,Barcelona,Rowing,Rowing Women's Double Sculls,No medal,False
Sytske Groot,F,Netherlands,NED,2012,London,Rowing,Rowing Women's Coxed Eights,Bronze,False
Annemiek Haan,F,Netherlands,NED,2004,Athina,Rowing,Rowing Women's Coxed Eights,Bronze,True
Annemiek Haan,F,Netherlands,NED,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Silver,True
Annemiek Haan,F,Netherlands,NED,2012,London,Rowing,Rowing Women's Coxed Eights,Bronze,True
Barbara Jong,F,Netherlands,NED,1976,Montreal,Rowing,Rowing Women's Coxed Eights,No medal,False
Rita Jong,F,Netherlands,NED,1992,Barcelona,Rowing,Rowing Women's Double Sculls,No medal,True
Rita Jong,F,Netherlands,NED,1996,Atlanta,Rowing,Rowing Women's Coxed Eights,No medal,True
Jissy Wolf,F,Netherlands,NED,1996,Atlanta,Rowing,Rowing Women's Coxed Eights,No medal,False
Femke Dekker,F,Netherlands,NED,2000,Sydney,Rowing,Rowing Women's Coxless Pairs,No medal,True
Femke Dekker,F,Netherlands,NED,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal,True
Femke Dekker,F,Netherlands,NED,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Silver,True
Hurnet Dekkers,F,Netherlands,NED,2004,Athina,Rowing,Rowing Women's Coxed Eights,Bronze,False
Joke Aalst),F,Netherlands,NED,1976,Montreal,Rowing,Rowing Women's Coxed Eights,No medal,False
Huiberdina Donkervoort,F,Netherlands,NED,1980,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,No medal,False
Irene Eijs,F,Netherlands,NED,1992,Barcelona,Rowing,Rowing Women's Single Sculls,No medal,True
Irene Eijs,F,Netherlands,NED,1996,Atlanta,Rowing,Rowing Women's Double Sculls,Bronze,True
Irene Eijs,F,Netherlands,NED,1996,Atlanta,Rowing,Rowing Women's Quadruple Sculls,No medal,True
Angelina Gravesteijn,F,Netherlands,NED,1976,Montreal,Rowing,Rowing Women's Coxed Fours,No medal,False
Maaike Head,F,Netherlands,NED,2012,London,Rowing,Rowing Women's Lightweight Double Sculls,No medal,True
Maaike Head,F,Netherlands,NED,2016,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,Gold,True
Greta Hellemans,F,Netherlands,NED,1980,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,No medal,True
Greta Hellemans,F,Netherlands,NED,1984,Los Angeles,Rowing,Rowing Women's Double Sculls,Silver,True
Greta Hellemans,F,Netherlands,NED,1984,Los Angeles,Rowing,Rowing Women's Coxed Eights,Bronze,True
Nicolette Berkel),F,Netherlands,NED,1984,Los Angeles,Rowing,Rowing Women's Double Sculls,Silver,True
Nicolette Berkel),F,Netherlands,NED,1984,Los Angeles,Rowing,Rowing Women's Coxed Eights,Bronze,True
Elisabeth Hogerwerf,F,Netherlands,NED,2012,London,Rowing,Rowing Women's Double Sculls,No medal,True
Elisabeth Hogerwerf,F,Netherlands,NED,2016,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,No medal,True
