Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Max Brown,M,New Zealand,NZL,2020,Tokyo,Canoe Sprint,Men's Kayak Double 1000m Team,No medal,Men's,CSP,True,True
Kurtis Imrie,M,New Zealand,NZL,2020,Tokyo,Canoe Sprint,Men's Kayak Double 1000m Team,No medal,Men's,CSP,True,True
Hamish Legarth,M,New Zealand,NZL,2024,Paris,Canoe Sprint,Men's Kayak Double 500m,No medal,Men's,CSP,True,True
Hamish Legarth,M,New Zealand,NZL,2024,Paris,Canoe Sprint,Men's Kayak Four 500m,No medal,Men's,CSP,True,True
Max Brown,M,New Zealand,NZL,2024,Paris,Canoe Sprint,Men's Canoe Double 500m,No medal,Men's,CSP,True,False
Max Brown,M,New Zealand,NZL,2024,Paris,Canoe Sprint,Men's Kayak Four 500m,No medal,Men's,CSP,True,False
Grant Clancy,M,New Zealand,NZL,2024,Paris,Canoe Sprint,Men's Canoe Double 500m,No medal,Men's,CSP,True,True
Grant Clancy,M,New Zealand,NZL,2024,Paris,Canoe Sprint,Men's Kayak Four 500m,No medal,Men's,CSP,True,True
Kurtis Imrie,M,New Zealand,NZL,2024,Paris,Canoe Sprint,Men's Kayak Double 500m,No medal,Men's,CSP,True,False
Kurtis Imrie,M,New Zealand,NZL,2024,Paris,Canoe Sprint,Men's Kayak Four 500m,No medal,Men's,CSP,True,False
