Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Ian Ballinger,M,New Zealand,NZL,1968,Mexico City,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Bronze,True
Ian Ballinger,M,New Zealand,NZL,1972,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No medal,True
Ian Ballinger,M,New Zealand,NZL,1976,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No medal,True
Anthony Clarke,M,New Zealand,NZL,1984,Los Angeles,Shooting,"Shooting Men's Running Target, 50 metres",No medal,False
Desmond Coe,M,New Zealand,NZL,2000,Sydney,Shooting,Shooting Men's Double Trap,No medal,False
Robert Eastham,M,New Zealand,NZL,2008,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,False
Graeme Ede,M,New Zealand,NZL,2008,Beijing,Shooting,Shooting Men's Trap,No medal,True
Graeme Ede,M,New Zealand,NZL,2008,Beijing,Shooting,Shooting Men's Double Trap,No medal,True
John Farrell,M,New Zealand,NZL,1988,Seoul,Shooting,Shooting Mixed Skeet,No medal,False
Geoffrey Jukes,M,New Zealand,NZL,2000,Sydney,Shooting,Shooting Men's Skeet,No medal,False
Graeme Mcintyre,M,New Zealand,NZL,1972,Munich,Shooting,"Shooting Mixed Running Target, 50 metres",No medal,True
Graeme Mcintyre,M,New Zealand,NZL,1976,Montreal,Shooting,"Shooting Mixed Running Target, 50 metres",No medal,True
Bruce Mcmillan,M,New Zealand,NZL,1972,Munich,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",No medal,False
Stewart Nairn,M,New Zealand,NZL,1968,Mexico City,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No medal,False
Stephen Petterson,M,New Zealand,NZL,1984,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Stephen Petterson,M,New Zealand,NZL,1988,Seoul,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Stephen Petterson,M,New Zealand,NZL,1992,Barcelona,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Stephen Petterson,M,New Zealand,NZL,1996,Atlanta,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Victor Shaw,M,New Zealand,NZL,2000,Sydney,Shooting,Shooting Men's Trap,No medal,False
Denis Taylor,M,New Zealand,NZL,1976,Montreal,Shooting,"Shooting Mixed Running Target, 50 metres",No medal,False
Ryan Taylor,M,New Zealand,NZL,2004,Athina,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Ryan Taylor,M,New Zealand,NZL,2012,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Ryan Taylor,M,New Zealand,NZL,2016,Rio de Janeiro,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Brian Thomson,M,New Zealand,NZL,2000,Sydney,Shooting,Shooting Men's Skeet,No medal,False
Yang Wang,M,New Zealand,NZL,2008,Beijing,Shooting,"Shooting Men's Air Pistol, 10 metres",No medal,False
Michael Watt,M,New Zealand,NZL,1972,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No medal,False
Brant Woodward,M,New Zealand,NZL,1996,Atlanta,Shooting,Shooting Men's Trap,No medal,True
Brant Woodward,M,New Zealand,NZL,2000,Sydney,Shooting,Shooting Men's Trap,No medal,True
Lawrence Woolley,M,New Zealand,NZL,1976,Montreal,Shooting,Shooting Mixed Skeet,No medal,True
Lawrence Woolley,M,New Zealand,NZL,1984,Los Angeles,Shooting,Shooting Mixed Skeet,No medal,True
Lawrence Woolley,M,New Zealand,NZL,1988,Seoul,Shooting,Shooting Mixed Skeet,No medal,True
Gregory Yelavich,M,New Zealand,NZL,1988,Seoul,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal,True
Gregory Yelavich,M,New Zealand,NZL,1992,Barcelona,Shooting,"Shooting Men's Air Pistol, 10 metres",No medal,True
Gregory Yelavich,M,New Zealand,NZL,1992,Barcelona,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal,True
Owen Robinson,M,New Zealand,NZL,2024,Paris,Shooting,Trap Men,No medal,False
