Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Cha Kum-choi,M,North Korea,PRK,2008,Beijing,Weightlifting,Weightlifting Men's Bantamweight,No medal,Weightlifting,WLF,False
Choe Jon-wi,M,North Korea,PRK,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Middleweight,No medal,Weightlifting,WLF,False
Choe Jong-sop,M,North Korea,PRK,1980,Moskva,Weightlifting,Weightlifting Men's Bantamweight,No medal,Weightlifting,WLF,False
Chon Chol-ho,M,North Korea,PRK,1992,Barcelona,Weightlifting,Weightlifting Men's Light-Heavyweight,No medal,Weightlifting,WLF,True
Chon Chol-ho,M,North Korea,PRK,1996,Atlanta,Weightlifting,Weightlifting Men's Middleweight,Bronze,Weightlifting,WLF,True
Chon Chol-ho,M,North Korea,PRK,2000,Sydney,Weightlifting,Weightlifting Men's Middleweight,No medal,Weightlifting,WLF,True
Gil Nam-su,M,North Korea,PRK,1992,Barcelona,Weightlifting,Weightlifting Men's Flyweight,No medal,Weightlifting,WLF,False
Han Gyong-si,M,North Korea,PRK,1976,Montreal,Weightlifting,Weightlifting Men's Bantamweight,No medal,Weightlifting,WLF,True
Han Gyong-si,M,North Korea,PRK,1980,Moskva,Weightlifting,Weightlifting Men's Flyweight,Bronze,Weightlifting,WLF,True
Ho Bong-chol,M,North Korea,PRK,1980,Moskva,Weightlifting,Weightlifting Men's Flyweight,Silver,Weightlifting,WLF,False
Im Jae-ho,M,North Korea,PRK,1976,Montreal,Weightlifting,Weightlifting Men's Flyweight,No medal,Weightlifting,WLF,False
Im Sang-ho,M,North Korea,PRK,1992,Barcelona,Weightlifting,Weightlifting Men's Lightweight,No medal,Weightlifting,WLF,False
Im Yong-su,M,North Korea,PRK,2000,Sydney,Weightlifting,Weightlifting Men's Featherweight,No medal,Weightlifting,WLF,True
Im Yong-su,M,North Korea,PRK,2004,Athina,Weightlifting,Weightlifting Men's Featherweight,No medal,Weightlifting,WLF,True
Im Yong-su,M,North Korea,PRK,2008,Beijing,Weightlifting,Weightlifting Men's Featherweight,No medal,Weightlifting,WLF,True
Kim Chol-jin,M,North Korea,PRK,2008,Beijing,Weightlifting,Weightlifting Men's Lightweight,No medal,Weightlifting,WLF,False
Kim Kum-sok,M,North Korea,PRK,2012,London,Weightlifting,Weightlifting Men's Lightweight,No medal,Weightlifting,WLF,False
Kim Myong-hyok,M,North Korea,PRK,2012,London,Weightlifting,Weightlifting Men's Lightweight,No medal,Weightlifting,WLF,True
Kim Myong-hyok,M,North Korea,PRK,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Lightweight,No medal,Weightlifting,WLF,True
Kim Myong-nam,M,North Korea,PRK,1992,Barcelona,Weightlifting,Weightlifting Men's Middleweight,Bronze,Weightlifting,WLF,True
Kim Myong-nam,M,North Korea,PRK,1996,Atlanta,Weightlifting,Weightlifting Men's Lightweight,Silver,Weightlifting,WLF,True
Kim Myong-sik,M,North Korea,PRK,1992,Barcelona,Weightlifting,Weightlifting Men's Flyweight,No medal,Weightlifting,WLF,False
Kim Un-guk,M,North Korea,PRK,2012,London,Weightlifting,Weightlifting Men's Featherweight,Gold,Weightlifting,WLF,False
Kim Yong-chol,M,North Korea,PRK,1992,Barcelona,Weightlifting,Weightlifting Men's Bantamweight,No medal,Weightlifting,WLF,False
Kwon Yong-gwang,M,North Korea,PRK,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Lightweight,No medal,Weightlifting,WLF,False
Li Gwang-ju,M,North Korea,PRK,1980,Moskva,Weightlifting,Weightlifting Men's Lightweight,No medal,Weightlifting,WLF,False
Li Jae-son,M,North Korea,PRK,1992,Barcelona,Weightlifting,Weightlifting Men's Featherweight,No medal,Weightlifting,WLF,False
Om Jong-guk,M,North Korea,PRK,1976,Montreal,Weightlifting,Weightlifting Men's Featherweight,No medal,Weightlifting,WLF,False
Om Yun-chol,M,North Korea,PRK,2012,London,Weightlifting,Weightlifting Men's Bantamweight,Gold,Weightlifting,WLF,True
Om Yun-chol,M,North Korea,PRK,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Bantamweight,Silver,Weightlifting,WLF,True
Pak Dong-geun,M,North Korea,PRK,1972,Munich,Weightlifting,Weightlifting Men's Flyweight,No medal,Weightlifting,WLF,False
Pak Ui-myong,M,North Korea,PRK,1992,Barcelona,Weightlifting,Weightlifting Men's Middleweight,No medal,Weightlifting,WLF,False
Ri Kyong-sok,M,North Korea,PRK,2008,Beijing,Weightlifting,Weightlifting Men's Bantamweight,No medal,Weightlifting,WLF,False
Ro Hyon-il,M,North Korea,PRK,1992,Barcelona,Weightlifting,Weightlifting Men's Featherweight,No medal,Weightlifting,WLF,False
Sin Chol-bom,M,North Korea,PRK,2012,London,Weightlifting,Weightlifting Men's Bantamweight,No medal,Weightlifting,WLF,False
Yang Eui-yong,M,North Korea,PRK,1980,Moskva,Weightlifting,Weightlifting Men's Bantamweight,No medal,Weightlifting,WLF,False
Yun Chol,M,North Korea,PRK,1992,Barcelona,Weightlifting,Weightlifting Men's Middle-Heavyweight,No medal,Weightlifting,WLF,False
