Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Allan Akia,M,Papua New Guinea,PNG,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,False
Amos Ali,M,Papua New Guinea,PNG,1996,Atlanta,Athletics,Athletics Men's 200 metres,No medal,True
Amos Ali,M,Papua New Guinea,PNG,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,True
Amos Ali,M,Papua New Guinea,PNG,1996,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,True
Subul Babo,M,Papua New Guinea,PNG,1992,Barcelona,Athletics,Athletics Men's 400 metres,No medal,True
Subul Babo,M,Papua New Guinea,PNG,1992,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,True
Subul Babo,M,Papua New Guinea,PNG,1996,Atlanta,Athletics,Athletics Men's 400 metres,No medal,True
Subul Babo,M,Papua New Guinea,PNG,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,True
Subul Babo,M,Papua New Guinea,PNG,1996,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,True
Samuel Bai,M,Papua New Guinea,PNG,1996,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,False
Mowen Boino,M,Papua New Guinea,PNG,2000,Sydney,Athletics,Athletics Men's 400 metres Hurdles,No medal,True
Mowen Boino,M,Papua New Guinea,PNG,2004,Athina,Athletics,Athletics Men's 400 metres Hurdles,No medal,True
Mowen Boino,M,Papua New Guinea,PNG,2008,Beijing,Athletics,Athletics Men's 400 metres Hurdles,No medal,True
Aaron Dupnai,M,Papua New Guinea,PNG,1988,Seoul,Athletics,"Athletics Men's 10,000 metres",No medal,True
Aaron Dupnai,M,Papua New Guinea,PNG,1988,Seoul,Athletics,Athletics Men's Marathon,No medal,True
John Hou,M,Papua New Guinea,PNG,1988,Seoul,Athletics,Athletics Men's 100 metres,No medal,False
Wavala Kali,M,Papua New Guinea,PNG,1976,Montreal,Athletics,Athletics Men's 200 metres,No medal,True
Wavala Kali,M,Papua New Guinea,PNG,1976,Montreal,Athletics,Athletics Men's 400 metres,No medal,True
John Kokinai,M,Papua New Guinea,PNG,1976,Montreal,Athletics,"Athletics Men's 5,000 metres",No medal,True
John Kokinai,M,Papua New Guinea,PNG,1976,Montreal,Athletics,Athletics Men's Marathon,No medal,True
Bernard Manana,M,Papua New Guinea,PNG,1992,Barcelona,Athletics,Athletics Men's 100 metres,No medal,True
Bernard Manana,M,Papua New Guinea,PNG,1992,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,True
Erich Momberger,M,Papua New Guinea,PNG,1992,Barcelona,Athletics,Athletics Men's Decathlon,No medal,False
Baobo Neuendorf-duaba,M,Papua New Guinea,PNG,1992,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,No medal,True
Baobo Neuendorf-duaba,M,Papua New Guinea,PNG,1992,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,True
Theo Piniau,M,Papua New Guinea,PNG,2016,Rio de Janeiro,Athletics,Athletics Men's 200 metres,No medal,False
Peter Pulu,M,Papua New Guinea,PNG,1996,Atlanta,Athletics,Athletics Men's 100 metres,No medal,True
Peter Pulu,M,Papua New Guinea,PNG,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,True
Kaminiel Selot,M,Papua New Guinea,PNG,1992,Barcelona,Athletics,Athletics Men's 200 metres,No medal,True
Kaminiel Selot,M,Papua New Guinea,PNG,1992,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,True
John Siguria,M,Papua New Guinea,PNG,1988,Seoul,Athletics,Athletics Men's 800 metres,No medal,True
John Siguria,M,Papua New Guinea,PNG,1988,Seoul,Athletics,"Athletics Men's 1,500 metres",No medal,True
Nelson Stone,M,Papua New Guinea,PNG,2012,London,Athletics,Athletics Men's 400 metres,No medal,False
Lapule Tamean,M,Papua New Guinea,PNG,1984,Los Angeles,Athletics,Athletics Men's 200 metres,No medal,True
Lapule Tamean,M,Papua New Guinea,PNG,1984,Los Angeles,Athletics,Athletics Men's 400 metres,No medal,True
Tau Tokwepota,M,Papua New Guinea,PNG,1976,Montreal,Athletics,"Athletics Men's 10,000 metres",No medal,True
Tau Tokwepota,M,Papua New Guinea,PNG,1976,Montreal,Athletics,Athletics Men's Marathon,No medal,True
Tau Tokwepota,M,Papua New Guinea,PNG,1984,Los Angeles,Athletics,"Athletics Men's 5,000 metres",No medal,True
Tau Tokwepota,M,Papua New Guinea,PNG,1984,Los Angeles,Athletics,"Athletics Men's 10,000 metres",No medal,True
Tau Tokwepota,M,Papua New Guinea,PNG,1984,Los Angeles,Athletics,Athletics Men's Marathon,No medal,True
Takale Tuna,M,Papua New Guinea,PNG,1988,Seoul,Athletics,Athletics Men's 200 metres,No medal,True
Takale Tuna,M,Papua New Guinea,PNG,1988,Seoul,Athletics,Athletics Men's 400 metres,No medal,True
Ivan Wakit,M,Papua New Guinea,PNG,1996,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,No medal,True
Ivan Wakit,M,Papua New Guinea,PNG,1996,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,True
