Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Emilio Abreu,M,Paraguay,PAR,1976,Montreal,Swimming,Swimming Men's 200 metres Breaststroke,No medal,True
Emilio Abreu,M,Paraguay,PAR,1976,Montreal,Swimming,Swimming Men's 200 metres Butterfly,No medal,True
Emilio Abreu,M,Paraguay,PAR,1976,Montreal,Swimming,Swimming Men's 400 metres Individual Medley,No medal,True
Sergio Diaz,M,Paraguay,PAR,2004,Athina,Swimming,Swimming Men's 200 metres Butterfly,No medal,False
Alfredo Canelsa,M,Paraguay,PAR,1996,Atlanta,Swimming,Swimming Men's 50 metres Freestyle,No medal,False
Edgar Ayala,M,Paraguay,PAR,1992,Barcelona,Swimming,Swimming Men's 100 metres Butterfly,No medal,True
Edgar Ayala,M,Paraguay,PAR,1992,Barcelona,Swimming,Swimming Men's 200 metres Butterfly,No medal,True
Benjamin Brusquetti,M,Paraguay,PAR,2012,London,Swimming,Swimming Men's 100 metres Freestyle,No medal,True
Benjamin Brusquetti,M,Paraguay,PAR,2012,London,Swimming,Swimming Men's 200 metres Freestyle,No medal,True
Benjamin Brusquetti,M,Paraguay,PAR,2012,London,Swimming,Swimming Men's 100 metres Butterfly,No medal,True
Benjamin Brusquetti,M,Paraguay,PAR,2016,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,No medal,True
Antonio Candia,M,Paraguay,PAR,2000,Sydney,Swimming,Swimming Men's 100 metres Breaststroke,No medal,False
Genaro Britez,M,Paraguay,PAR,2008,Beijing,Swimming,Swimming Men's 100 metres Breaststroke,No medal,False
Marcos Toanez,M,Paraguay,PAR,1992,Barcelona,Swimming,Swimming Men's 100 metres Backstroke,No medal,True
Marcos Toanez,M,Paraguay,PAR,1992,Barcelona,Swimming,Swimming Men's 200 metres Backstroke,No medal,True
Benjamin Hockin,M,Paraguay,PAR,2020,Tokyo,Swimming,Men's 100m Freestyle,No medal,True
Benjamin Hockin,M,Paraguay,PAR,2020,Tokyo,Swimming,Men's 100m Butterfly,No medal,True
Matheo Mateos,M,Paraguay,PAR,2024,Paris,Swimming,Men's 200m Individual Medley,No medal,False
