Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Jorge Millos,M,Peru,PER,1936,Berlin,Football,Football Men's Football,No medal,False
Teodoro Millos,M,Peru,PER,1936,Berlin,Football,Football Men's Football,No medal,False
Gerardo Delgado,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Humberto Arguedas,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Juan Biselach,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Vctor Boulanger,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Javier Caceres,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Angel Campos,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Herminio Aylln,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Hugo Carmona,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Segundo Varela,M,Peru,PER,1936,Berlin,Football,Football Men's Football,No medal,False
Hctor Guevara,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Daniel Balaguer,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Arturo Meyzn,M,Peru,PER,1936,Berlin,Football,Football Men's Football,No medal,False
Teodoro Meyzn,M,Peru,PER,1936,Berlin,Football,Football Men's Football,No medal,False
Flix Mendoza,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Alejandro Guzmn,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Toms Iwasaki,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Orestes Cnepa,M,Peru,PER,1936,Berlin,Football,Football Men's Football,No medal,False
Jos Lavalle,M,Peru,PER,1936,Berlin,Football,Football Men's Football,No medal,False
Teodoro Lua,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Adelfo Campos,M,Peru,PER,1936,Berlin,Football,Football Men's Football,No medal,False
Jos Morales,M,Peru,PER,1936,Berlin,Football,Football Men's Football,No medal,False
Nicolas Nieri,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Alberto Ramrez,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Jaime Ruiz,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Carlos Salinas,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Carlos Venegas,M,Peru,PER,1936,Berlin,Football,Football Men's Football,No medal,False
ngel Snchez,M,Peru,PER,1960,Roma,Football,Football Men's Football,No medal,False
Juan Padilla,M,Peru,PER,1936,Berlin,Football,Football Men's Football,No medal,False
Carlos Martnez,M,Peru,PER,1936,Berlin,Football,Football Men's Football,No medal,False
