Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Nenita Adan,F,Philippines,PHI,1988,Seoul,Athletics,Athletics Women's 400 metres Hurdles,No medal,False
Amelita (-saberon),F,Philippines,PHI,1972,Munich,Athletics,Athletics Women's 100 metres,No medal,True
Amelita (-saberon),F,Philippines,PHI,1972,Munich,Athletics,Athletics Women's 200 metres,No medal,True
Amelita (-saberon),F,Philippines,PHI,1972,Munich,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,True
Visitacin Ribagorda,F,Philippines,PHI,1960,Roma,Athletics,Athletics Women's Long Jump,No medal,False
Loretta Barcenas,F,Philippines,PHI,1964,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,False
Lerma Bulauitan-gabito,F,Philippines,PHI,2000,Sydney,Athletics,Athletics Women's 100 metres,No medal,True
Lerma Bulauitan-gabito,F,Philippines,PHI,2004,Athina,Athletics,Athletics Women's Long Jump,No medal,True
Manolita Dopeno,F,Philippines,PHI,1956,Melbourne,Athletics,Athletics Women's 80 metres Hurdles,No medal,False
Agrippina Cruz,F,Philippines,PHI,1984,Los Angeles,Athletics,Athletics Women's 400 metres Hurdles,No medal,True
Agrippina Cruz,F,Philippines,PHI,1988,Seoul,Athletics,Athletics Women's 100 metres Hurdles,No medal,True
Josephine Via,F,Philippines,PHI,1964,Tokyo,Athletics,Athletics Women's Discus Throw,No medal,True
Josephine Via,F,Philippines,PHI,1968,Mexico City,Athletics,Athletics Women's Discus Throw,No medal,True
Josephine Via,F,Philippines,PHI,1972,Munich,Athletics,Athletics Women's Discus Throw,No medal,True
Lydia Mercado,F,Philippines,PHI,1984,Los Angeles,Athletics,Athletics Women's 100 metres,No medal,True
Lydia Mercado,F,Philippines,PHI,1984,Los Angeles,Athletics,Athletics Women's 200 metres,No medal,True
Lydia Mercado,F,Philippines,PHI,1988,Seoul,Athletics,Athletics Women's 100 metres,No medal,True
Lolita Lagrosas,F,Philippines,PHI,1964,Tokyo,Athletics,Athletics Women's High Jump,No medal,True
Lolita Lagrosas,F,Philippines,PHI,1964,Tokyo,Athletics,Athletics Women's Long Jump,No medal,True
Lolita Lagrosas,F,Philippines,PHI,1968,Mexico City,Athletics,Athletics Women's Pentathlon,No medal,True
Aida Mantawel,F,Philippines,PHI,1972,Munich,Athletics,Athletics Women's 400 metres,No medal,True
Aida Mantawel,F,Philippines,PHI,1972,Munich,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,True
Aida Plares,F,Philippines,PHI,1964,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,False
Elma (-posadas),F,Philippines,PHI,1984,Los Angeles,Athletics,Athletics Women's Long Jump,No medal,True
Elma (-posadas),F,Philippines,PHI,1996,Atlanta,Athletics,Athletics Women's Long Jump,No medal,True
Nelly Restar,F,Philippines,PHI,1964,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,False
Lucila (-tolentino),F,Philippines,PHI,1972,Munich,Athletics,Athletics Women's 100 metres Hurdles,No medal,True
Lucila (-tolentino),F,Philippines,PHI,1972,Munich,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,True
Francisca Sanopal,F,Philippines,PHI,1956,Melbourne,Athletics,Athletics Women's 80 metres Hurdles,No medal,False
Mona Sulaiman,F,Philippines,PHI,1960,Roma,Athletics,Athletics Women's 100 metres,No medal,True
Mona Sulaiman,F,Philippines,PHI,1960,Roma,Athletics,Athletics Women's 200 metres,No medal,True
Mona Sulaiman,F,Philippines,PHI,1964,Tokyo,Athletics,Athletics Women's 100 metres,No medal,True
Mona Sulaiman,F,Philippines,PHI,1964,Tokyo,Athletics,Athletics Women's 200 metres,No medal,True
Mona Sulaiman,F,Philippines,PHI,1964,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,True
Mary Tabal,F,Philippines,PHI,2016,Rio de Janeiro,Athletics,Athletics Women's Marathon,No medal,False
Carmen Torres,F,Philippines,PHI,1972,Munich,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,False
Marestella Torres,F,Philippines,PHI,2008,Beijing,Athletics,Athletics Women's Long Jump,No medal,True
Marestella Torres,F,Philippines,PHI,2012,London,Athletics,Athletics Women's Long Jump,No medal,True
Marestella Torres,F,Philippines,PHI,2016,Rio de Janeiro,Athletics,Athletics Women's Long Jump,No medal,True
Marie Knott,F,Philippines,PHI,2020,Tokyo,Athletics,Women's 200m,No medal,False
Lauren Hoffman,F,Philippines,PHI,2024,Paris,Athletics,Women's 400m Hurdles,No medal,False
