Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Ernesto Beren,M,Philippines,PHI,1968,Mexico City,Gymnastics,Gymnastics Men's Individual All-Around,No medal,Gymnastics,GAR,True,True
Ernesto Beren,M,Philippines,PHI,1968,Mexico City,Gymnastics,Gymnastics Men's Floor Exercise,No medal,Gymnastics,GAR,True,True
Ernesto Beren,M,Philippines,PHI,1968,Mexico City,Gymnastics,Gymnastics Men's Parallel Bars,No medal,Gymnastics,GAR,True,True
Ernesto Beren,M,Philippines,PHI,1968,Mexico City,Gymnastics,Gymnastics Men's Rings,No medal,Gymnastics,GAR,True,True
Norman Henson,M,Philippines,PHI,1968,Mexico City,Gymnastics,Gymnastics Men's Individual All-Around,No medal,Gymnastics,GAR,True,True
Norman Henson,M,Philippines,PHI,1968,Mexico City,Gymnastics,Gymnastics Men's Floor Exercise,No medal,Gymnastics,GAR,True,True
Norman Henson,M,Philippines,PHI,1968,Mexico City,Gymnastics,Gymnastics Men's Horse Vault,No medal,Gymnastics,GAR,True,True
Norman Henson,M,Philippines,PHI,1968,Mexico City,Gymnastics,Gymnastics Men's Parallel Bars,No medal,Gymnastics,GAR,True,True
Norman Henson,M,Philippines,PHI,1968,Mexico City,Gymnastics,Gymnastics Men's Rings,No medal,Gymnastics,GAR,True,True
Demetrio Pastrana,M,Philippines,PHI,1964,Tokyo,Gymnastics,Gymnastics Men's Individual All-Around,No medal,Gymnastics,GAR,True,True
Demetrio Pastrana,M,Philippines,PHI,1964,Tokyo,Gymnastics,Gymnastics Men's Floor Exercise,No medal,Gymnastics,GAR,True,True
Demetrio Pastrana,M,Philippines,PHI,1964,Tokyo,Gymnastics,Gymnastics Men's Horse Vault,No medal,Gymnastics,GAR,True,True
Fortunato Payao,M,Philippines,PHI,1964,Tokyo,Gymnastics,Gymnastics Men's Individual All-Around,No medal,Gymnastics,GAR,True,True
Fortunato Payao,M,Philippines,PHI,1964,Tokyo,Gymnastics,Gymnastics Men's Floor Exercise,No medal,Gymnastics,GAR,True,True
Fortunato Payao,M,Philippines,PHI,1964,Tokyo,Gymnastics,Gymnastics Men's Horse Vault,No medal,Gymnastics,GAR,True,True
Edriel Yulo,M,Philippines,PHI,2020,Tokyo,Artistic Gymnastics,Men's All-Around,No medal,Men's,GAR,True,True
Edriel Yulo,M,Philippines,PHI,2020,Tokyo,Artistic Gymnastics,Men's Floor Exercise,No medal,Men's,GAR,True,True
Edriel Yulo,M,Philippines,PHI,2020,Tokyo,Artistic Gymnastics,Men's Pommel Horse,No medal,Men's,GAR,True,True
Edriel Yulo,M,Philippines,PHI,2020,Tokyo,Artistic Gymnastics,Men's Rings,No medal,Men's,GAR,True,True
Edriel Yulo,M,Philippines,PHI,2020,Tokyo,Artistic Gymnastics,Men's Vault,No medal,Men's,GAR,True,True
Edriel Yulo,M,Philippines,PHI,2020,Tokyo,Artistic Gymnastics,Men's Parallel Bars,No medal,Men's,GAR,True,True
Edriel Yulo,M,Philippines,PHI,2020,Tokyo,Artistic Gymnastics,Men's Horizontal Bar,No medal,Men's,GAR,True,True
Edriel Yulo,M,Philippines,PHI,2024,Paris,Artistic Gymnastics,Men,No medal,Men,GAR,True,False
Edriel Yulo,M,Philippines,PHI,2024,Paris,Artistic Gymnastics,Men's All-Around,No medal,Men's,GAR,True,False
Edriel Yulo,M,Philippines,PHI,2024,Paris,Artistic Gymnastics,Men's Floor Exercise,Gold,Men's,GAR,True,False
Edriel Yulo,M,Philippines,PHI,2024,Paris,Artistic Gymnastics,Men's Horizontal Bar,No medal,Men's,GAR,True,False
Edriel Yulo,M,Philippines,PHI,2024,Paris,Artistic Gymnastics,Men's Parallel Bars,No medal,Men's,GAR,True,False
Edriel Yulo,M,Philippines,PHI,2024,Paris,Artistic Gymnastics,Men's Pommel Horse,No medal,Men's,GAR,True,False
Edriel Yulo,M,Philippines,PHI,2024,Paris,Artistic Gymnastics,Men's Rings,No medal,Men's,GAR,True,False
Edriel Yulo,M,Philippines,PHI,2024,Paris,Artistic Gymnastics,Men's Vault,Gold,Men's,GAR,True,False
