Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Evelyn Magluyan,F,Philippines,PHI,1964,Tokyo,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Gymnastics,GAR,True,True
Evelyn Magluyan,F,Philippines,PHI,1964,Tokyo,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Gymnastics,GAR,True,True
Evelyn Magluyan,F,Philippines,PHI,1964,Tokyo,Gymnastics,Gymnastics Women's Horse Vault,No medal,Gymnastics,GAR,True,True
Evelyn Magluyan,F,Philippines,PHI,1964,Tokyo,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Gymnastics,GAR,True,True
Evelyn Magluyan,F,Philippines,PHI,1964,Tokyo,Gymnastics,Gymnastics Women's Balance Beam,No medal,Gymnastics,GAR,True,True
Aleah Finnegan,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women,No medal,Women,GAR,True,True
Aleah Finnegan,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women's All-Around,No medal,Women's,GAR,True,True
Aleah Finnegan,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women's Balance Beam,No medal,Women's,GAR,True,True
Aleah Finnegan,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women's Floor Exercise,No medal,Women's,GAR,True,True
Aleah Finnegan,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women's Uneven Bars,No medal,Women's,GAR,True,True
Aleah Finnegan,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women's Vault,No medal,Women's,GAR,True,True
Levi Ruivivar,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women,No medal,Women,GAR,True,True
Levi Ruivivar,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women's All-Around,No medal,Women's,GAR,True,True
Levi Ruivivar,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women's Balance Beam,No medal,Women's,GAR,True,True
Levi Ruivivar,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women's Floor Exercise,No medal,Women's,GAR,True,True
Levi Ruivivar,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women's Uneven Bars,No medal,Women's,GAR,True,True
Levi Ruivivar,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women's Vault,No medal,Women's,GAR,True,True
Emma Malabuyo,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women,No medal,Women,GAR,True,True
Emma Malabuyo,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women's All-Around,No medal,Women's,GAR,True,True
Emma Malabuyo,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women's Balance Beam,No medal,Women's,GAR,True,True
Emma Malabuyo,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women's Floor Exercise,No medal,Women's,GAR,True,True
Emma Malabuyo,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women's Uneven Bars,No medal,Women's,GAR,True,True
Emma Malabuyo,F,Philippines,PHI,2024,Paris,Artistic Gymnastics,Women's Vault,No medal,Women's,GAR,True,True
