Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Jos Jr.,M,Philippines,PHI,1960,Roma,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal,True
Jos Jr.,M,Philippines,PHI,1968,Mexico City,Shooting,"Shooting Mixed Free Pistol, 50 metres",No medal,True
Eric Ang,M,Philippines,PHI,2008,Beijing,Shooting,Shooting Men's Trap,No medal,False
Leopoldo Ang,M,Philippines,PHI,1964,Tokyo,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",No medal,True
Leopoldo Ang,M,Philippines,PHI,1968,Mexico City,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",No medal,True
Enrique Beech,M,Philippines,PHI,1956,Melbourne,Shooting,Shooting Men's Trap,No medal,True
Enrique Beech,M,Philippines,PHI,1960,Roma,Shooting,Shooting Men's Trap,No medal,True
Edgar Jr.,M,Philippines,PHI,1964,Tokyo,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal,False
Hernando Castelo,M,Philippines,PHI,1956,Melbourne,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Hernando Castelo,M,Philippines,PHI,1960,Roma,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Emerito Concepcin,M,Philippines,PHI,1992,Barcelona,Shooting,"Shooting Men's Air Rifle, 10 metres",No medal,False
Flix Cortes,M,Philippines,PHI,1952,Helsinki,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal,True
Flix Cortes,M,Philippines,PHI,1952,Helsinki,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal,True
Jethro Dionisio,M,Philippines,PHI,2004,Athina,Shooting,Shooting Men's Trap,No medal,False
George Earnshaw,M,Philippines,PHI,1996,Atlanta,Shooting,Shooting Men's Trap,No medal,True
George Earnshaw,M,Philippines,PHI,1996,Atlanta,Shooting,Shooting Men's Double Trap,No medal,True
Lodovico Espinosa,M,Philippines,PHI,1972,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",No medal,True
Lodovico Espinosa,M,Philippines,PHI,1972,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No medal,True
Adolfo Feliciano,M,Philippines,PHI,1960,Roma,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",No medal,True
Adolfo Feliciano,M,Philippines,PHI,1960,Roma,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No medal,True
Adolfo Feliciano,M,Philippines,PHI,1964,Tokyo,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No medal,True
Adolfo Feliciano,M,Philippines,PHI,1964,Tokyo,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Adolfo Feliciano,M,Philippines,PHI,1968,Mexico City,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres",No medal,True
Adolfo Feliciano,M,Philippines,PHI,1968,Mexico City,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",No medal,True
Adolfo Feliciano,M,Philippines,PHI,1968,Mexico City,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No medal,True
Martin Gison,M,Philippines,PHI,1936,Berlin,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal,True
Martin Gison,M,Philippines,PHI,1936,Berlin,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal,True
Martin Gison,M,Philippines,PHI,1936,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Martin Gison,M,Philippines,PHI,1948,London,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal,True
Martin Gison,M,Philippines,PHI,1948,London,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal,True
Martin Gison,M,Philippines,PHI,1948,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Martin Gison,M,Philippines,PHI,1952,Helsinki,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal,True
Martin Gison,M,Philippines,PHI,1952,Helsinki,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal,True
Martin Gison,M,Philippines,PHI,1952,Helsinki,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Martin Gison,M,Philippines,PHI,1956,Melbourne,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal,True
Martin Gison,M,Philippines,PHI,1956,Melbourne,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",No medal,True
Martin Gison,M,Philippines,PHI,1964,Tokyo,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No medal,True
Otoniel Gonzaga,M,Philippines,PHI,1936,Berlin,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal,True
Otoniel Gonzaga,M,Philippines,PHI,1936,Berlin,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal,True
Otoniel Gonzaga,M,Philippines,PHI,1936,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Ricardo Hizon,M,Philippines,PHI,1956,Melbourne,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal,False
Csar Jayme,M,Philippines,PHI,1948,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
Csar Jayme,M,Philippines,PHI,1952,Helsinki,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,True
