Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Izabella Antonowicz-szuszkiewicz,F,Poland,POL,1964,Tokyo,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Izabella Antonowicz-szuszkiewicz,F,Poland,POL,1968,Mexico City,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Izabella Antonowicz-szuszkiewicz,F,Poland,POL,1972,Munich,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Magorzata Chojnacka,F,Poland,POL,2008,Beijing,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,False
Maria Wiertniewicz,F,Poland,POL,1972,Munich,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No medal,False
Magorzata Czajczyska,F,Poland,POL,2004,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,False
Jadwiga Doering,F,Poland,POL,1968,Mexico City,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,False
Izabella Dylewska-wiatowiak,F,Poland,POL,1988,Seoul,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze,True
Izabella Dylewska-wiatowiak,F,Poland,POL,1992,Barcelona,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze,True
Izabella Dylewska-wiatowiak,F,Poland,POL,1992,Barcelona,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Izabella Dylewska-wiatowiak,F,Poland,POL,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Edyta Dzieniszewska-kierkla,F,Poland,POL,2008,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Edyta Dzieniszewska-kierkla,F,Poland,POL,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Kunegunda Godawska-olchawa,F,Poland,POL,1972,Munich,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No medal,False
Ewa (kowalczyk-),F,Poland,POL,1972,Munich,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,False
Beata Grzesik,F,Poland,POL,2000,Sydney,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No medal,False
Ewa Kamiska-eichler,F,Poland,POL,1976,Montreal,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,True
Ewa Kamiska-eichler,F,Poland,POL,1980,Moskva,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,True
Ewa Kamiska-eichler,F,Poland,POL,1980,Moskva,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Maria (-bajka),F,Poland,POL,1976,Montreal,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,False
Bogusawa Knapczyk,F,Poland,POL,1992,Barcelona,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No medal,True
Bogusawa Knapczyk,F,Poland,POL,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No medal,True
Boena (-olech),F,Poland,POL,1988,Seoul,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Boena (-olech),F,Poland,POL,1988,Seoul,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Dorota Kuczkowska,F,Poland,POL,2008,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,False
Katarzyna (-tomaszek),F,Poland,POL,1976,Montreal,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,False
Jolanta Ukaszewicz,F,Poland,POL,1988,Seoul,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Jolanta Ukaszewicz,F,Poland,POL,1988,Seoul,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Janina (-korzeniowska),F,Poland,POL,1960,Roma,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,False
Aneta Michalak-biakowska,F,Poland,POL,2000,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Aneta Michalak-biakowska,F,Poland,POL,2004,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Beata Mikoajczyk,F,Poland,POL,2008,Beijing,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver,True
Beata Mikoajczyk,F,Poland,POL,2008,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Beata Mikoajczyk,F,Poland,POL,2012,London,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze,True
Beata Mikoajczyk,F,Poland,POL,2012,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Beata Mikoajczyk,F,Poland,POL,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze,True
Beata Mikoajczyk,F,Poland,POL,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Karolina Naja,F,Poland,POL,2012,London,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze,True
Karolina Naja,F,Poland,POL,2012,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Karolina Naja,F,Poland,POL,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze,True
Karolina Naja,F,Poland,POL,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Natalia Pacierpnik,F,Poland,POL,2012,London,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No medal,True
Natalia Pacierpnik,F,Poland,POL,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No medal,True
Aneta Pastuszka-konieczna,F,Poland,POL,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,True
Aneta Pastuszka-konieczna,F,Poland,POL,2000,Sydney,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze,True
Aneta Pastuszka-konieczna,F,Poland,POL,2000,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Aneta Pastuszka-konieczna,F,Poland,POL,2004,Athina,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,True
Aneta Pastuszka-konieczna,F,Poland,POL,2004,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze,True
