Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Marlena Karwacka,F,Poland,POL,2020,Tokyo,Cycling Track,Women's Team Sprint Team,No medal,True
Marlena Karwacka,F,Poland,POL,2020,Tokyo,Cycling Track,Women's Sprint,No medal,True
Marlena Karwacka,F,Poland,POL,2020,Tokyo,Cycling Track,Women's Keirin,No medal,True
Urszula Los,F,Poland,POL,2020,Tokyo,Cycling Track,Women's Team Sprint Team,No medal,True
Urszula Los,F,Poland,POL,2020,Tokyo,Cycling Track,Women's Sprint,No medal,True
Urszula Los,F,Poland,POL,2020,Tokyo,Cycling Track,Women's Keirin,No medal,True
Daria Pikulik,F,Poland,POL,2020,Tokyo,Cycling Track,Women's Omnium,No medal,True
Daria Pikulik,F,Poland,POL,2020,Tokyo,Cycling Track,Women's Madison Team,No medal,True
Wiktoria Pikulik,F,Poland,POL,2020,Tokyo,Cycling Track,Women's Omnium,No medal,True
Wiktoria Pikulik,F,Poland,POL,2020,Tokyo,Cycling Track,Women's Madison Team,No medal,True
Nikol Plosaj,F,Poland,POL,2020,Tokyo,Cycling Track,Women's Madison,No medal,False
Daria Pikulik,F,Poland,POL,2024,Paris,Cycling Track,Women's Madison,No medal,True
Daria Pikulik,F,Poland,POL,2024,Paris,Cycling Track,Women's Omnium,Silver,True
Urszula Los,F,Poland,POL,2024,Paris,Cycling Track,Women's Keirin,No medal,True
Urszula Los,F,Poland,POL,2024,Paris,Cycling Track,Women's Sprint,No medal,True
Urszula Los,F,Poland,POL,2024,Paris,Cycling Track,Women's Team Sprint,No medal,True
Marlena Karwacka,F,Poland,POL,2024,Paris,Cycling Track,Women's Keirin,No medal,True
Marlena Karwacka,F,Poland,POL,2024,Paris,Cycling Track,Women's Sprint,No medal,True
Marlena Karwacka,F,Poland,POL,2024,Paris,Cycling Track,Women's Team Sprint,No medal,True
Paulina Petri,F,Poland,POL,2024,Paris,Cycling Track,Women's Team Sprint,No medal,False
Nikola Sibiak,F,Poland,POL,2024,Paris,Cycling Track,Women's Keirin,No medal,True
Nikola Sibiak,F,Poland,POL,2024,Paris,Cycling Track,Women's Sprint,No medal,True
Nikola Sibiak,F,Poland,POL,2024,Paris,Cycling Track,Women's Team Sprint,No medal,True
Patrycja Lorkowska,F,Poland,POL,2024,Paris,Cycling Track,Women's Madison,No medal,False
Wiktoria Pikulik,F,Poland,POL,2024,Paris,Cycling Track,Women's Madison,No medal,True
Wiktoria Pikulik,F,Poland,POL,2024,Paris,Cycling Track,Women's Omnium,No medal,True
