Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Antonio Areia,M,Portugal,POR,2020,Tokyo,Handball,Men Team,No medal,Men,HBL,False
Alexis Borges,M,Portugal,POR,2020,Tokyo,Handball,Men Team,No medal,Men,HBL,False
Diogo Branquinho,M,Portugal,POR,2020,Tokyo,Handball,Men Team,No medal,Men,HBL,False
Gustavo Capdeville,M,Portugal,POR,2020,Tokyo,Handball,Men Team,No medal,Men,HBL,False
Gilberto Duarte,M,Portugal,POR,2020,Tokyo,Handball,Men Team,No medal,Men,HBL,False
Joao Ferraz,M,Portugal,POR,2020,Tokyo,Handball,Men Team,No medal,Men,HBL,False
Luis Frade,M,Portugal,POR,2020,Tokyo,Handball,Men Team,No medal,Men,HBL,False
Andre Gomes,M,Portugal,POR,2020,Tokyo,Handball,Men Team,No medal,Men,HBL,False
Humberto Gomes,M,Portugal,POR,2020,Tokyo,Handball,Men Team,No medal,Men,HBL,False
Victor Iturriza,M,Portugal,POR,2020,Tokyo,Handball,Men Team,No medal,Men,HBL,False
Fabio Magalhaes,M,Portugal,POR,2020,Tokyo,Handball,Men Team,No medal,Men,HBL,False
Miguel Martins,M,Portugal,POR,2020,Tokyo,Handball,Men Team,No medal,Men,HBL,False
Pedro Portela,M,Portugal,POR,2020,Tokyo,Handball,Men Team,No medal,Men,HBL,False
Daymaro Salina,M,Portugal,POR,2020,Tokyo,Handball,Men Team,No medal,Men,HBL,False
Rui Silva,M,Portugal,POR,2020,Tokyo,Handball,Men Team,No medal,Men,HBL,False
