Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Lourdes Bez,F,Puerto Rico,PUR,1996,Atlanta,Softball,Softball Women's Softball,No medal,False
Sheree Corniel,F,Puerto Rico,PUR,1996,Atlanta,Softball,Softball Women's Softball,No medal,False
Ivelisse Echevarra,F,Puerto Rico,PUR,1996,Atlanta,Softball,Softball Women's Softball,No medal,False
Mara Gnzalez,F,Puerto Rico,PUR,1996,Atlanta,Softball,Softball Women's Softball,No medal,False
Elba Lebrn,F,Puerto Rico,PUR,1996,Atlanta,Softball,Softball Women's Softball,No medal,False
Lisa Martnez,F,Puerto Rico,PUR,1996,Atlanta,Softball,Softball Women's Softball,No medal,False
Aida Miranda,F,Puerto Rico,PUR,1996,Atlanta,Softball,Softball Women's Softball,No medal,False
Lisa Prez,F,Puerto Rico,PUR,1996,Atlanta,Softball,Softball Women's Softball,No medal,False
Jacqueline Ortz,F,Puerto Rico,PUR,1996,Atlanta,Softball,Softball Women's Softball,No medal,False
Janice Parks-sanchez,F,Puerto Rico,PUR,1996,Atlanta,Softball,Softball Women's Softball,No medal,False
Penelope Rosrio,F,Puerto Rico,PUR,1996,Atlanta,Softball,Softball Women's Softball,No medal,False
Sandra Rosrio,F,Puerto Rico,PUR,1996,Atlanta,Softball,Softball Women's Softball,No medal,False
Myriam Segarra,F,Puerto Rico,PUR,1996,Atlanta,Softball,Softball Women's Softball,No medal,False
Eve Soto,F,Puerto Rico,PUR,1996,Atlanta,Softball,Softball Women's Softball,No medal,False
Clara Vzquez,F,Puerto Rico,PUR,1996,Atlanta,Softball,Softball Women's Softball,No medal,False
