Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Elisabeta Anghel,F,Romania,ROU,1996,Atlanta,Athletics,Athletics Women's 100 metres Hurdles,No medal,Athletics,ATH,False
Adina Anton,F,Romania,ROU,2004,Athina,Athletics,Athletics Women's Long Jump,No medal,Athletics,ATH,False
Andreea Arsine,F,Romania,ROU,2016,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,No medal,Athletics,ATH,False
Alina -kreiig),F,Romania,ROU,1988,Seoul,Athletics,Athletics Women's High Jump,No medal,Athletics,ATH,True
Alina -kreiig),F,Romania,ROU,1992,Barcelona,Athletics,Athletics Women's High Jump,Silver,Athletics,ATH,True
Iolanda (-ster),F,Romania,ROU,1956,Melbourne,Athletics,Athletics Women's High Jump,No medal,Athletics,ATH,True
Iolanda (-ster),F,Romania,ROU,1960,Roma,Athletics,Athletics Women's High Jump,Gold,Athletics,ATH,True
Iolanda (-ster),F,Romania,ROU,1964,Tokyo,Athletics,Athletics Women's High Jump,Gold,Athletics,ATH,True
Marion (steiner-),F,Romania,ROU,1972,Munich,Athletics,Athletics Women's Javelin Throw,No medal,Athletics,ATH,False
Violeta Beclea-szekely,F,Romania,ROU,1992,Barcelona,Athletics,"Athletics Women's 1,500 metres",No medal,Athletics,ATH,True
Violeta Beclea-szekely,F,Romania,ROU,2000,Sydney,Athletics,"Athletics Women's 1,500 metres",Silver,Athletics,ATH,True
Doina Beliu-melinte,F,Romania,ROU,1980,Moskva,Athletics,Athletics Women's 800 metres,No medal,Athletics,ATH,True
Doina Beliu-melinte,F,Romania,ROU,1984,Los Angeles,Athletics,Athletics Women's 800 metres,Gold,Athletics,ATH,True
Doina Beliu-melinte,F,Romania,ROU,1984,Los Angeles,Athletics,"Athletics Women's 1,500 metres",Silver,Athletics,ATH,True
Doina Beliu-melinte,F,Romania,ROU,1988,Seoul,Athletics,"Athletics Women's 1,500 metres",No medal,Athletics,ATH,True
Doina Beliu-melinte,F,Romania,ROU,1992,Barcelona,Athletics,"Athletics Women's 1,500 metres",No medal,Athletics,ATH,True
Roxana Brc,F,Romania,ROU,2012,London,Athletics,"Athletics Women's 5,000 metres",No medal,Athletics,ATH,False
Claudia Bobocea,F,Romania,ROU,2016,Rio de Janeiro,Athletics,Athletics Women's 800 metres,No medal,Athletics,ATH,False
Ancua Bobocel,F,Romania,ROU,2008,Beijing,Athletics,"Athletics Women's 3,000 metres Steeplechase",No medal,Athletics,ATH,True
Ancua Bobocel,F,Romania,ROU,2012,London,Athletics,"Athletics Women's 3,000 metres Steeplechase",No medal,Athletics,ATH,True
Ancua Bobocel,F,Romania,ROU,2016,Rio de Janeiro,Athletics,"Athletics Women's 3,000 metres Steeplechase",No medal,Athletics,ATH,True
Cristina -parjol),F,Romania,ROU,1992,Barcelona,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,True
Cristina -parjol),F,Romania,ROU,1996,Atlanta,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,True
Virginia (-ioan),F,Romania,ROU,1968,Mexico City,Athletics,Athletics Women's High Jump,No medal,Athletics,ATH,False
Mihaela Botezan,F,Romania,ROU,2004,Athina,Athletics,"Athletics Women's 10,000 metres",No medal,Athletics,ATH,False
Valeria Bufanu-tefnescu,F,Romania,ROU,1968,Mexico City,Athletics,Athletics Women's 80 metres Hurdles,No medal,Athletics,ATH,True
Valeria Bufanu-tefnescu,F,Romania,ROU,1972,Munich,Athletics,Athletics Women's 100 metres Hurdles,Silver,Athletics,ATH,True
Valeria Bufanu-tefnescu,F,Romania,ROU,1972,Munich,Athletics,Athletics Women's Long Jump,No medal,Athletics,ATH,True
Valeria Bufanu-tefnescu,F,Romania,ROU,1976,Montreal,Athletics,Athletics Women's 100 metres Hurdles,No medal,Athletics,ATH,True
Cristina Bujin,F,Romania,ROU,2012,London,Athletics,Athletics Women's Triple Jump,No medal,Athletics,ATH,True
Cristina Bujin,F,Romania,ROU,2016,Rio de Janeiro,Athletics,Athletics Women's Triple Jump,No medal,Athletics,ATH,True
Nicoleta (vornicu-),F,Romania,ROU,1992,Barcelona,Athletics,Athletics Women's 400 metres Hurdles,No medal,Athletics,ATH,False
Cristina (iloc-),F,Romania,ROU,2008,Beijing,Athletics,"Athletics Women's 3,000 metres Steeplechase",No medal,Athletics,ATH,True
Cristina (iloc-),F,Romania,ROU,2012,London,Athletics,"Athletics Women's 3,000 metres Steeplechase",No medal,Athletics,ATH,True
Olimpia Cataram,F,Romania,ROU,1964,Tokyo,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,True
Olimpia Cataram,F,Romania,ROU,1968,Mexico City,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,True
Anua Ctun,F,Romania,ROU,1996,Atlanta,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,True
Anua Ctun,F,Romania,ROU,2000,Sydney,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,True
Norica Cmpean,F,Romania,ROU,1996,Atlanta,Athletics,Athletics Women's 10 kilometres Walk,No medal,Athletics,ATH,True
Norica Cmpean,F,Romania,ROU,2000,Sydney,Athletics,Athletics Women's 20 kilometres Walk,No medal,Athletics,ATH,True
Norica Cmpean,F,Romania,ROU,2004,Athina,Athletics,Athletics Women's 20 kilometres Walk,No medal,Athletics,ATH,True
Valentina (-groapa),F,Romania,ROU,1972,Munich,Athletics,Athletics Women's Shot Put,No medal,Athletics,ATH,False
Maria Cioncan,F,Romania,ROU,2004,Athina,Athletics,Athletics Women's 800 metres,No medal,Athletics,ATH,True
Maria Cioncan,F,Romania,ROU,2004,Athina,Athletics,"Athletics Women's 1,500 metres",Bronze,Athletics,ATH,True
Elena Crlan,F,Romania,ROU,2004,Athina,Athletics,Athletics Women's 20 kilometres Walk,No medal,Athletics,ATH,True
Elena Crlan,F,Romania,ROU,2016,Rio de Janeiro,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,True
Christeana (-matei),F,Romania,ROU,1984,Los Angeles,Athletics,Athletics Women's 400 metres Hurdles,Bronze,Athletics,ATH,False
Claudia Cucerzan,F,Romania,ROU,2004,Athina,Athletics,"Athletics Women's 1,500 metres",No medal,Athletics,ATH,False
Constantina Di-tomescu,F,Romania,ROU,2004,Athina,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,True
Constantina Di-tomescu,F,Romania,ROU,2008,Beijing,Athletics,Athletics Women's Marathon,Gold,Athletics,ATH,True
Constantina Di-tomescu,F,Romania,ROU,2012,London,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,True
Maria Dii-diaconescu,F,Romania,ROU,1960,Roma,Athletics,Athletics Women's Javelin Throw,No medal,Athletics,ATH,True
Maria Dii-diaconescu,F,Romania,ROU,1964,Tokyo,Athletics,Athletics Women's Javelin Throw,No medal,Athletics,ATH,True
Mirela (-renda),F,Romania,ROU,1992,Barcelona,Athletics,Athletics Women's Long Jump,No medal,Athletics,ATH,False
