Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Elisabeta Bbeanu,F,Romania,ROU,1980,Moskva,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,False
Mihaela Bene,F,Romania,ROU,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,False
Viorica Dumitru,F,Romania,ROU,1968,Mexico City,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze,Canoeing,CSL,True
Viorica Dumitru,F,Romania,ROU,1968,Mexico City,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Viorica Dumitru,F,Romania,ROU,1972,Munich,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze,Canoeing,CSL,True
Raluca Ioni,F,Romania,ROU,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,Canoeing,CSL,True
Raluca Ioni,F,Romania,ROU,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,True
Raluca Ioni,F,Romania,ROU,2000,Sydney,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Raluca Ioni,F,Romania,ROU,2000,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze,Canoeing,CSL,True
Viorica Iordache,F,Romania,ROU,1992,Barcelona,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,True
Viorica Iordache,F,Romania,ROU,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Viorica Iordache,F,Romania,ROU,1996,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,True
Hilde (-ttaru),F,Romania,ROU,1964,Tokyo,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver,Canoeing,CSL,True
Hilde (-ttaru),F,Romania,ROU,1964,Tokyo,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze,Canoeing,CSL,True
Irina Lauric,F,Romania,ROU,2012,London,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,False
Mariana Limbu,F,Romania,ROU,2000,Sydney,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Mariana Limbu,F,Romania,ROU,2000,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze,Canoeing,CSL,True
Elena Lipalit,F,Romania,ROU,1960,Roma,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,False
Tecla (afanasie-),F,Romania,ROU,1984,Los Angeles,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,Canoeing,CSL,True
Tecla (afanasie-),F,Romania,ROU,1984,Los Angeles,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold,Canoeing,CSL,True
Maria (-mihoreanu),F,Romania,ROU,1972,Munich,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,Canoeing,CSL,True
Maria (-mihoreanu),F,Romania,ROU,1972,Munich,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze,Canoeing,CSL,True
Nastasia Nichitov-ionescu,F,Romania,ROU,1976,Montreal,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Nastasia Nichitov-ionescu,F,Romania,ROU,1984,Los Angeles,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Nastasia Nichitov-ionescu,F,Romania,ROU,1984,Los Angeles,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold,Canoeing,CSL,True
Claudia Nicula,F,Romania,ROU,1992,Barcelona,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,Canoeing,CSL,False
Agafia Orlov-buhaev-constantin,F,Romania,ROU,1976,Montreal,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Agafia Orlov-buhaev-constantin,F,Romania,ROU,1980,Moskva,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
Agafia Orlov-buhaev-constantin,F,Romania,ROU,1984,Los Angeles,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,Canoeing,CSL,True
