Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Carmen (-lingu),F,Romania,ROU,2008,Beijing,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Mihaela Senocico,F,Romania,ROU,2008,Beijing,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Simona (-sandu),F,Romania,ROU,1976,Montreal,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Florina Brsan-chintoan,F,Romania,ROU,2008,Beijing,Handball,Handball Women's Handball,No medal,Handball,HBL,True,True
Florina Brsan-chintoan,F,Romania,ROU,2016,Rio de Janeiro,Handball,Handball Women's Handball,No medal,Handball,HBL,True,False
Victorina Bora,F,Romania,ROU,2000,Sydney,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Maria (-igorov),F,Romania,ROU,1976,Montreal,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Eliza-Iulia Buceschi,F,Romania,ROU,2016,Rio de Janeiro,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Laura Chiper,F,Romania,ROU,2016,Rio de Janeiro,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Petrua (bicoianu-),F,Romania,ROU,1976,Montreal,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Nicoleta (-pcuraru),F,Romania,ROU,2000,Sydney,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Cristina Dogaru-cucuian,F,Romania,ROU,2000,Sydney,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Lidia Drgnescu,F,Romania,ROU,2000,Sydney,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Valentina (ardean-),F,Romania,ROU,2008,Beijing,Handball,Handball Women's Handball,No medal,Handball,HBL,True,True
Valentina (ardean-),F,Romania,ROU,2016,Rio de Janeiro,Handball,Handball Women's Handball,No medal,Handball,HBL,True,False
Ramona Farcu-maier,F,Romania,ROU,2000,Sydney,Handball,Handball Women's Handball,No medal,Handball,HBL,True,True
Ramona Farcu-maier,F,Romania,ROU,2008,Beijing,Handball,Handball Women's Handball,No medal,Handball,HBL,True,False
Doina (-solomonov),F,Romania,ROU,1976,Montreal,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Melinda Geiger,F,Romania,ROU,2016,Rio de Janeiro,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Iuliana Hobincu,F,Romania,ROU,1976,Montreal,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Camelia (balint-),F,Romania,ROU,2016,Rio de Janeiro,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Luminit Huupan-dinu,F,Romania,ROU,2000,Sydney,Handball,Handball Women's Handball,No medal,Handball,HBL,True,True
Luminit Huupan-dinu,F,Romania,ROU,2008,Beijing,Handball,Handball Women's Handball,No medal,Handball,HBL,True,False
Mihaela Ignat,F,Romania,ROU,2000,Sydney,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Elisabeta Ionescu,F,Romania,ROU,1976,Montreal,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Viorica Ionic,F,Romania,ROU,1976,Montreal,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Maria (-magyari),F,Romania,ROU,1976,Montreal,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Georgeta (-manolescu),F,Romania,ROU,1976,Montreal,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Georgeta Lecuanu,F,Romania,ROU,2008,Beijing,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Stelua (lzar-),F,Romania,ROU,2000,Sydney,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Oana Manea,F,Romania,ROU,2016,Rio de Janeiro,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Adina (-fiera),F,Romania,ROU,2008,Beijing,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Magdalena (-ilye),F,Romania,ROU,1976,Montreal,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Aurica Motogna-bee,F,Romania,ROU,2000,Sydney,Handball,Handball Women's Handball,No medal,Handball,HBL,True,True
Aurica Motogna-bee,F,Romania,ROU,2008,Beijing,Handball,Handball Women's Handball,No medal,Handball,HBL,True,False
Ionica Munteanu,F,Romania,ROU,2016,Rio de Janeiro,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
Elena Napr,F,Romania,ROU,2000,Sydney,Handball,Handball Women's Handball,No medal,Handball,HBL,False,True
