Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Andrey Akimov,M,Russia,RUS,1912,Stockholm,Football,Football Men's Football,No medal,False
Sergey Andreyev,M,Russia,URS,1980,Moskva,Football,Football Men's Football,Bronze,False
Arkadi Andriasyan,M,Russia,URS,1972,Munich,Football,Football Men's Football,Bronze,False
Vladimir Astapovsky,M,Russia,URS,1976,Montreal,Football,Football Men's Football,Bronze,False
Serhiy Baltacha,M,Russia,URS,1980,Moskva,Football,Football Men's Football,Bronze,False
Anatoly Bashashkin,M,Russia,URS,1952,Helsinki,Football,Football Men's Football,No medal,True
Anatoly Bashashkin,M,Russia,URS,1956,Melbourne,Football,Football Men's Football,Gold,True
Konstantin Beskov,M,Russia,URS,1952,Helsinki,Football,Football Men's Football,No medal,False
Iosyp Betsa,M,Russia,URS,1956,Melbourne,Football,Football Men's Football,Gold,False
Volodymyr Bezsonov,M,Russia,URS,1980,Moskva,Football,Football Men's Football,Bronze,False
Oleh Blokhin,M,Russia,URS,1972,Munich,Football,Football Men's Football,Bronze,True
Oleh Blokhin,M,Russia,URS,1976,Montreal,Football,Football Men's Football,Bronze,True
Vsevolod Bobrov,M,Russia,URS,1952,Helsinki,Football,Football Men's Football,No medal,False
Aleksandr Borodyuk,M,Russia,URS,1988,Seoul,Football,Football Men's Football,Gold,False
Leonid Buriak,M,Russia,URS,1976,Montreal,Football,Football Men's Football,Bronze,False
Vasily Butusov,M,Russia,RUS,1912,Stockholm,Football,Football Men's Football,No medal,False
Avtandil Ch'k'uaseli,M,Russia,URS,1952,Helsinki,Football,Football Men's Football,No medal,False
Revaz Chelebadze,M,Russia,URS,1980,Moskva,Football,Football Men's Football,Bronze,False
Oleksiy Cherednyk,M,Russia,URS,1988,Seoul,Football,Football Men's Football,Gold,False
Fyodor Cherenkov,M,Russia,URS,1980,Moskva,Football,Football Men's Football,Bronze,False
Aleksandre Chivadze,M,Russia,URS,1980,Moskva,Football,Football Men's Football,Bronze,False
Rinat Dasayev,M,Russia,URS,1980,Moskva,Football,Football Men's Football,Bronze,False
Igor Doborovolsky,M,Russia,URS,1988,Seoul,Football,Football Men's Football,Gold,False
Revaz Dzodzuashvili,M,Russia,URS,1972,Munich,Football,Football Men's Football,Bronze,False
Lev Favorsky,M,Russia,RUS,1912,Stockholm,Football,Football Men's Football,No medal,False
Aleksandr Filippov,M,Russia,RUS,1912,Stockholm,Football,Football Men's Football,No medal,False
Sergey Filippov,M,Russia,RUS,1912,Stockholm,Football,Football Men's Football,No medal,False
Sergey Fokin,M,Russia,URS,1988,Seoul,Football,Football Men's Football,Gold,False
Mykhailo Fomenko,M,Russia,URS,1976,Montreal,Football,Football Men's Football,Bronze,False
Vladimir Fyodorov,M,Russia,URS,1976,Montreal,Football,Football Men's Football,Bronze,False
Yury Gavrilov,M,Russia,URS,1980,Moskva,Football,Football Men's Football,Bronze,False
Valery Gazzayev,M,Russia,URS,1980,Moskva,Football,Football Men's Football,Bronze,False
Avtandil Gogoberidze,M,Russia,URS,1952,Helsinki,Football,Football Men's Football,No medal,False
Sergey Gorlukovich,M,Russia,URS,1988,Seoul,Football,Football Men's Football,Gold,False
Khoren Hovhannisyan,M,Russia,URS,1980,Moskva,Football,Football Men's Football,Bronze,False
Anatoly Ilyin,M,Russia,URS,1952,Helsinki,Football,Football Men's Football,No medal,True
Anatoly Ilyin,M,Russia,URS,1956,Melbourne,Football,Football Men's Football,Gold,True
Anatoly Isayev,M,Russia,URS,1956,Melbourne,Football,Football Men's Football,Gold,False
Yury Istomin,M,Russia,URS,1972,Munich,Football,Football Men's Football,Bronze,False
Leonid Ivanov,M,Russia,URS,1952,Helsinki,Football,Football Men's Football,No medal,False
Valentin Ivanov,M,Russia,URS,1956,Melbourne,Football,Football Men's Football,Gold,False
Arvydas Janonis,M,Russia,URS,1988,Seoul,Football,Football Men's Football,Gold,False
Vladimir Kaplichny,M,Russia,URS,1972,Munich,Football,Football Men's Football,Bronze,False
Gela K'et'ashvili,M,Russia,URS,1988,Seoul,Football,Football Men's Football,Gold,False
Dmitry Kharin,M,Russia,URS,1988,Seoul,Football,Football Men's Football,Gold,False
Vagiz Khidiyatullin,M,Russia,URS,1980,Moskva,Football,Football Men's Football,Bronze,False
Nikita Khromov,M,Russia,RUS,1912,Stockholm,Football,Football Men's Football,No medal,False
Murtaz Khurtsilava,M,Russia,URS,1972,Munich,Football,Football Men's Football,Bronze,False
Viktor Kolotov,M,Russia,URS,1972,Munich,Football,Football Men's Football,Bronze,True
Viktor Kolotov,M,Russia,URS,1976,Montreal,Football,Football Men's Football,Bronze,True
Anatoliy Konkov,M,Russia,URS,1976,Montreal,Football,Football Men's Football,Bronze,False
Konstantin Krizhevsky,M,Russia,URS,1952,Helsinki,Football,Football Men's Football,No medal,False
Anatoliy Kuksov,M,Russia,URS,1972,Munich,Football,Football Men's Football,Bronze,False
Boris Kuznetsov,M,Russia,URS,1956,Melbourne,Football,Football Men's Football,Gold,False
Yevgeny Kuznetsov,M,Russia,URS,1988,Seoul,Football,Football Men's Football,Gold,False
Nikolay Kynin,M,Russia,RUS,1912,Stockholm,Football,Football Men's Football,No medal,False
Volodymyr Liutiy,M,Russia,URS,1988,Seoul,Football,Football Men's Football,Gold,False
Viktor Losev,M,Russia,URS,1988,Seoul,Football,Football Men's Football,Gold,False
Yevgeny Lovchev,M,Russia,URS,1972,Munich,Football,Football Men's Football,Bronze,False
Vladimir Markov,M,Russia,RUS,1912,Stockholm,Football,Football Men's Football,No medal,False
Fridrikh Maryutin,M,Russia,URS,1952,Helsinki,Football,Football Men's Football,No medal,False
Anatoly Maslyonkin,M,Russia,URS,1956,Melbourne,Football,Football Men's Football,Gold,False
Viktor Matviyenko,M,Russia,URS,1976,Montreal,Football,Football Men's Football,Bronze,False
Aleksandr Minayev,M,Russia,URS,1976,Montreal,Football,Football Men's Football,Bronze,False
Oleksiy Mykhailychenko,M,Russia,URS,1988,Seoul,Football,Football Men's Football,Gold,False
Arminas Narbekovas,M,Russia,URS,1988,Seoul,Football,Football Men's Football,Gold,False
Leonid Nazarenko,M,Russia,URS,1976,Montreal,Football,Football Men's Football,Bronze,False
Igor Netto,M,Russia,URS,1952,Helsinki,Football,Football Men's Football,No medal,True
Igor Netto,M,Russia,URS,1956,Melbourne,Football,Football Men's Football,Gold,True
