Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Yelena Antonova,F,Russia,RUS,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,No medal,False
Yelena Azarova,F,Russia,RUS,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,No medal,True
Yelena Azarova,F,Russia,RUS,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Yelena Azarova,F,Russia,RUS,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Olga Brusnikina,F,Russia,RUS,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,No medal,True
Olga Brusnikina,F,Russia,RUS,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold,True
Olga Brusnikina,F,Russia,RUS,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Olga Brusnikina,F,Russia,RUS,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Mariya Chernyayeva,F,Russia,URS,1988,Seoul,Synchronized Swimming,Synchronized Swimming Women's Solo,No medal,True
Mariya Chernyayeva,F,Russia,URS,1988,Seoul,Synchronized Swimming,Synchronized Swimming Women's Duet,No medal,True
Vlada Chigiryova,F,Russia,RUS,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,False
Anastasiya Davydova,F,Russia,RUS,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold,True
Anastasiya Davydova,F,Russia,RUS,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Anastasiya Davydova,F,Russia,RUS,2008,Beijing,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold,True
Anastasiya Davydova,F,Russia,RUS,2008,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Anastasiya Davydova,F,Russia,RUS,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Mariya Gromova,F,Russia,RUS,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Mariya Gromova,F,Russia,RUS,2008,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Mariya Gromova,F,Russia,RUS,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Nataliya Ishchenko,F,Russia,RUS,2008,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Nataliya Ishchenko,F,Russia,RUS,2012,London,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold,True
Nataliya Ishchenko,F,Russia,RUS,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Nataliya Ishchenko,F,Russia,RUS,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold,True
Nataliya Ishchenko,F,Russia,RUS,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Elvira Khasyanova,F,Russia,RUS,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Elvira Khasyanova,F,Russia,RUS,2008,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Elvira Khasyanova,F,Russia,RUS,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Mariya Kiselyova,F,Russia,RUS,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,No medal,True
Mariya Kiselyova,F,Russia,RUS,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold,True
Mariya Kiselyova,F,Russia,RUS,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Mariya Kiselyova,F,Russia,RUS,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Svetlana Kolesnichenko,F,Russia,RUS,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,False
Darya Korobova,F,Russia,RUS,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,False
Olga Kuzhela,F,Russia,RUS,2008,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,False
Galina Maksimova,F,Russia,RUS,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,No medal,False
Olga Novokshchenova,F,Russia,RUS,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,No medal,True
Olga Novokshchenova,F,Russia,RUS,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Olga Novokshchenova,F,Russia,RUS,2004,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Yelena Ovchinnikova,F,Russia,RUS,2008,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,False
Yuliya Pankratova,F,Russia,RUS,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,No medal,False
Aleksandra Patskevich,F,Russia,RUS,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Aleksandra Patskevich,F,Russia,RUS,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Irina Pershina,F,Russia,RUS,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,False
Yelena Prokofyeva,F,Russia,RUS,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,False
Svetlana Romashina,F,Russia,RUS,2008,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
Svetlana Romashina,F,Russia,RUS,2012,London,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold,True
Svetlana Romashina,F,Russia,RUS,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,True
