Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Aleksandr Alenitsyn,M,Russia,RUS,1912,Stockholm,Tennis,Tennis Men's Doubles,No medal,False
Igor Andreyev,M,Russia,RUS,2004,Athina,Tennis,Tennis Men's Singles,No medal,True
Igor Andreyev,M,Russia,RUS,2008,Beijing,Tennis,Tennis Men's Singles,No medal,True
Aleksandr Jr.,M,Russia,RUS,2012,London,Tennis,Tennis Men's Singles,No medal,False
Andrey Cherkasov,M,Russia,URS,1988,Seoul,Tennis,Tennis Men's Singles,No medal,False
Andrey Chesnokov,M,Russia,URS,1988,Seoul,Tennis,Tennis Men's Singles,No medal,False
Nikolay Davydenko,M,Russia,RUS,2004,Athina,Tennis,Tennis Men's Singles,No medal,True
Nikolay Davydenko,M,Russia,RUS,2008,Beijing,Tennis,Tennis Men's Singles,No medal,True
Nikolay Davydenko,M,Russia,RUS,2012,London,Tennis,Tennis Men's Singles,No medal,True
Nikolay Davydenko,M,Russia,RUS,2012,London,Tennis,Tennis Men's Doubles,No medal,True
Yevgeny Donskoy,M,Russia,RUS,2016,Rio de Janeiro,Tennis,Tennis Men's Singles,No medal,False
Teymuraz Gabashvili,M,Russia,RUS,2016,Rio de Janeiro,Tennis,Tennis Men's Singles,No medal,False
Yevgeny Kafelnikov,M,Russia,RUS,2000,Sydney,Tennis,Tennis Men's Singles,Gold,True
Yevgeny Kafelnikov,M,Russia,RUS,2000,Sydney,Tennis,Tennis Men's Doubles,No medal,True
Andrey Kuznetsov,M,Russia,RUS,2016,Rio de Janeiro,Tennis,Tennis Men's Singles,No medal,False
Andrey Olkhovsky,M,Russia,URS,1988,Seoul,Tennis,Tennis Men's Doubles,No medal,True
Andrey Olkhovsky,M,Russia,RUS,1996,Atlanta,Tennis,Tennis Men's Singles,No medal,True
Marat Safin,M,Russia,RUS,2000,Sydney,Tennis,Tennis Men's Singles,No medal,True
Marat Safin,M,Russia,RUS,2000,Sydney,Tennis,Tennis Men's Doubles,No medal,True
Marat Safin,M,Russia,RUS,2004,Athina,Tennis,Tennis Men's Singles,No medal,True
Mikhail Sumarokov-elston,M,Russia,RUS,1912,Stockholm,Tennis,Tennis Men's Singles,No medal,True
Mikhail Sumarokov-elston,M,Russia,RUS,1912,Stockholm,Tennis,Tennis Men's Doubles,No medal,True
Dmitry Tursunov,M,Russia,RUS,2008,Beijing,Tennis,Tennis Men's Singles,No medal,True
Dmitry Tursunov,M,Russia,RUS,2012,London,Tennis,Tennis Men's Singles,No medal,True
Aleksandr Volkov,M,Russia,URS,1988,Seoul,Tennis,Tennis Men's Singles,No medal,True
Aleksandr Volkov,M,Russia,URS,1988,Seoul,Tennis,Tennis Men's Doubles,No medal,True
Mikhail Yuzhny,M,Russia,RUS,2004,Athina,Tennis,Tennis Men's Singles,No medal,True
Mikhail Yuzhny,M,Russia,RUS,2008,Beijing,Tennis,Tennis Men's Singles,No medal,True
Mikhail Yuzhny,M,Russia,RUS,2012,London,Tennis,Tennis Men's Singles,No medal,True
Mikhail Yuzhny,M,Russia,RUS,2012,London,Tennis,Tennis Mixed Doubles,No medal,True
Mikhail Yuzhny,M,Russia,RUS,2012,London,Tennis,Tennis Men's Doubles,No medal,True
Aslan Karatsev,M,Russia,ROC,2020,Tokyo,Tennis,Men's Singles,No medal,True
Aslan Karatsev,M,Russia,ROC,2020,Tokyo,Tennis,Men's Doubles Team,No medal,True
Aslan Karatsev,M,Russia,ROC,2020,Tokyo,Tennis,Mixed Doubles Team,Silver,True
Karen Khachanov,M,Russia,ROC,2020,Tokyo,Tennis,Men's Singles,Silver,True
Karen Khachanov,M,Russia,ROC,2020,Tokyo,Tennis,Men's Doubles Team,No medal,True
Daniil Medvedev,M,Russia,ROC,2020,Tokyo,Tennis,Men's Singles,No medal,True
Daniil Medvedev,M,Russia,ROC,2020,Tokyo,Tennis,Men's Doubles Team,No medal,True
Andrey Rublev,M,Russia,ROC,2020,Tokyo,Tennis,Men's Singles,No medal,True
Andrey Rublev,M,Russia,ROC,2020,Tokyo,Tennis,Men's Doubles Team,No medal,True
Andrey Rublev,M,Russia,ROC,2020,Tokyo,Tennis,Mixed Doubles Team,Gold,True
Pavel Kotov,M,Russia,AIN,2024,Paris,Tennis,Men's Singles,No medal,False
Roman Safiullin,M,Russia,AIN,2024,Paris,Tennis,Men's Doubles,No medal,True
Roman Safiullin,M,Russia,AIN,2024,Paris,Tennis,Men's Singles,No medal,True
Daniil Medvedev,M,Russia,AIN,2024,Paris,Tennis,Men's Doubles,No medal,True
Daniil Medvedev,M,Russia,AIN,2024,Paris,Tennis,Men's Singles,No medal,True
Daniil Medvedev,M,Russia,AIN,2024,Paris,Tennis,Mixed Doubles,No medal,True
