Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Valma Bass,F,Saint Kitts And Nevis,SKN,1996,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,True
Valma Bass,F,Saint Kitts And Nevis,SKN,1996,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,No medal,True
Valma Bass,F,Saint Kitts And Nevis,SKN,2000,Sydney,Athletics,Athletics Women's 100 metres,No medal,True
Valma Bass,F,Saint Kitts And Nevis,SKN,2000,Sydney,Athletics,Athletics Women's 200 metres,No medal,True
Diane (dunrod-),F,Saint Kitts And Nevis,SKN,1996,Atlanta,Athletics,Athletics Women's 400 metres,No medal,True
Diane (dunrod-),F,Saint Kitts And Nevis,SKN,1996,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,No medal,True
Elricia Francis,F,Saint Kitts And Nevis,SKN,1996,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,False
Virgil Hodge,F,Saint Kitts And Nevis,SKN,2008,Beijing,Athletics,Athletics Women's 100 metres,No medal,True
Virgil Hodge,F,Saint Kitts And Nevis,SKN,2008,Beijing,Athletics,Athletics Women's 200 metres,No medal,True
Bernice Morton,F,Saint Kitts And Nevis,SKN,1996,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,False
Tiandra Ponteen,F,Saint Kitts And Nevis,SKN,2004,Athina,Athletics,Athletics Women's 400 metres,No medal,True
Tiandra Ponteen,F,Saint Kitts And Nevis,SKN,2008,Beijing,Athletics,Athletics Women's 400 metres,No medal,True
Bernadeth Prentice,F,Saint Kitts And Nevis,SKN,1996,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,True
Bernadeth Prentice,F,Saint Kitts And Nevis,SKN,1996,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,No medal,True
Tamara (-brudy),F,Saint Kitts And Nevis,SKN,1996,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,No medal,False
Meritzer Williams,F,Saint Kitts And Nevis,SKN,2008,Beijing,Athletics,Athletics Women's 200 metres,No medal,False
Tameka Williams,F,Saint Kitts And Nevis,SKN,2016,Rio de Janeiro,Athletics,Athletics Women's 200 metres,No medal,False
Amya Clarke,F,Saint Kitts And Nevis,SKN,2020,Tokyo,Athletics,Women's 100m,No medal,False
