Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Hassan Al-absi,M,Saudi Arabia,KSA,1984,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Hassan Al-absi,M,Saudi Arabia,KSA,1984,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Medhadi Al-dosari,M,Saudi Arabia,KSA,1992,Barcelona,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Medhadi Al-dosari,M,Saudi Arabia,KSA,1992,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Ali Al-ghazawi,M,Saudi Arabia,KSA,1984,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",No medal,False
Saleh Al-qobaissi,M,Saudi Arabia,KSA,1992,Barcelona,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Saleh Al-qobaissi,M,Saudi Arabia,KSA,1992,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Ahmed Al-saleh,M,Saudi Arabia,KSA,1984,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,False
Ali Al-shanqiti,M,Saudi Arabia,KSA,1984,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Ali Al-shanqiti,M,Saudi Arabia,KSA,1984,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Abdullah Al-shaye,M,Saudi Arabia,KSA,1984,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",No medal,False
Mohamed Al-takroni,M,Saudi Arabia,KSA,1992,Barcelona,Cycling,"Cycling Men's Road Race, Individual",No medal,True
Mohamed Al-takroni,M,Saudi Arabia,KSA,1992,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,True
Rajab Moqbil,M,Saudi Arabia,KSA,1984,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal,False
