Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Atallah Al-anazi,M,Saudi Arabia,KSA,2016,Rio de Janeiro,Shooting,"Shooting Men's Air Pistol, 10 metres",No medal,True
Atallah Al-anazi,M,Saudi Arabia,KSA,2016,Rio de Janeiro,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal,True
Safaq Al-anzi,M,Saudi Arabia,KSA,1984,Los Angeles,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal,False
Sayed Al-asibi,M,Saudi Arabia,KSA,1984,Los Angeles,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal,False
Khuwaled Al-harthi,M,Saudi Arabia,KSA,1984,Los Angeles,Shooting,"Shooting Men's Air Rifle, 10 metres",No medal,False
Matar Al-harthi,M,Saudi Arabia,KSA,1988,Seoul,Shooting,Shooting Mixed Trap,No medal,False
Sayed Bariq,M,Saudi Arabia,KSA,1996,Atlanta,Shooting,Shooting Men's Skeet,No medal,True
Sayed Bariq,M,Saudi Arabia,KSA,2000,Sydney,Shooting,Shooting Men's Skeet,No medal,True
Sayed Bariq,M,Saudi Arabia,KSA,2004,Athina,Shooting,Shooting Men's Skeet,No medal,True
Sayed Bariq,M,Saudi Arabia,KSA,2008,Beijing,Shooting,Shooting Men's Skeet,No medal,True
Manhi Al-mutairy,M,Saudi Arabia,KSA,1984,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal,False
Talak Al-otaibi,M,Saudi Arabia,KSA,1984,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,False
Majed Al-tamimi,M,Saudi Arabia,KSA,2012,London,Shooting,Shooting Men's Skeet,No medal,False
Abdullah Al-usaimi,M,Saudi Arabia,KSA,1984,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal,False
Saeid Almutairi,M,Saudi Arabia,KSA,2020,Tokyo,Shooting,Skeet Men,No medal,False
