Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Aly Atty,M,Senegal,SEN,1988,Seoul,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,True
Aly Atty,M,Senegal,SEN,1992,Barcelona,Judo,Judo Men's Middleweight,No medal,Judo,JUD,True
Karim Badiane,M,Senegal,SEN,1980,Moskva,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,False
Diguy Bathily,M,Senegal,SEN,2008,Beijing,Judo,Judo Men's Heavyweight,No medal,Judo,JUD,False
Xavier Boissy,M,Senegal,SEN,1972,Munich,Judo,Judo Men's Lightweight,No medal,Judo,JUD,False
Jonas Ciss,M,Senegal,SEN,1972,Munich,Judo,Judo Men's Middleweight,No medal,Judo,JUD,False
Lansana Coly,M,Senegal,SEN,1984,Los Angeles,Judo,Judo Men's Open Class,No medal,Judo,JUD,True
Lansana Coly,M,Senegal,SEN,1988,Seoul,Judo,Judo Men's Heavyweight,No medal,Judo,JUD,True
Abdul Daff,M,Senegal,SEN,1984,Los Angeles,Judo,Judo Men's Half-Heavyweight,No medal,Judo,JUD,False
Akilong Diabone,M,Senegal,SEN,1980,Moskva,Judo,Judo Men's Middleweight,No medal,Judo,JUD,True
Akilong Diabone,M,Senegal,SEN,1988,Seoul,Judo,Judo Men's Middleweight,No medal,Judo,JUD,True
Ibrahima Diallo,M,Senegal,SEN,1984,Los Angeles,Judo,Judo Men's Lightweight,No medal,Judo,JUD,False
Babacar Dione,M,Senegal,SEN,1988,Seoul,Judo,Judo Men's Lightweight,No medal,Judo,JUD,False
Mohamed Dione,M,Senegal,SEN,1972,Munich,Judo,Judo Men's Half-Heavyweight,No medal,Judo,JUD,False
Niokhor Diongue,M,Senegal,SEN,1980,Moskva,Judo,Judo Men's Lightweight,No medal,Judo,JUD,False
Khalif Diouf,M,Senegal,SEN,1984,Los Angeles,Judo,Judo Men's Heavyweight,No medal,Judo,JUD,True
Khalif Diouf,M,Senegal,SEN,1992,Barcelona,Judo,Judo Men's Heavyweight,No medal,Judo,JUD,True
Khalifa Diouf,M,Senegal,SEN,1996,Atlanta,Judo,Judo Men's Heavyweight,No medal,Judo,JUD,False
Abdoulaye Djiba,M,Senegal,SEN,1972,Munich,Judo,Judo Men's Open Class,No medal,Judo,JUD,True
Abdoulaye Djiba,M,Senegal,SEN,1976,Montreal,Judo,Judo Men's Half-Heavyweight,No medal,Judo,JUD,True
Abdoulaye Djiba,M,Senegal,SEN,1976,Montreal,Judo,Judo Men's Open Class,No medal,Judo,JUD,True
Amadou Guye,M,Senegal,SEN,1992,Barcelona,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,False
El Guye,M,Senegal,SEN,1984,Los Angeles,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,False
Abdoulaye Kote,M,Senegal,SEN,1976,Montreal,Judo,Judo Men's Heavyweight,No medal,Judo,JUD,True
Abdoulaye Kote,M,Senegal,SEN,1980,Moskva,Judo,Judo Men's Heavyweight,No medal,Judo,JUD,True
Abdoulaye Kote,M,Senegal,SEN,1980,Moskva,Judo,Judo Men's Open Class,No medal,Judo,JUD,True
Papa M'bengue,M,Senegal,SEN,1976,Montreal,Judo,Judo Men's Lightweight,No medal,Judo,JUD,False
M'Bagnick M'bodj,M,Senegal,SEN,1972,Munich,Judo,Judo Men's Heavyweight,No medal,Judo,JUD,False
Assane N'doye,M,Senegal,SEN,1976,Montreal,Judo,Judo Men's Middleweight,No medal,Judo,JUD,False
Djibril Sall,M,Senegal,SEN,1984,Los Angeles,Judo,Judo Men's Extra-Lightweight,No medal,Judo,JUD,False
Moussa Sall,M,Senegal,SEN,1992,Barcelona,Judo,Judo Men's Half-Heavyweight,No medal,Judo,JUD,False
Djibril Sambou,M,Senegal,SEN,1980,Moskva,Judo,Judo Men's Half-Lightweight,No medal,Judo,JUD,False
Abdoul Seck,M,Senegal,SEN,1996,Atlanta,Judo,Judo Men's Half-Lightweight,No medal,Judo,JUD,False
Malick Seck,M,Senegal,SEN,1992,Barcelona,Judo,Judo Men's Lightweight,No medal,Judo,JUD,False
Pierre Sne,M,Senegal,SEN,1988,Seoul,Judo,Judo Men's Half-Lightweight,No medal,Judo,JUD,True
Pierre Sne,M,Senegal,SEN,1992,Barcelona,Judo,Judo Men's Half-Lightweight,No medal,Judo,JUD,True
Babacar Sidib,M,Senegal,SEN,1972,Munich,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,False
Boubacar Sow,M,Senegal,SEN,1980,Moskva,Judo,Judo Men's Extra-Lightweight,No medal,Judo,JUD,False
Alassane Thioub,M,Senegal,SEN,1980,Moskva,Judo,Judo Men's Half-Heavyweight,No medal,Judo,JUD,False
Lamine Wade,M,Senegal,SEN,1976,Montreal,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,False
Mbagnick Ndiaye,M,Senegal,SEN,2020,Tokyo,Judo,Men +100 kg,No medal,Men,JUD,True
Mbagnick Ndiaye,M,Senegal,SEN,2024,Paris,Judo,Men +100 kg,No medal,Men,JUD,True
