Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Strahinja Stefanovic,M,Serbia,SRB,2020,Tokyo,Canoe Sprint,Men's Kayak Single 200m,No medal,False
Bojan Zdelar,M,Serbia,SRB,2020,Tokyo,Canoe Sprint,Men's Kayak Single 200m,No medal,True
Bojan Zdelar,M,Serbia,SRB,2020,Tokyo,Canoe Sprint,Men's Kayak Single 1000m,No medal,True
Marko Dragosavljevic,M,Serbia,SRB,2024,Paris,Canoe Sprint,Men's Kayak Double 500m,No medal,True
Marko Dragosavljevic,M,Serbia,SRB,2024,Paris,Canoe Sprint,Men's Kayak Four 500m,No medal,True
Andjelo Dzombeta,M,Serbia,SRB,2024,Paris,Canoe Sprint,Men's Kayak Double 500m,No medal,True
Andjelo Dzombeta,M,Serbia,SRB,2024,Paris,Canoe Sprint,Men's Kayak Four 500m,No medal,True
Marko Novakovic,M,Serbia,SRB,2024,Paris,Canoe Sprint,Men's Kayak Double 500m,No medal,True
Marko Novakovic,M,Serbia,SRB,2024,Paris,Canoe Sprint,Men's Kayak Four 500m,No medal,True
Vladimir Torubarov,M,Serbia,SRB,2024,Paris,Canoe Sprint,Men's Kayak Double 500m,No medal,True
Vladimir Torubarov,M,Serbia,SRB,2024,Paris,Canoe Sprint,Men's Kayak Four 500m,No medal,True
