Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Antonija Horvat-panda,F,Serbia,SRB,2012,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,False
Renata Major-kubik,F,Serbia,SRB,2012,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,False
Nikolina Moldovan,F,Serbia,SRB,2012,London,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",No medal,True
Nikolina Moldovan,F,Serbia,SRB,2012,London,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Nikolina Moldovan,F,Serbia,SRB,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Nikolina Moldovan,F,Serbia,SRB,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Olivera Moldovan,F,Serbia,SRB,2012,London,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Olivera Moldovan,F,Serbia,SRB,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",No medal,True
Olivera Moldovan,F,Serbia,SRB,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Antonija Na,F,Serbia,SRB,2012,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,False
Dalma Ruii-benedek,F,Serbia,SRB,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No medal,True
Dalma Ruii-benedek,F,Serbia,SRB,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Milica Starovi,F,Serbia,SRB,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",No medal,True
Milica Starovi,F,Serbia,SRB,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,True
Marta Tibor,F,Serbia,SRB,2012,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No medal,False
