Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Mria Homolov,F,Slovakia,SVK,2012,London,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Mria Homolov,F,Slovakia,SVK,2012,London,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Mria Homolov,F,Slovakia,SVK,2012,London,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Mria Homolov,F,Slovakia,SVK,2012,London,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Klaudia Kinsk,F,Slovakia,SVK,1996,Atlanta,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Klaudia Kinsk,F,Slovakia,SVK,1996,Atlanta,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Klaudia Kinsk,F,Slovakia,SVK,1996,Atlanta,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Klaudia Kinsk,F,Slovakia,SVK,1996,Atlanta,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Klaudia Kinsk,F,Slovakia,SVK,1996,Atlanta,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Ivana Kovov,F,Slovakia,SVK,2008,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Ivana Kovov,F,Slovakia,SVK,2008,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Ivana Kovov,F,Slovakia,SVK,2008,Beijing,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Barbora Mokoov,F,Slovakia,SVK,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Barbora Mokoov,F,Slovakia,SVK,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Barbora Mokoov,F,Slovakia,SVK,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Barbora Mokoov,F,Slovakia,SVK,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Zuzana Sekerov,F,Slovakia,SVK,2000,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Zuzana Sekerov,F,Slovakia,SVK,2000,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Zuzana Sekerov,F,Slovakia,SVK,2000,Sydney,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Zuzana Sekerov,F,Slovakia,SVK,2000,Sydney,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Zuzana Sekerov,F,Slovakia,SVK,2000,Sydney,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Zuzana Sekerov,F,Slovakia,SVK,2004,Athina,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Zuzana Sekerov,F,Slovakia,SVK,2004,Athina,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Zuzana Sekerov,F,Slovakia,SVK,2004,Athina,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Zuzana Sekerov,F,Slovakia,SVK,2004,Athina,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Zuzana Sekerov,F,Slovakia,SVK,2004,Athina,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
