Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Tettey-Sowah Banfro,M,Slovenia,SLO,2000,Sydney,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Branko Bedekovi,M,Slovenia,SLO,2000,Sydney,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Marko Bezjak,M,Slovenia,SLO,2016,Rio de Janeiro,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Bla Blagotinek,M,Slovenia,SLO,2016,Rio de Janeiro,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Dean Bomba,M,Slovenia,SLO,2016,Rio de Janeiro,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Matja Brumen,M,Slovenia,SLO,2004,Athina,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Darko Cingesar,M,Slovenia,SLO,2016,Rio de Janeiro,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Gregor Cviji,M,Slovenia,SLO,2000,Sydney,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Jure Dolenec,M,Slovenia,SLO,2016,Rio de Janeiro,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Matej Gaber,M,Slovenia,SLO,2016,Rio de Janeiro,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Nik Henigman,M,Slovenia,SLO,2016,Rio de Janeiro,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Bla Janc,M,Slovenia,SLO,2016,Rio de Janeiro,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Zoran Jovii,M,Slovenia,SLO,2000,Sydney,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Zoran Jovii,M,Slovenia,SLO,2004,Athina,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Andrej Kastelic,M,Slovenia,SLO,2000,Sydney,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Andrej Kastelic,M,Slovenia,SLO,2004,Athina,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Vid Kavtinik,M,Slovenia,SLO,2004,Athina,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Vid Kavtinik,M,Slovenia,SLO,2016,Rio de Janeiro,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Miladin Kozlina,M,Slovenia,SLO,2004,Athina,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Beno Lapajne,M,Slovenia,SLO,2000,Sydney,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Beno Lapajne,M,Slovenia,SLO,2004,Athina,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Urban Lesjak,M,Slovenia,SLO,2016,Rio de Janeiro,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Jani Likave,M,Slovenia,SLO,2000,Sydney,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Zoran Lubej,M,Slovenia,SLO,2000,Sydney,Handball,Handball Men's Handball,No medal,Handball,HBL,False
David Miklavi,M,Slovenia,SLO,2016,Rio de Janeiro,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Jure Natek,M,Slovenia,SLO,2004,Athina,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Marko Otir,M,Slovenia,SLO,2004,Athina,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Ale Pajovi,M,Slovenia,SLO,2000,Sydney,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Ale Pajovi,M,Slovenia,SLO,2004,Athina,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Duan Podpean,M,Slovenia,SLO,2004,Athina,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Vid Poteko,M,Slovenia,SLO,2016,Rio de Janeiro,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Iztok Puc,M,Slovenia,SLO,2000,Sydney,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Roman Pungartnik,M,Slovenia,SLO,2000,Sydney,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Rolando Punik,M,Slovenia,SLO,2000,Sydney,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Simon Razgor,M,Slovenia,SLO,2016,Rio de Janeiro,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Siarhei Rutenka,M,Slovenia,SLO,2004,Athina,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Uro Erbec,M,Slovenia,SLO,2000,Sydney,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Gorazd Kof,M,Slovenia,SLO,2016,Rio de Janeiro,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Matev Skok,M,Slovenia,SLO,2016,Rio de Janeiro,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Toma Tomi,M,Slovenia,SLO,2000,Sydney,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Toma Tomi,M,Slovenia,SLO,2004,Athina,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Renato Vugrinec,M,Slovenia,SLO,2000,Sydney,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Renato Vugrinec,M,Slovenia,SLO,2004,Athina,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Miha Zarabec,M,Slovenia,SLO,2016,Rio de Janeiro,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Uro Zorman,M,Slovenia,SLO,2004,Athina,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Uro Zorman,M,Slovenia,SLO,2016,Rio de Janeiro,Handball,Handball Men's Handball,No medal,Handball,HBL,True
Luka Viej,M,Slovenia,SLO,2004,Athina,Handball,Handball Men's Handball,No medal,Handball,HBL,False
Aleks Vlah,M,Slovenia,SLO,2024,Paris,Handball,Men,No medal,Men,HBL,False
Blaz Blagotinsek,M,Slovenia,SLO,2024,Paris,Handball,Men,No medal,Men,HBL,False
Blaz Janc,M,Slovenia,SLO,2024,Paris,Handball,Men,No medal,Men,HBL,False
Borut Mackovsek,M,Slovenia,SLO,2024,Paris,Handball,Men,No medal,Men,HBL,False
Dean Bombac,M,Slovenia,SLO,2024,Paris,Handball,Men,No medal,Men,HBL,False
Domen Novak,M,Slovenia,SLO,2024,Paris,Handball,Men,No medal,Men,HBL,False
Jure Dolenec,M,Slovenia,SLO,2024,Paris,Handball,Men,No medal,Men,HBL,True
Klemen Ferlin,M,Slovenia,SLO,2024,Paris,Handball,Men,No medal,Men,HBL,False
Matej Gaber,M,Slovenia,SLO,2024,Paris,Handball,Men,No medal,Men,HBL,True
Miha Zarabec,M,Slovenia,SLO,2024,Paris,Handball,Men,No medal,Men,HBL,True
Nejc Cehte,M,Slovenia,SLO,2024,Paris,Handball,Men,No medal,Men,HBL,False
Stas Jovicic,M,Slovenia,SLO,2024,Paris,Handball,Men,No medal,Men,HBL,False
Tilen Kodrin,M,Slovenia,SLO,2024,Paris,Handball,Men,No medal,Men,HBL,False
Urban Lesjak,M,Slovenia,SLO,2024,Paris,Handball,Men,No medal,Men,HBL,True
Urh Kastelic,M,Slovenia,SLO,2024,Paris,Handball,Men,No medal,Men,HBL,False
