Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Alen Pajenk,M,Slovenia,SLO,2024,Paris,Volleyball,Men,No medal,False
Dejan Vincic,M,Slovenia,SLO,2024,Paris,Volleyball,Men,No medal,False
Gregor Ropret,M,Slovenia,SLO,2024,Paris,Volleyball,Men,No medal,False
Jan Kozamernik,M,Slovenia,SLO,2024,Paris,Volleyball,Men,No medal,False
Jani Kovacic,M,Slovenia,SLO,2024,Paris,Volleyball,Men,No medal,False
Klemen Cebulj,M,Slovenia,SLO,2024,Paris,Volleyball,Men,No medal,False
Nik Mujanovic,M,Slovenia,SLO,2024,Paris,Volleyball,Men,No medal,False
Rok Mozic,M,Slovenia,SLO,2024,Paris,Volleyball,Men,No medal,False
Saso Stalekar,M,Slovenia,SLO,2024,Paris,Volleyball,Men,No medal,False
Tine Urnaut,M,Slovenia,SLO,2024,Paris,Volleyball,Men,No medal,False
Toncek Stern,M,Slovenia,SLO,2024,Paris,Volleyball,Men,No medal,False
Uros Planinsic,M,Slovenia,SLO,2024,Paris,Volleyball,Men,No medal,False
Ziga Stern,M,Slovenia,SLO,2024,Paris,Volleyball,Men,No medal,False
