Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Chae Gwang-seok,M,South Korea,KOR,1984,Los Angeles,Gymnastics,Gymnastics Men's Individual All-Around,No medal,Gymnastics,GAR,True
Chae Gwang-seok,M,South Korea,KOR,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,No medal,Gymnastics,GAR,True
Chae Gwang-seok,M,South Korea,KOR,1984,Los Angeles,Gymnastics,Gymnastics Men's Floor Exercise,No medal,Gymnastics,GAR,True
Chae Gwang-seok,M,South Korea,KOR,1984,Los Angeles,Gymnastics,Gymnastics Men's Horse Vault,No medal,Gymnastics,GAR,True
Chae Gwang-seok,M,South Korea,KOR,1984,Los Angeles,Gymnastics,Gymnastics Men's Parallel Bars,No medal,Gymnastics,GAR,True
Chae Gwang-seok,M,South Korea,KOR,1984,Los Angeles,Gymnastics,Gymnastics Men's Horizontal Bar,No medal,Gymnastics,GAR,True
Chae Gwang-seok,M,South Korea,KOR,1984,Los Angeles,Gymnastics,Gymnastics Men's Rings,No medal,Gymnastics,GAR,True
Chae Gwang-seok,M,South Korea,KOR,1984,Los Angeles,Gymnastics,Gymnastics Men's Pommelled Horse,No medal,Gymnastics,GAR,True
Gang Su-il,M,South Korea,KOR,1964,Tokyo,Gymnastics,Gymnastics Men's Individual All-Around,No medal,Gymnastics,GAR,True
Gang Su-il,M,South Korea,KOR,1964,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,No medal,Gymnastics,GAR,True
Gang Su-il,M,South Korea,KOR,1964,Tokyo,Gymnastics,Gymnastics Men's Floor Exercise,No medal,Gymnastics,GAR,True
Gang Su-il,M,South Korea,KOR,1964,Tokyo,Gymnastics,Gymnastics Men's Horse Vault,No medal,Gymnastics,GAR,True
Gang Su-il,M,South Korea,KOR,1964,Tokyo,Gymnastics,Gymnastics Men's Parallel Bars,No medal,Gymnastics,GAR,True
Gang Su-il,M,South Korea,KOR,1964,Tokyo,Gymnastics,Gymnastics Men's Horizontal Bar,No medal,Gymnastics,GAR,True
Gang Su-il,M,South Korea,KOR,1964,Tokyo,Gymnastics,Gymnastics Men's Rings,No medal,Gymnastics,GAR,True
Gang Su-il,M,South Korea,KOR,1964,Tokyo,Gymnastics,Gymnastics Men's Pommelled Horse,No medal,Gymnastics,GAR,True
Han Chung-sik,M,South Korea,KOR,1984,Los Angeles,Gymnastics,Gymnastics Men's Individual All-Around,No medal,Gymnastics,GAR,True
Han Chung-sik,M,South Korea,KOR,1984,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,No medal,Gymnastics,GAR,True
Han Chung-sik,M,South Korea,KOR,1984,Los Angeles,Gymnastics,Gymnastics Men's Floor Exercise,No medal,Gymnastics,GAR,True
Han Chung-sik,M,South Korea,KOR,1984,Los Angeles,Gymnastics,Gymnastics Men's Horse Vault,No medal,Gymnastics,GAR,True
Han Chung-sik,M,South Korea,KOR,1984,Los Angeles,Gymnastics,Gymnastics Men's Parallel Bars,No medal,Gymnastics,GAR,True
Han Chung-sik,M,South Korea,KOR,1984,Los Angeles,Gymnastics,Gymnastics Men's Horizontal Bar,No medal,Gymnastics,GAR,True
Han Chung-sik,M,South Korea,KOR,1984,Los Angeles,Gymnastics,Gymnastics Men's Rings,No medal,Gymnastics,GAR,True
Han Chung-sik,M,South Korea,KOR,1984,Los Angeles,Gymnastics,Gymnastics Men's Pommelled Horse,No medal,Gymnastics,GAR,True
Han Gwang-ho,M,South Korea,KOR,1992,Barcelona,Gymnastics,Gymnastics Men's Individual All-Around,No medal,Gymnastics,GAR,True
Han Gwang-ho,M,South Korea,KOR,1992,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,No medal,Gymnastics,GAR,True
Han Gwang-ho,M,South Korea,KOR,1992,Barcelona,Gymnastics,Gymnastics Men's Floor Exercise,No medal,Gymnastics,GAR,True
Han Gwang-ho,M,South Korea,KOR,1992,Barcelona,Gymnastics,Gymnastics Men's Horse Vault,No medal,Gymnastics,GAR,True
Han Gwang-ho,M,South Korea,KOR,1992,Barcelona,Gymnastics,Gymnastics Men's Parallel Bars,No medal,Gymnastics,GAR,True
Han Gwang-ho,M,South Korea,KOR,1992,Barcelona,Gymnastics,Gymnastics Men's Horizontal Bar,No medal,Gymnastics,GAR,True
Han Gwang-ho,M,South Korea,KOR,1992,Barcelona,Gymnastics,Gymnastics Men's Rings,No medal,Gymnastics,GAR,True
Han Gwang-ho,M,South Korea,KOR,1992,Barcelona,Gymnastics,Gymnastics Men's Pommelled Horse,No medal,Gymnastics,GAR,True
Han Yun-su,M,South Korea,KOR,1992,Barcelona,Gymnastics,Gymnastics Men's Individual All-Around,No medal,Gymnastics,GAR,True
