Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Anuradha Cooray,M,Sri Lanka,SRI,2004,Athina,Athletics,Athletics Men's Marathon,No medal,True
Anuradha Cooray,M,Sri Lanka,SRI,2012,London,Athletics,Athletics Men's Marathon,No medal,True
Anuradha Cooray,M,Sri Lanka,SRI,2016,Rio de Janeiro,Athletics,Athletics Men's Marathon,No medal,True
John Saram,M,Sri Lanka,SRI,1948,London,Athletics,Athletics Men's 200 metres,No medal,True
John Saram,M,Sri Lanka,SRI,1948,London,Athletics,Athletics Men's 400 metres,No medal,True
Gunaratna Zoysa,M,Sri Lanka,SRI,1996,Atlanta,Athletics,Athletics Men's 100 metres,No medal,False
Samararatne Dharmasena,M,Sri Lanka,SRI,1980,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,False
Linus Diaz,M,Sri Lanka,SRI,1960,Roma,Athletics,Athletics Men's Marathon,No medal,False
Sriyantha Dissanayake,M,Sri Lanka,SRI,1992,Barcelona,Athletics,Athletics Men's 100 metres,No medal,True
Sriyantha Dissanayake,M,Sri Lanka,SRI,1992,Barcelona,Athletics,Athletics Men's 200 metres,No medal,True
Nagalingam Ethirveerasingam,M,Sri Lanka,SRI,1952,Helsinki,Athletics,Athletics Men's High Jump,No medal,True
Nagalingam Ethirveerasingam,M,Sri Lanka,SRI,1956,Melbourne,Athletics,Athletics Men's High Jump,No medal,True
A. Fernando,M,Sri Lanka,SRI,1996,Atlanta,Athletics,Athletics Men's Long Jump,No medal,False
Sarath Gamage,M,Sri Lanka,SRI,2000,Sydney,Athletics,Athletics Men's Marathon,No medal,False
Sunil Gunawardene,M,Sri Lanka,SRI,1972,Munich,Athletics,Athletics Men's 100 metres,No medal,True
Sunil Gunawardene,M,Sri Lanka,SRI,1972,Munich,Athletics,Athletics Men's 200 metres,No medal,True
Ranatunge Karunananda,M,Sri Lanka,SRI,1964,Tokyo,Athletics,"Athletics Men's 5,000 metres",No medal,True
Ranatunge Karunananda,M,Sri Lanka,SRI,1964,Tokyo,Athletics,"Athletics Men's 10,000 metres",No medal,True
Kuruppu Karunaratne,M,Sri Lanka,SRI,1992,Barcelona,Athletics,Athletics Men's Marathon,No medal,False
Gallage Peiris,M,Sri Lanka,SRI,1948,London,Athletics,Athletics Men's Long Jump,No medal,True
Gallage Peiris,M,Sri Lanka,SRI,1948,London,Athletics,Athletics Men's Triple Jump,No medal,True
Mahesh Perera,M,Sri Lanka,SRI,1996,Atlanta,Athletics,Athletics Men's 110 metres Hurdles,No medal,False
Manura Perera,M,Sri Lanka,SRI,2000,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,False
K. Perera,M,Sri Lanka,SRI,1980,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,False
Rupasinghe Perera,M,Sri Lanka,SRI,1968,Mexico City,Athletics,Athletics Men's Marathon,No medal,False
Rohan Kumara,M,Sri Lanka,SRI,2000,Sydney,Athletics,Athletics Men's 400 metres,No medal,True
Rohan Kumara,M,Sri Lanka,SRI,2000,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,True
Rohan Kumara,M,Sri Lanka,SRI,2004,Athina,Athletics,Athletics Men's 400 metres,No medal,True
Appunidage Premachandra,M,Sri Lanka,SRI,1980,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,False
R. Ranasinghe,M,Sri Lanka,SRI,2016,Rio de Janeiro,Athletics,Athletics Men's Javelin Throw,No medal,False
Vellasamy Kumara,M,Sri Lanka,SRI,2000,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,False
Harijana Ratnayake,M,Sri Lanka,SRI,2000,Sydney,Athletics,Athletics Men's 400 metres Hurdles,No medal,False
Lucien Rosa,M,Sri Lanka,SRI,1972,Munich,Athletics,"Athletics Men's 10,000 metres",No medal,True
Lucien Rosa,M,Sri Lanka,SRI,1972,Munich,Athletics,Athletics Men's Marathon,No medal,True
Kosala Sahabandu,M,Sri Lanka,SRI,1980,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,False
Vithanakande Samarasinghe,M,Sri Lanka,SRI,1988,Seoul,Athletics,Athletics Men's Marathon,No medal,False
Robosingho Thilakaratne,M,Sri Lanka,SRI,1996,Atlanta,Athletics,Athletics Men's 400 metres,No medal,True
Robosingho Thilakaratne,M,Sri Lanka,SRI,2000,Sydney,Athletics,Athletics Men's 400 metres,No medal,True
Robosingho Thilakaratne,M,Sri Lanka,SRI,2000,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,True
Duncan White,M,Sri Lanka,SRI,1948,London,Athletics,Athletics Men's 200 metres,No medal,True
Duncan White,M,Sri Lanka,SRI,1948,London,Athletics,Athletics Men's 400 metres Hurdles,Silver,True
Manjula Wijesekera,M,Sri Lanka,SRI,2004,Athina,Athletics,Athletics Men's High Jump,No medal,False
Wickramesinghe Wimaladasa,M,Sri Lanka,SRI,1972,Munich,Athletics,Athletics Men's 400 metres,No medal,False
Ranga Wimalawansa,M,Sri Lanka,SRI,2000,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,False
Abeykoon Mudiyanselage,M,Sri Lanka,SRI,2020,Tokyo,Athletics,Men's 100m,No medal,False
Dharshana Singhapurage,M,Sri Lanka,SRI,2024,Paris,Athletics,Men's 400m,No medal,False
