Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Helena (-wielinder),F,Sweden,SWE,1996,Atlanta,Fencing,"Fencing Women's epee, Individual",No medal,False
Emma (-plsson),F,Sweden,SWE,1936,Berlin,Fencing,"Fencing Women's Foil, Individual",No medal,False
Ebba Gripenstedt,F,Sweden,SWE,1928,Amsterdam,Fencing,"Fencing Women's Foil, Individual",No medal,True
Ebba Gripenstedt,F,Sweden,SWE,1936,Berlin,Fencing,"Fencing Women's Foil, Individual",No medal,True
Ellen Hamilton,F,Sweden,SWE,1924,Paris,Fencing,"Fencing Women's Foil, Individual",No medal,False
Elsa Hellquist,F,Sweden,SWE,1924,Paris,Fencing,"Fencing Women's Foil, Individual",No medal,False
Christina (-haarlem),F,Sweden,SWE,1960,Roma,Fencing,"Fencing Women's Foil, Individual",No medal,False
Hanna Olsen,F,Sweden,SWE,1924,Paris,Fencing,"Fencing Women's Foil, Individual",No medal,True
Hanna Olsen,F,Sweden,SWE,1928,Amsterdam,Fencing,"Fencing Women's Foil, Individual",No medal,True
Kerstin Palm,F,Sweden,SWE,1964,Tokyo,Fencing,"Fencing Women's Foil, Individual",No medal,True
Kerstin Palm,F,Sweden,SWE,1968,Mexico City,Fencing,"Fencing Women's Foil, Individual",No medal,True
Kerstin Palm,F,Sweden,SWE,1972,Munich,Fencing,"Fencing Women's Foil, Individual",No medal,True
Kerstin Palm,F,Sweden,SWE,1976,Montreal,Fencing,"Fencing Women's Foil, Individual",No medal,True
Kerstin Palm,F,Sweden,SWE,1980,Moskva,Fencing,"Fencing Women's Foil, Individual",No medal,True
Kerstin Palm,F,Sweden,SWE,1984,Los Angeles,Fencing,"Fencing Women's Foil, Individual",No medal,True
Kerstin Palm,F,Sweden,SWE,1988,Seoul,Fencing,"Fencing Women's Foil, Individual",No medal,True
Emma (-westrn),F,Sweden,SWE,2008,Beijing,Fencing,"Fencing Women's epee, Individual",No medal,False
Christina -billby),F,Sweden,SWE,1964,Tokyo,Fencing,"Fencing Women's Foil, Individual",No medal,False
