Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Curt Benckert,M,Sweden,SWE,1912,Stockholm,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,False
Jonas Bjrkman,M,Sweden,SWE,1996,Atlanta,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Jonas Bjrkman,M,Sweden,SWE,1996,Atlanta,Tennis,Tennis Men's Doubles,No medal,Tennis,TEN,True
Jonas Bjrkman,M,Sweden,SWE,2004,Athina,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Jonas Bjrkman,M,Sweden,SWE,2008,Beijing,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Wollmar Bostrm,M,Sweden,SWE,1908,London,Tennis,"Tennis Men's Singles, Covered Courts",No medal,Tennis,TEN,True
Wollmar Bostrm,M,Sweden,SWE,1908,London,Tennis,"Tennis Men's Doubles, Covered Courts",Bronze,Tennis,TEN,True
Wollmar Bostrm,M,Sweden,SWE,1912,Stockholm,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Wollmar Bostrm,M,Sweden,SWE,1912,Stockholm,Tennis,"Tennis Men's Singles, Covered Courts",No medal,Tennis,TEN,True
Klas Brunstrm,M,Sweden,SWE,2012,London,Tennis,Tennis Men's Doubles,No medal,Tennis,TEN,False
Jan Edberg,M,Sweden,SWE,1988,Seoul,Tennis,Tennis Men's Singles,Bronze,Tennis,TEN,True
Jan Edberg,M,Sweden,SWE,1988,Seoul,Tennis,Tennis Men's Doubles,Bronze,Tennis,TEN,True
Jan Edberg,M,Sweden,SWE,1992,Barcelona,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Jan Edberg,M,Sweden,SWE,1992,Barcelona,Tennis,Tennis Men's Doubles,No medal,Tennis,TEN,True
Karl Enqvist,M,Sweden,SWE,1996,Atlanta,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Karl Enqvist,M,Sweden,SWE,2004,Athina,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Torsten Grnfors,M,Sweden,SWE,1912,Stockholm,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Torsten Grnfors,M,Sweden,SWE,1912,Stockholm,Tennis,"Tennis Men's Singles, Covered Courts",No medal,Tennis,TEN,True
Magnus Gustafsson,M,Sweden,SWE,1992,Barcelona,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Magnus Gustafsson,M,Sweden,SWE,1996,Atlanta,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Anders Jrryd,M,Sweden,SWE,1988,Seoul,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Anders Jrryd,M,Sweden,SWE,1988,Seoul,Tennis,Tennis Men's Doubles,Bronze,Tennis,TEN,True
Anders Jrryd,M,Sweden,SWE,1992,Barcelona,Tennis,Tennis Men's Doubles,No medal,Tennis,TEN,True
Joachim Johansson,M,Sweden,SWE,2004,Athina,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,False
Karl Johansson,M,Sweden,SWE,2000,Sydney,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Karl Johansson,M,Sweden,SWE,2008,Beijing,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Johan Kempe,M,Sweden,SWE,1912,Stockholm,Tennis,"Tennis Men's Singles, Covered Courts",No medal,Tennis,TEN,False
Lars Kulti,M,Sweden,SWE,1996,Atlanta,Tennis,Tennis Men's Doubles,No medal,Tennis,TEN,True
Lars Kulti,M,Sweden,SWE,2000,Sydney,Tennis,Tennis Men's Doubles,No medal,Tennis,TEN,True
Per Larsson,M,Sweden,SWE,1992,Barcelona,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,False
Hakon Leffler,M,Sweden,SWE,1912,Stockholm,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Hakon Leffler,M,Sweden,SWE,1912,Stockholm,Tennis,"Tennis Men's Singles, Covered Courts",No medal,Tennis,TEN,True
Fritz Lindqvist,M,Sweden,SWE,1920,Antwerpen,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,False
Robert Lindstedt,M,Sweden,SWE,2012,London,Tennis,Tennis Mixed Doubles,No medal,Tennis,TEN,True
Robert Lindstedt,M,Sweden,SWE,2012,London,Tennis,Tennis Men's Doubles,No medal,Tennis,TEN,True
Jarl Malmstrm,M,Sweden,SWE,1920,Antwerpen,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,False
Frans Mller,M,Sweden,SWE,1912,Stockholm,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Frans Mller,M,Sweden,SWE,1912,Stockholm,Tennis,"Tennis Men's Singles, Covered Courts",No medal,Tennis,TEN,True
Henning Mller,M,Sweden,SWE,1920,Antwerpen,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Henning Mller,M,Sweden,SWE,1924,Paris,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Henning Mller,M,Sweden,SWE,1924,Paris,Tennis,Tennis Men's Doubles,No medal,Tennis,TEN,True
Leif Norman,M,Sweden,SWE,2000,Sydney,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,False
Carl Setterwall,M,Sweden,SWE,1908,London,Tennis,"Tennis Men's Singles, Covered Courts",No medal,Tennis,TEN,True
Carl Setterwall,M,Sweden,SWE,1908,London,Tennis,"Tennis Men's Doubles, Covered Courts",Bronze,Tennis,TEN,True
Carl Setterwall,M,Sweden,SWE,1912,Stockholm,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Carl Setterwall,M,Sweden,SWE,1912,Stockholm,Tennis,"Tennis Men's Singles, Covered Courts",No medal,Tennis,TEN,True
Lennart Silfverstolpe,M,Sweden,SWE,1912,Stockholm,Tennis,"Tennis Men's Singles, Covered Courts",No medal,Tennis,TEN,False
Robin Sderling,M,Sweden,SWE,2004,Athina,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Robin Sderling,M,Sweden,SWE,2008,Beijing,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Sven Tillstrm,M,Sweden,SWE,2000,Sydney,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Sven Tillstrm,M,Sweden,SWE,2000,Sydney,Tennis,Tennis Men's Doubles,No medal,Tennis,TEN,True
Carlo Vinciguerra,M,Sweden,SWE,2000,Sydney,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,False
Carl Braun,M,Sweden,SWE,1920,Antwerpen,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,False
Charles Wennergren,M,Sweden,SWE,1912,Stockholm,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Charles Wennergren,M,Sweden,SWE,1912,Stockholm,Tennis,"Tennis Men's Singles, Covered Courts",No medal,Tennis,TEN,True
Charles Wennergren,M,Sweden,SWE,1924,Paris,Tennis,Tennis Men's Singles,No medal,Tennis,TEN,True
Charles Wennergren,M,Sweden,SWE,1924,Paris,Tennis,Tennis Men's Doubles,No medal,Tennis,TEN,True
