Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Jeanine Gmelin,F,Switzerland,SUI,2016,Rio de Janeiro,Rowing,Rowing Women's Single Sculls,No medal,Rowing,ROW,False,True
Carolina Lthi,F,Switzerland,SUI,2000,Sydney,Rowing,Rowing Women's Double Sculls,No medal,Rowing,ROW,True,True
Carolina Lthi,F,Switzerland,SUI,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal,Rowing,ROW,True,False
Kim (-wunderlin),F,Switzerland,SUI,2000,Sydney,Rowing,Rowing Women's Lightweight Double Sculls,No medal,Rowing,ROW,False,True
Pia (-berger),F,Switzerland,SUI,2000,Sydney,Rowing,Rowing Women's Lightweight Double Sculls,No medal,Rowing,ROW,False,True
Bernadette Wicki,F,Switzerland,SUI,2000,Sydney,Rowing,Rowing Women's Double Sculls,No medal,Rowing,ROW,False,True
Jeannine Gmelin,F,Switzerland,SUI,2020,Tokyo,Rowing,Women's Single Sculls,No medal,Women's,ROW,False,True
Patricia Merz,F,Switzerland,SUI,2020,Tokyo,Rowing,Lightweight Women's Double Sculls Team,No medal,Lightweight,ROW,False,True
Frederique Rol,F,Switzerland,SUI,2020,Tokyo,Rowing,Lightweight Women's Double Sculls Team,No medal,Lightweight,ROW,False,True
Celia Dupre,F,Switzerland,SUI,2024,Paris,Rowing,Women's Quadruple Sculls,No medal,Women's,ROW,False,True
Katharina Janzen,F,Switzerland,SUI,2024,Paris,Rowing,Women's Single Sculls,No medal,Women's,ROW,False,True
Lisa Loetscher,F,Switzerland,SUI,2024,Paris,Rowing,Women's Quadruple Sculls,No medal,Women's,ROW,False,True
Fabienne Schweizer,F,Switzerland,SUI,2024,Paris,Rowing,Women's Quadruple Sculls,No medal,Women's,ROW,False,True
Pascale Walker,F,Switzerland,SUI,2024,Paris,Rowing,Women's Quadruple Sculls,No medal,Women's,ROW,False,True
