Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Azad Al-barazi,M,Syria,SYR,2012,London,Swimming,Swimming Men's 100 metres Breaststroke,No medal,Swimming,SWM,True
Azad Al-barazi,M,Syria,SYR,2016,Rio de Janeiro,Swimming,Swimming Men's 100 metres Breaststroke,No medal,Swimming,SWM,True
Rafed El-masri,M,Syria,SYR,2004,Athina,Swimming,Swimming Men's 50 metres Freestyle,No medal,Swimming,SWM,False
Hicham El-masry,M,Syria,SYR,1992,Barcelona,Swimming,Swimming Men's 400 metres Freestyle,No medal,Swimming,SWM,True
Hicham El-masry,M,Syria,SYR,1992,Barcelona,Swimming,"Swimming Men's 1,500 metres Freestyle",No medal,Swimming,SWM,True
Hicham El-masry,M,Syria,SYR,1996,Atlanta,Swimming,Swimming Men's 400 metres Freestyle,No medal,Swimming,SWM,True
Hicham El-masry,M,Syria,SYR,1996,Atlanta,Swimming,"Swimming Men's 1,500 metres Freestyle",No medal,Swimming,SWM,True
Souhaib Kalala,M,Syria,SYR,2008,Beijing,Swimming,Swimming Men's 100 metres Backstroke,No medal,Swimming,SWM,False
Fadi Kouzmah,M,Syria,SYR,2000,Sydney,Swimming,Swimming Men's 200 metres Butterfly,No medal,Swimming,SWM,False
Saleh Mohammad,M,Syria,SYR,2008,Beijing,Swimming,Swimming Men's 10 kilometres Open Water,No medal,Swimming,SWM,False
Ayman Kelzi,M,Syria,SYR,2020,Tokyo,Swimming,Men's 200m Butterfly,No medal,Men's,SWM,False
Omar Abbas,M,Syria,SYR,2024,Paris,Swimming,Men's 200m Freestyle,No medal,Men's,SWM,False
