Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Soter Silva,M,Tanzania,TAN,1980,Moskva,Hockey,Hockey Men's Hockey,No medal,Hockey,HOC,False,True
Stephen Silva,M,Tanzania,TAN,1980,Moskva,Hockey,Hockey Men's Hockey,No medal,Hockey,HOC,False,True
Frederick Furtado,M,Tanzania,TAN,1980,Moskva,Hockey,Hockey Men's Hockey,No medal,Hockey,HOC,False,True
Leopold Gracias,M,Tanzania,TAN,1980,Moskva,Hockey,Hockey Men's Hockey,No medal,Hockey,HOC,False,True
Taher Ali,M,Tanzania,TAN,1980,Moskva,Hockey,Hockey Men's Hockey,No medal,Hockey,HOC,False,True
Islam Islam,M,Tanzania,TAN,1980,Moskva,Hockey,Hockey Men's Hockey,No medal,Hockey,HOC,False,True
Mohamed Manji,M,Tanzania,TAN,1980,Moskva,Hockey,Hockey Men's Hockey,No medal,Hockey,HOC,False,True
Youssef Manwar,M,Tanzania,TAN,1980,Moskva,Hockey,Hockey Men's Hockey,No medal,Hockey,HOC,False,True
Benedict Mendes,M,Tanzania,TAN,1980,Moskva,Hockey,Hockey Men's Hockey,No medal,Hockey,HOC,False,True
Anoop Mukundan,M,Tanzania,TAN,1980,Moskva,Hockey,Hockey Men's Hockey,No medal,Hockey,HOC,False,True
Julius Peter,M,Tanzania,TAN,1980,Moskva,Hockey,Hockey Men's Hockey,No medal,Hockey,HOC,False,True
Rajabu Rajab,M,Tanzania,TAN,1980,Moskva,Hockey,Hockey Men's Hockey,No medal,Hockey,HOC,False,True
Jaypal Singh,M,Tanzania,TAN,1980,Moskva,Hockey,Hockey Men's Hockey,No medal,Hockey,HOC,False,True
Abraham Sykes,M,Tanzania,TAN,1980,Moskva,Hockey,Hockey Men's Hockey,No medal,Hockey,HOC,False,True
Patrick Toto,M,Tanzania,TAN,1980,Moskva,Hockey,Hockey Men's Hockey,No medal,Hockey,HOC,False,True
Jasbir Virdee,M,Tanzania,TAN,1980,Moskva,Hockey,Hockey Men's Hockey,No medal,Hockey,HOC,False,True
