Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Illia Kovtun,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's All-Around,No medal,True
Illia Kovtun,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Floor Exercise,No medal,True
Illia Kovtun,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Pommel Horse,No medal,True
Illia Kovtun,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Rings,No medal,True
Illia Kovtun,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Vault,No medal,True
Illia Kovtun,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Parallel Bars,No medal,True
Illia Kovtun,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Horizontal Bar,No medal,True
Illia Kovtun,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Team,No medal,True
Petro Pakhniuk,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's All-Around,No medal,True
Petro Pakhniuk,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Floor Exercise,No medal,True
Petro Pakhniuk,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Pommel Horse,No medal,True
Petro Pakhniuk,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Rings,No medal,True
Petro Pakhniuk,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Vault,No medal,True
Petro Pakhniuk,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Parallel Bars,No medal,True
Petro Pakhniuk,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Horizontal Bar,No medal,True
Petro Pakhniuk,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Team,No medal,True
Igor Radivilov,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Floor Exercise,No medal,True
Igor Radivilov,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Pommel Horse,No medal,True
Igor Radivilov,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Rings,No medal,True
Igor Radivilov,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Vault,No medal,True
Igor Radivilov,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Parallel Bars,No medal,True
Igor Radivilov,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Horizontal Bar,No medal,True
Igor Radivilov,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Team,No medal,True
Yevgen Yudenkov,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's All-Around,No medal,True
Yevgen Yudenkov,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Floor Exercise,No medal,True
Yevgen Yudenkov,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Pommel Horse,No medal,True
Yevgen Yudenkov,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Rings,No medal,True
Yevgen Yudenkov,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Vault,No medal,True
Yevgen Yudenkov,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Parallel Bars,No medal,True
Yevgen Yudenkov,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Horizontal Bar,No medal,True
Yevgen Yudenkov,M,Ukraine,UKR,2020,Tokyo,Artistic Gymnastics,Men's Team,No medal,True
Illia Kovtun,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men,No medal,True
Illia Kovtun,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's All-Around,No medal,True
Illia Kovtun,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Floor Exercise,No medal,True
Illia Kovtun,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Horizontal Bar,No medal,True
Illia Kovtun,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Parallel Bars,Silver,True
Illia Kovtun,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Pommel Horse,No medal,True
Illia Kovtun,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Rings,No medal,True
Illia Kovtun,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Vault,No medal,True
Illia Kovtun,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Team,No medal,True
Oleg Verniaiev,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men,No medal,True
Oleg Verniaiev,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's All-Around,No medal,True
Oleg Verniaiev,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Floor Exercise,No medal,True
Oleg Verniaiev,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Horizontal Bar,No medal,True
Oleg Verniaiev,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Parallel Bars,No medal,True
Oleg Verniaiev,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Pommel Horse,No medal,True
Oleg Verniaiev,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Rings,No medal,True
Oleg Verniaiev,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Vault,No medal,True
Oleg Verniaiev,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Team,No medal,True
Nazar Chepurnyi,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men,No medal,True
Nazar Chepurnyi,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Floor Exercise,No medal,True
Nazar Chepurnyi,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Horizontal Bar,No medal,True
Nazar Chepurnyi,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Parallel Bars,No medal,True
Nazar Chepurnyi,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Pommel Horse,No medal,True
Nazar Chepurnyi,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Rings,No medal,True
Nazar Chepurnyi,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Vault,No medal,True
Nazar Chepurnyi,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Team,No medal,True
Igor Radivilov,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men,No medal,True
Igor Radivilov,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Floor Exercise,No medal,True
Igor Radivilov,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Horizontal Bar,No medal,True
Igor Radivilov,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Parallel Bars,No medal,True
Igor Radivilov,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Pommel Horse,No medal,True
Igor Radivilov,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Rings,No medal,True
Igor Radivilov,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Vault,No medal,True
Igor Radivilov,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Team,No medal,True
Radomyr Stelmakh,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men,No medal,True
Radomyr Stelmakh,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Floor Exercise,No medal,True
Radomyr Stelmakh,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Horizontal Bar,No medal,True
Radomyr Stelmakh,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Parallel Bars,No medal,True
Radomyr Stelmakh,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Pommel Horse,No medal,True
Radomyr Stelmakh,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Rings,No medal,True
Radomyr Stelmakh,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Vault,No medal,True
Radomyr Stelmakh,M,Ukraine,UKR,2024,Paris,Artistic Gymnastics,Men's Team,No medal,True
