Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Hanna Bezsonova,F,Ukraine,UKR,2004,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Bronze,True
Hanna Bezsonova,F,Ukraine,UKR,2008,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Bronze,True
Mariya Bila,F,Ukraine,UKR,2004,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,No medal,False
Krystyna Cherepienina,F,Ukraine,UKR,2008,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,No medal,False
Yuliya Chernova,F,Ukraine,UKR,2004,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,No medal,False
Olena Dmytrash,F,Ukraine,UKR,2008,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,No medal,True
Olena Dmytrash,F,Ukraine,UKR,2012,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,No medal,True
Olena Dmytrash,F,Ukraine,UKR,2016,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,No medal,True
Olena Dziubchuk,F,Ukraine,UKR,2004,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,No medal,False
Nataliya Hodunko,F,Ukraine,UKR,2004,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,No medal,True
Nataliya Hodunko,F,Ukraine,UKR,2008,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,No medal,True
Yevheniya Homon,F,Ukraine,UKR,2012,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,No medal,True
Yevheniya Homon,F,Ukraine,UKR,2016,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,No medal,True
Oleksandra Hridasova,F,Ukraine,UKR,2016,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,No medal,False
