Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Yuliya Beihelzimer,F,Ukraine,UKR,2004,Athina,Tennis,Tennis Women's Doubles,No medal,Tennis,TEN,False,True
Alona Bondarenko,F,Ukraine,UKR,2008,Beijing,Tennis,Tennis Women's Singles,No medal,Tennis,TEN,False,True
Kateryna Bondarenko,F,Ukraine,UKR,2008,Beijing,Tennis,Tennis Women's Singles,No medal,Tennis,TEN,True,True
Kateryna Bondarenko,F,Ukraine,UKR,2012,London,Tennis,Tennis Women's Singles,No medal,Tennis,TEN,True,False
Mariya Koryttseva,F,Ukraine,UKR,2008,Beijing,Tennis,Tennis Women's Singles,No medal,Tennis,TEN,False,True
Tetiana Perebyinis,F,Ukraine,UKR,2004,Athina,Tennis,Tennis Women's Singles,No medal,Tennis,TEN,True,True
Tetiana Perebyinis,F,Ukraine,UKR,2004,Athina,Tennis,Tennis Women's Doubles,No medal,Tennis,TEN,True,True
Tetiana Perebyinis,F,Ukraine,UKR,2008,Beijing,Tennis,Tennis Women's Singles,No medal,Tennis,TEN,True,False
Elina Svitolina,F,Ukraine,UKR,2016,Rio de Janeiro,Tennis,Tennis Women's Singles,No medal,Tennis,TEN,True,True
Olena (-feltham),F,Ukraine,UKR,2000,Sydney,Tennis,Tennis Women's Doubles,No medal,Tennis,TEN,False,True
Anna Zaporozhanova,F,Ukraine,UKR,2000,Sydney,Tennis,Tennis Women's Doubles,No medal,Tennis,TEN,False,True
Liudmyla Kichenok,F,Ukraine,UKR,2020,Tokyo,Tennis,Women's Doubles Team,No medal,Women's,TEN,False,True
Nadiia Kichenok,F,Ukraine,UKR,2020,Tokyo,Tennis,Women's Doubles Team,No medal,Women's,TEN,True,True
Elina Svitolina,F,Ukraine,UKR,2020,Tokyo,Tennis,Women's Singles,Bronze,Women's,TEN,True,False
Elina Svitolina,F,Ukraine,UKR,2020,Tokyo,Tennis,Women's Doubles Team,No medal,Women's,TEN,True,False
Dayana Yastremska,F,Ukraine,UKR,2020,Tokyo,Tennis,Women's Singles,No medal,Women's,TEN,True,True
Dayana Yastremska,F,Ukraine,UKR,2020,Tokyo,Tennis,Women's Doubles Team,No medal,Women's,TEN,True,True
Elina Svitolina,F,Ukraine,UKR,2024,Paris,Tennis,Women's Singles,No medal,Women's,TEN,True,False
Nadiia Kichenok,F,Ukraine,UKR,2024,Paris,Tennis,Women's Doubles,No medal,Women's,TEN,True,False
Lyudmyla Kichenok,F,Ukraine,UKR,2024,Paris,Tennis,Women's Doubles,No medal,Women's,TEN,False,True
Dayana Yastremska,F,Ukraine,UKR,2024,Paris,Tennis,Women's Doubles,No medal,Women's,TEN,True,False
Dayana Yastremska,F,Ukraine,UKR,2024,Paris,Tennis,Women's Singles,No medal,Women's,TEN,True,False
Marta Kostyuk,F,Ukraine,UKR,2024,Paris,Tennis,Women's Doubles,No medal,Women's,TEN,True,True
Marta Kostyuk,F,Ukraine,UKR,2024,Paris,Tennis,Women's Singles,No medal,Women's,TEN,True,True
