Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Olena Kovtun,F,Ukraine,UKR,2000,Sydney,Table Tennis,Table Tennis Women's Singles,No medal,Table,TTE,False,True
Marharyta Pesotska,F,Ukraine,UKR,2008,Beijing,Table Tennis,Table Tennis Women's Singles,No medal,Table,TTE,True,True
Marharyta Pesotska,F,Ukraine,UKR,2012,London,Table Tennis,Table Tennis Women's Singles,No medal,Table,TTE,True,False
Tetiana Sorochynska-bilenko,F,Ukraine,UKR,2008,Beijing,Table Tennis,Table Tennis Women's Singles,No medal,Table,TTE,True,True
Tetiana Sorochynska-bilenko,F,Ukraine,UKR,2012,London,Table Tennis,Table Tennis Women's Singles,No medal,Table,TTE,True,False
Tetiana Sorochynska-bilenko,F,Ukraine,UKR,2016,Rio de Janeiro,Table Tennis,Table Tennis Women's Singles,No medal,Table,TTE,True,False
Ganna Gaponova,F,Ukraine,UKR,2020,Tokyo,Table Tennis,Women's Singles,No medal,Women's,TTE,False,True
Margaryta Pesotska,F,Ukraine,UKR,2020,Tokyo,Table Tennis,Women's Singles,No medal,Women's,TTE,True,True
Margaryta Pesotska,F,Ukraine,UKR,2024,Paris,Table Tennis,Women's Singles,No medal,Women's,TTE,True,False
Solomiya Brateyko,F,Ukraine,UKR,2024,Paris,Table Tennis,Women's Singles,No medal,Women's,TTE,False,True
