Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Andrey Abduvaliyev,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's Hammer Throw,Gold,Athletics,ATH,False,True
Vladimir Andreyev,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's 20 kilometres Walk,No medal,Athletics,ATH,False,True
Igor Astapkovich,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's Hammer Throw,Silver,Athletics,ATH,False,True
Dmitry Bagryanov,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's Long Jump,No medal,Athletics,ATH,False,True
Serhiy Bubka,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's Pole Vault,No medal,Athletics,ATH,False,True
Andrey Fedoriv,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,Athletics,ATH,False,True
Pavel Galkin,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's 100 metres,No medal,Athletics,ATH,True,True
Pavel Galkin,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,Athletics,ATH,True,True
Ramil Ganiyev,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's Decathlon,No medal,Athletics,ATH,False,True
Dmitry Golovastov,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,Athletics,ATH,False,True
Vladimir Golyas,M,Unified Team,EUN,1992,Barcelona,Athletics,"Athletics Men's 3,000 metres Steeplechase",No medal,Athletics,ATH,False,True
Eduard Hmlinen,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's Decathlon,No medal,Athletics,ATH,False,True
Edvin Ivanov,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's 200 metres,No medal,Athletics,ATH,True,True
Edvin Ivanov,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,No medal,Athletics,ATH,True,True
Vadim Ivanov,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's Long Jump,No medal,Athletics,ATH,False,True
Dmitry Kliger,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,Athletics,ATH,False,True
Oleksandr Klymenko,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's Shot Put,No medal,Athletics,ATH,False,True
Ivan Konovalov,M,Unified Team,EUN,1992,Barcelona,Athletics,"Athletics Men's 3,000 metres Steeplechase",No medal,Athletics,ATH,False,True
Dmitry Kosov,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's 400 metres,No medal,Athletics,ATH,True,True
Dmitry Kosov,M,Unified Team,EUN,1992,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,No medal,Athletics,ATH,True,True
